Model,Zone,Output,Input,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,HW,evapotrans,precipitation,12047,0.3172853996266561,0.32018504051291563,0.008176645737056948,0.3035829896151045,0.3354621844481208,True
CLASSIC,HW,evapotrans,lai,12047,0.3704031786356151,0.37197485463646107,0.0071906684265442364,0.3580644335781305,0.38588214538474813,True
CLASSIC,HW,tran,precipitation,12047,0.25618218180344043,0.25686616724246014,0.009364431895519693,0.2391963417023634,0.2743096623007694,True
CLASSIC,HW,tran,lai,12047,0.4180974323434764,0.420600864145799,0.005850155613695049,0.4090253814763788,0.4319662552330807,True
CLASSIC,HW,evspsblveg,precipitation,12047,0.41580674335596435,0.4167245764561392,0.006900461305797112,0.40340531950663566,0.43006417907951766,True
CLASSIC,HW,evspsblveg,lai,12047,0.4364504377620155,0.43898595583212213,0.0059057659925367285,0.4273663200070342,0.45099726633614434,True
CLASSIC,HW,evspsblsoi,precipitation,12047,0.27600618507743896,0.27911445886262165,0.00784173075862379,0.26336642668910526,0.29450005730325,True
CLASSIC,HW,evspsblsoi,lai,12047,0.40335517906758145,0.40382840154887095,0.006628844221050619,0.39038509010591,0.41651569956899726,True
CLASSIC,HD,evapotrans,precipitation,11072,0.5820918902830647,0.5836441864459236,0.004341565425117523,0.5752773499947649,0.5919809751931046,True
CLASSIC,HD,evapotrans,lai,11072,0.4717138473769131,0.4738301001291119,0.009612208795887228,0.4549914907792503,0.4922460065760591,True
CLASSIC,HD,tran,precipitation,11072,0.5002076822610712,0.5016413503339968,0.006215574117340249,0.4895073297883528,0.5140779513506578,True
CLASSIC,HD,tran,lai,11072,0.6195765191033413,0.6208595334077416,0.004867323234718846,0.6109559827173497,0.629947311108117,True
CLASSIC,HD,evspsblveg,precipitation,11072,0.5372013552746318,0.5388037419959667,0.005516258954459457,0.5274650752557886,0.5494422082158322,True
CLASSIC,HD,evspsblveg,lai,11072,0.6101831291675153,0.6098464687601378,0.0048402761789628325,0.6001540646653456,0.6188537429598449,True
CLASSIC,HD,evspsblsoi,precipitation,11072,0.46638860359007567,0.467834359239643,0.005607123784500394,0.45647394111970013,0.4785339607622759,True
CLASSIC,HD,evspsblsoi,lai,11072,0.3504084195864026,0.35359423697061493,0.00859532133160945,0.336420023797082,0.3701950296451451,True
CLASSIC,CW,evapotrans,precipitation,20608,0.275951056348905,0.2771078229805855,0.006095008581198278,0.26563743871745416,0.2889886406917562,True
CLASSIC,CW,evapotrans,lai,20608,0.26685064669656233,0.26830236564185306,0.004893290707433053,0.25903293340955164,0.27813806381102113,True
CLASSIC,CW,tran,precipitation,20608,0.3008081611584258,0.3011446581301928,0.005970843239254594,0.2893878883599564,0.31276369819145877,True
CLASSIC,CW,tran,lai,20608,0.40880148624936335,0.40995509899272736,0.00388909212564596,0.4025500596311652,0.4179265649683044,True
CLASSIC,CW,evspsblveg,precipitation,20608,0.3628836688304839,0.36305156404990163,0.005551222967939674,0.35247937539622604,0.3735813787420142,True
CLASSIC,CW,evspsblveg,lai,20608,0.5432541978682404,0.5446058016539762,0.0027305114818826346,0.5392135925596611,0.5498795323314114,True
CLASSIC,CW,evspsblsoi,precipitation,20608,0.14482216362511718,0.14759476136453825,0.006556092454982357,0.13514107885608928,0.16022131726456196,True
CLASSIC,CW,evspsblsoi,lai,20608,0.1971115568521884,0.20024087828173642,0.0050796170840537065,0.19012263947202002,0.21062939993060087,True
CLASSIC,CD,evapotrans,precipitation,10290,0.3601068999028183,0.3591125966957746,0.0071526546488187535,0.3449020186736539,0.3727137194510934,True
CLASSIC,CD,evapotrans,lai,10290,0.3986394557823129,0.40143528783268434,0.007532866107516531,0.3882537598950815,0.41730014643433805,True
CLASSIC,CD,tran,precipitation,10290,0.3174927113702624,0.31876761375905593,0.009475392610605246,0.2995466543066603,0.33711049868305876,True
CLASSIC,CD,tran,lai,10290,0.5248785228377065,0.5254553218635458,0.005796044227301831,0.5139973888307057,0.5364953318737167,True
CLASSIC,CD,evspsblveg,precipitation,10290,0.3493197278911565,0.35226305069715724,0.00914365793302794,0.3347985965729021,0.37026339037560557,True
CLASSIC,CD,evspsblveg,lai,10290,0.5452380952380952,0.5467579688879307,0.004331052551008087,0.5388220348606143,0.5555362939991682,True
CLASSIC,CD,evspsblsoi,precipitation,10290,0.28396501457725953,0.28599229287149114,0.008566240984672537,0.2688879064354332,0.30276786612620443,True
CLASSIC,CD,evspsblsoi,lai,10290,0.3615646258503401,0.36028798041085375,0.006871922721290777,0.34623026689773273,0.3734444035038582,True
