model,family,decision,recommended_member,n_common_members,core_period,core_grids,same_grid,context_count,missing_core,pr_Amon,evspsbl_Amon,mrro_Lmon,pr_start,pr_stop,evspsbl_start,evspsbl_stop,mrro_start,mrro_stop,tas_Amon,rsds_Amon,rsus_Amon,rlds_Amon,rlus_Amon,mrso_Lmon,lai_Lmon,snw_LImon,sftlf_fx,areacella_fx
ACCESS-ESM1-5,ACCESS-ESM1-5,Eligible,r1i1p1f1,40,Flag,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
AWI-ESM-1-1-LR,AWI-ESM-1-1-LR,Eligible,r1i1p1f1,1,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
CNRM-CM6-1-HR,CNRM-CM6-1,Eligible,r1i1p1f2,1,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
CNRM-ESM2-1,CNRM-ESM2-1,Eligible,r1i1p1f2,9,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
E3SM-1-0,E3SM,Eligible,r1i1p1f1,25,Flag,gr,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 11:45:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
E3SM-2-0,E3SM,Eligible,r1i1p1f1,21,Flag,gr,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
E3SM-2-0-NARRM,E3SM,Eligible,r1i1p1f1,5,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
E3SM-2-1,E3SM,Eligible,r1i1p1f1,5,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 11:45:00+00:00,,True,True,True,True,True,True,True,True,False,False
EC-Earth3-CC,EC-Earth3,Eligible,r1i1p1f1,10,Flag,gr,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
EC-Earth3-Veg,EC-Earth3,Eligible,r1i1p1f1,9,Flag,gr,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
EC-Earth3-Veg-LR,EC-Earth3,Eligible,r1i1p1f1,3,Flag,gr,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
GISS-E2-1-G-CC,GISS-E2-1,Eligible,r1i1p1f1,1,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
GISS-E3-G,GISS-E3-G,Eligible,r1i1p101f1,2,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,True,False,False
HadGEM3-GC31-LL,HadGEM3-GC31,Eligible,r1i1p1f3,5,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,True,True,True,True,True,True,True,True,False,False
HadGEM3-GC31-MM,HadGEM3-GC31,Eligible,r1i1p1f3,2,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,True,True,True,True,True,True,True,True,False,False
IPSL-CM5A2-INCA,IPSL-CM5A2-INCA,Eligible,r1i1p1f1,1,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False
