model,family,decision,recommended_member,n_common_members,core_period,core_grids,same_grid,context_count,missing_core,pr_Amon,evspsbl_Amon,mrro_Lmon,pr_start,pr_stop,evspsbl_start,evspsbl_stop,mrro_start,mrro_stop,tas_Amon,rsds_Amon,rsus_Amon,rlds_Amon,rlus_Amon,mrso_Lmon,lai_Lmon,snw_LImon,sftlf_fx,areacella_fx,period_rank,canonical,first_batch
GFDL-CM4,GFDL-CM4,Eligible,r1i1p1f1,1,Pass,gr1,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
GFDL-ESM4,GFDL-ESM4,Eligible,r1i1p1f1,1,Pass,gr1,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,True
GISS-E2-1-G,GISS-E2-1,Eligible,r1i1p1f1,79,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
GISS-E2-2-G,GISS-E2-2,Eligible,r1i1p1f1,11,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
GISS-E3-G,GISS-E3-G,Eligible,r1i1p101f1,2,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,False
HadGEM3-GC31-LL,HadGEM3-GC31,Eligible,r1i1p1f3,5,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,True,True,True,True,True,True,True,True,False,False,0,1,False
ICON-ESM-LR,ICON-ESM-LR,Eligible,r1i1p1f1,5,Flag,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,True,False,False,0,1,False
INM-CM4-8,INM-CM4-8,Eligible,r1i1p1f1,1,Pass,gr1,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,False,False,False,1,1,False
INM-CM5-0,INM-CM5-0,Eligible,r1i1p1f1,10,Flag,gr1,True,7,,True,True,True,1850-01-16 00:00:00+00:00,,1850-01-16 00:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,False,False,False,0,1,False
IPSL-CM5A2-INCA,IPSL-CM5A2-INCA,Eligible,r1i1p1f1,1,Flag,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,0,1,False
IPSL-CM6A-LR,IPSL-CM6A-LR,Eligible,r1i1p1f1,33,Pass,gr,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,True
KACE-1-0-G,KACE-1-0-G,Eligible,r1i1p1f1,3,Pass,gr,True,5,,True,True,True,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,True,True,True,True,True,False,False,False,False,False,1,1,False
MCM-UA-1-0,MCM-UA-1-0,Eligible,r1i1p1f1,2,Pass,gn,True,2,,True,True,True,1850-01-17 00:00:00+00:00,2014-12-17 00:00:00+00:00,1850-01-17 00:00:00+00:00,2014-12-17 00:00:00+00:00,1850-01-17 00:00:00+00:00,2014-12-17 00:00:00+00:00,True,False,False,False,False,True,False,False,False,False,1,1,False
MIROC-ES2L,MIROC-ES2,Eligible,r1i1p1f2,31,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,True
MIROC6,MIROC6,Eligible,r1i1p1f1,50,Pass,gn,True,7,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,False,True,False,False,1,1,False
MPI-ESM-1-2-HAM,MPI-ESM1-2,Eligible,r1i1p1f1,3,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,0,False
MRI-ESM2-0,MRI-ESM2-0,Eligible,r1i2p1f1,12,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
NorESM2-LM,NorESM2,Eligible,r1i1p1f1,3,Flag,gn,True,8,,True,True,True,1950-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1848-10-25 00:00:00+00:00,,1848-10-25 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,True
SAM0-UNICON,SAM0-UNICON,Eligible,r1i1p1f1,1,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 11:45:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
TaiESM1,TaiESM1,Eligible,r1i1p1f1,2,Pass,gn,True,8,,True,True,True,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,1850-01-16 12:00:00+00:00,2014-12-16 12:00:00+00:00,True,True,True,True,True,True,True,True,False,False,1,1,False
UKESM1-0-LL,UKESM1,Eligible,r1i1p1f2,19,Flag,gn,True,8,,True,True,True,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,2014-12-16 00:00:00+00:00,1850-01-16 00:00:00+00:00,,True,True,True,True,True,True,True,True,False,False,0,1,True
