analysis_group,zone,model,relation_label,x_label,y_label,Equal-width bins | shape_label,Equal-width bins | pearson_r,Equal-width bins | spearman_rho,Equal-width bins | kendall_tau,Equal-width bins | abs_pearson_r,Equal-width bins | abs_spearman_r,Equal-width bins | abs_spearman_minus_abs_pearson,Equal-width bins | raw_net_change,Equal-width bins | absolute_net_change,Equal-width bins | normalized_net_change,Equal-width bins | normalized_absolute_net_change,Equal-width bins | positive_slope_fraction,Equal-width bins | negative_slope_fraction,Equal-width bins | flat_slope_fraction,Equal-width bins | dominant_slope_sign,Equal-width bins | monotonic_fraction,Equal-width bins | number_of_slope_sign_changes,Equal-width bins | early_slope,Equal-width bins | middle_slope,Equal-width bins | late_slope,Equal-width bins | early_late_slope_sign_consistency,Equal-width bins | early_late_slope_sign_opposition,Equal-width bins | has_internal_valley,Equal-width bins | has_internal_peak,Equal-width bins | number_of_internal_extrema,Equal-width bins | turning_point_x_norm,Equal-width bins | turning_point_type,Equal-width bins | two_line_test_evidence,Equal-count bins | shape_label,Equal-count bins | pearson_r,Equal-count bins | spearman_rho,Equal-count bins | kendall_tau,Equal-count bins | abs_pearson_r,Equal-count bins | abs_spearman_r,Equal-count bins | abs_spearman_minus_abs_pearson,Equal-count bins | raw_net_change,Equal-count bins | absolute_net_change,Equal-count bins | normalized_net_change,Equal-count bins | normalized_absolute_net_change,Equal-count bins | positive_slope_fraction,Equal-count bins | negative_slope_fraction,Equal-count bins | flat_slope_fraction,Equal-count bins | dominant_slope_sign,Equal-count bins | monotonic_fraction,Equal-count bins | number_of_slope_sign_changes,Equal-count bins | early_slope,Equal-count bins | middle_slope,Equal-count bins | late_slope,Equal-count bins | early_late_slope_sign_consistency,Equal-count bins | early_late_slope_sign_opposition,Equal-count bins | has_internal_valley,Equal-count bins | has_internal_peak,Equal-count bins | number_of_internal_extrema,Equal-count bins | turning_point_x_norm,Equal-count bins | turning_point_type,Equal-count bins | two_line_test_evidence,LOWESS | shape_label,LOWESS | pearson_r,LOWESS | spearman_rho,LOWESS | kendall_tau,LOWESS | abs_pearson_r,LOWESS | abs_spearman_r,LOWESS | abs_spearman_minus_abs_pearson,LOWESS | raw_net_change,LOWESS | absolute_net_change,LOWESS | normalized_net_change,LOWESS | normalized_absolute_net_change,LOWESS | positive_slope_fraction,LOWESS | negative_slope_fraction,LOWESS | flat_slope_fraction,LOWESS | dominant_slope_sign,LOWESS | monotonic_fraction,LOWESS | number_of_slope_sign_changes,LOWESS | early_slope,LOWESS | middle_slope,LOWESS | late_slope,LOWESS | early_late_slope_sign_consistency,LOWESS | early_late_slope_sign_opposition,LOWESS | has_internal_valley,LOWESS | has_internal_peak,LOWESS | number_of_internal_extrema,LOWESS | turning_point_x_norm,LOWESS | turning_point_type,LOWESS | two_line_test_evidence,Generalized Additive Model (GAM) | shape_label,Generalized Additive Model (GAM) | pearson_r,Generalized Additive Model (GAM) | spearman_rho,Generalized Additive Model (GAM) | kendall_tau,Generalized Additive Model (GAM) | abs_pearson_r,Generalized Additive Model (GAM) | abs_spearman_r,Generalized Additive Model (GAM) | abs_spearman_minus_abs_pearson,Generalized Additive Model (GAM) | raw_net_change,Generalized Additive Model (GAM) | absolute_net_change,Generalized Additive Model (GAM) | normalized_net_change,Generalized Additive Model (GAM) | normalized_absolute_net_change,Generalized Additive Model (GAM) | positive_slope_fraction,Generalized Additive Model (GAM) | negative_slope_fraction,Generalized Additive Model (GAM) | flat_slope_fraction,Generalized Additive Model (GAM) | dominant_slope_sign,Generalized Additive Model (GAM) | monotonic_fraction,Generalized Additive Model (GAM) | number_of_slope_sign_changes,Generalized Additive Model (GAM) | early_slope,Generalized Additive Model (GAM) | middle_slope,Generalized Additive Model (GAM) | late_slope,Generalized Additive Model (GAM) | early_late_slope_sign_consistency,Generalized Additive Model (GAM) | early_late_slope_sign_opposition,Generalized Additive Model (GAM) | has_internal_valley,Generalized Additive Model (GAM) | has_internal_peak,Generalized Additive Model (GAM) | number_of_internal_extrema,Generalized Additive Model (GAM) | turning_point_x_norm,Generalized Additive Model (GAM) | turning_point_type,Generalized Additive Model (GAM) | two_line_test_evidence
HW_T,HW,CLASSIC,CLASSIC: LAI -> T,LAI,T,Monotonic nonlinear,0.9826972402788011,0.9878787878787878,0.9555555555555554,0.9826972402788011,0.9878787878787878,0.00518154759998668,318.65449,318.65449,0.9990820739453914,0.9990820739453914,0.8888888888888888,0.0,0.1111111111111111,positive,0.8888888888888888,0,1.5429807161907734,0.9151139181786485,0.5023846439047662,True,False,False,False,0,,,,Non-monotonic: U-shaped / inverted-U,0.9826380808041403,0.9878787878787878,0.9555555555555554,0.9826380808041403,0.9878787878787878,0.0052407070746475215,286.58876499999997,286.58876499999997,0.9349059125966693,0.9349059125966693,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,1,1.3694406321228767,1.002713050440395,0.34553344753848236,True,False,False,True,1,0.9088267333732544,peak,,Non-monotonic: U-shaped / inverted-U,0.9915096049980254,0.9977371230825848,0.9824458528509818,0.9915096049980254,0.9977371230825848,0.006227518084559347,463.73956202095167,463.73956202095167,1.0,1.0,0.9467239701589361,0.04954589685371392,0.0037301329873499836,positive,0.9467239701589361,128,1.2223444168740962,0.8294611962035885,0.6588651529989306,True,False,True,True,128,0.8810850269143384,valley,False,Monotonic nonlinear,0.9897868434207088,1.0,1.0,0.9897868434207088,1.0,0.010213156579291227,498.13347171381815,498.13347171381815,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.3125721803417338,0.7544241544566117,0.9305479067462201,True,False,False,False,0,,,
HW_T,HW,CLASSIC,CLASSIC: P -> T,P,T,Non-monotonic: U-shaped / inverted-U,0.7864697488614871,0.7212121212121211,0.4666666666666666,0.7864697488614871,0.7212121212121211,-0.06525762764936605,115.13126500000004,115.13126500000004,0.45963149959426897,0.45963149959426897,0.4444444444444444,0.3333333333333333,0.2222222222222222,positive,0.4444444444444444,2,1.6129187014550233,1.1819815821092003,-0.21230319873142087,False,True,True,True,2,0.1684793470408049,valley,,Non-monotonic: U-shaped / inverted-U,0.9189824943237039,0.9878787878787878,0.9555555555555554,0.9189824943237039,0.9878787878787878,0.06889629355508387,215.54232,215.54232,0.9835761346312042,0.9835761346312042,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,1,1.9584490115421986,0.8194775521522507,-0.0599037183628406,False,True,False,True,1,0.7465190233766208,peak,,Non-monotonic: U-shaped / inverted-U,0.8824063863566616,0.9862674649358186,0.9366105138444926,0.8824063863566616,0.9862674649358186,0.10386107857915705,134.08443235806806,134.08443235806806,0.45547230816627293,0.45547230816627293,0.8463121501481725,0.13919986829107672,0.014487981560750741,positive,0.8463121501481725,2,3.0504277661337293,1.5624738513244651,-0.10297295127169076,False,True,True,True,2,0.13085883916485333,valley,True,Non-monotonic: U-shaped / inverted-U,0.8710830450180281,0.8698958877320858,0.7082720178372353,0.8710830450180281,0.8698958877320858,-0.0011871572859423196,165.3750354536736,165.3750354536736,0.5312999003376834,0.5312999003376834,0.6889632107023411,0.2842809364548495,0.026755852842809364,positive,0.6889632107023411,3,0.2557184947455685,1.0096056547246712,0.33335860908668,True,False,True,True,3,0.12709030100334448,valley,True
HW_T,HW,LPJ-GUESS,LPJ-GUESS: LAI -> T,LAI,T,Monotonic nonlinear,0.993011091202421,0.9999999999999999,0.9999999999999999,0.993011091202421,0.9999999999999999,0.006988908797578852,737.9480000000001,737.9480000000001,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.361925328788309,0.7571411293179136,0.9247660683059934,True,False,False,False,0,,,,Monotonic nonlinear,0.989011568897801,0.9999999999999999,0.9999999999999999,0.989011568897801,0.9999999999999999,0.010988431102198937,636.5009400000001,636.5009400000001,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.2791190453804784,0.8049502169502483,0.9036763432554061,True,False,False,False,0,,,,Monotonic nonlinear,0.9905278443485861,0.9999999999999999,0.9999999999999998,0.9905278443485861,0.9999999999999999,0.009472155651413794,863.4225181031212,863.4225181031212,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.2965438764229864,0.8399400666040447,0.9224073166159026,True,False,False,False,0,,,,Monotonic nonlinear,0.9913902551110143,1.0,1.0,0.9913902551110143,1.0,0.008609744888985693,822.8785346847316,822.8785346847316,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.4366327037505204,0.8125847038775178,0.7489084394107371,True,False,False,False,0,,,
HW_T,HW,LPJ-GUESS,LPJ-GUESS: P -> T,P,T,Non-monotonic: U-shaped / inverted-U,0.9407108622267477,0.9393939393939393,0.8666666666666666,0.9407108622267477,0.9393939393939393,-0.001316922832808376,534.2467800000002,534.2467800000002,0.9758719347275927,0.9758719347275927,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,2,1.6728435829982218,1.5626026755167695,0.06506858869675097,True,False,True,True,2,0.9078965993763337,valley,,Monotonic nonlinear,0.9617727945322926,0.9999999999999999,0.9999999999999999,0.9617727945322926,0.9999999999999999,0.038227205467707304,493.10777500000006,493.10777500000006,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.6673089359126245,0.9480284326200876,0.18868759790710832,True,False,False,False,0,,,,Non-monotonic: U-shaped / inverted-U,0.9492194169690128,0.9985285607495994,0.9867636452229321,0.9492194169690128,0.9985285607495994,0.049309143780586595,519.7819206309831,519.7819206309831,0.8936113484108102,0.8936113484108102,0.9370879791649711,0.05436640351591113,0.008545617319117767,positive,0.9370879791649711,19,2.278431995877336,1.7200882833084283,0.006469898066923089,False,False,True,True,19,0.1267108815219188,valley,False,Non-monotonic: U-shaped / inverted-U,0.9212391605602754,0.8865409615662396,0.7432775919732442,0.9212391605602754,0.8865409615662396,-0.03469819899403581,495.3589676884112,495.3589676884112,0.8843526058222847,0.8843526058222847,0.7224080267558528,0.26755852842809363,0.010033444816053512,positive,0.7224080267558528,3,1.1207640900257396,1.485938944905366,0.05237064592657959,True,False,True,True,3,0.09698996655518394,valley,True
all_zones_E_soil,CD,CLASSIC,CLASSIC: LAI -> E_soil,LAI,E_soil,Non-monotonic: U-shaped / inverted-U,-0.07062388140587463,-0.3939393939393939,-0.4222222222222222,0.07062388140587463,0.3939393939393939,0.3233155125335193,38.979117,38.979117,0.25834808821762406,0.25834808821762406,0.4444444444444444,0.5555555555555556,0.0,negative,0.5555555555555556,3,2.442868309545782,-0.7634903519040276,-1.569485494119056,False,True,True,True,3,0.3650113677876965,peak,False,Non-monotonic: U-shaped / inverted-U,0.6301279377367941,0.9833333333333333,0.9444444444444445,0.6301279377367941,0.9833333333333333,0.3532053955965392,226.82916,226.82916,0.9733660687871933,0.9733660687871933,0.875,0.125,0.0,positive,0.875,1,91.87277035976965,-0.03975075803937136,,,,False,True,1,0.4567882281381147,peak,,Non-monotonic: U-shaped / inverted-U,0.5645288599724796,0.968971597122662,0.9129396537520283,0.5645288599724796,0.968971597122662,0.4044427371501824,171.79133436633936,171.79133436633936,0.7129568490173925,0.7129568490173925,0.8518837253777013,0.13319946452476572,0.01491681009753299,positive,0.8518837253777013,41,517.7766672731617,-0.3498123809031743,-0.44034958692628123,False,True,True,True,29,0.20123301809354655,peak,True,Non-monotonic: U-shaped / inverted-U,-0.42726707016920074,-0.5834064822942477,-0.5662876254180602,0.42726707016920074,0.5834064822942477,0.156139412125047,103.18422018263854,103.18422018263854,0.5021327223004155,0.5021327223004155,0.22073578595317725,0.7725752508361204,0.006688963210702341,negative,0.7725752508361204,3,2.857035980372857,-0.39004348239624304,-0.9695160931223348,False,True,True,True,3,0.2491638795986622,peak,True
all_zones_E_soil,CD,CLASSIC,CLASSIC: P -> E_soil,P,E_soil,Non-monotonic: U-shaped / inverted-U,0.4903238640416369,0.16363636363636364,0.1111111111111111,0.4903238640416369,0.16363636363636364,-0.3266875004052733,170.85511000000002,170.85511000000002,0.6838341459816362,0.6838341459816362,0.6666666666666666,0.3333333333333333,0.0,positive,0.6666666666666666,2,2.341797602989255,0.010055275237664732,-0.5605265947656739,False,True,True,True,2,0.5790589468212888,peak,False,Monotonic nonlinear,0.9551869923456836,1.0,1.0,0.9551869923456836,1.0,0.044813007654316395,233.08884,233.08884,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.5836154247595637,1.5797506740012597,0.3314372838923308,True,False,False,False,0,,,,Non-monotonic: U-shaped / inverted-U,0.8238330575593358,0.974684809217296,0.939654306331938,0.8238330575593358,0.974684809217296,0.15085175165796028,142.3711259088307,142.3711259088307,0.5941773347221325,0.5941773347221325,0.8989201284171612,0.08833544119077731,0.012744430392061485,positive,0.8989201284171612,14,2.3673298566245977,0.5938548819081497,-0.8073224051741271,False,True,True,True,9,0.44774991176762385,peak,True,Non-monotonic: U-shaped / inverted-U,0.5664138329335542,0.35794619940221556,0.16356744704570791,0.5664138329335542,0.35794619940221556,-0.20846763353133863,130.17026094895866,130.17026094895866,0.6238136119405271,0.6238136119405271,0.47491638795986624,0.4682274247491639,0.056856187290969896,positive,0.47491638795986624,3,2.6868131455353472,0.18765654456073078,-1.007390424948293,False,True,True,True,3,0.451505016722408,peak,True
all_zones_E_soil,CD,LPJ-GUESS,LPJ-GUESS: LAI -> E_soil,LAI,E_soil,Non-monotonic: U-shaped / inverted-U,0.7124855043469139,0.7333333333333334,0.6666666666666666,0.7124855043469139,0.7333333333333334,0.02084782898641946,15.344048,15.344048,0.3644641358341044,0.3644641358341044,0.75,0.25,0.0,positive,0.75,2,-1.1269978710145434,0.6736760014004299,1.5479561125141998,False,True,True,True,2,0.15878089608245036,valley,,Non-monotonic: U-shaped / inverted-U,-0.06215774465423191,-0.16363636363636364,0.1111111111111111,0.06215774465423191,0.16363636363636364,0.10147861898213173,6.690939999999998,6.690939999999998,0.10532164706431058,0.10532164706431058,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,2,537.0186215716585,0.4090178100443344,0.4178515307321738,True,False,True,True,2,0.10400540602343564,valley,False,Non-monotonic: U-shaped / inverted-U,0.014681493791515959,0.008718109814083263,0.2202518578452592,0.014681493791515959,0.008718109814083263,-0.0059633839774326965,43.34854444905718,43.34854444905718,0.6411890414795971,0.6411890414795971,0.8372841673983026,0.15520437030533607,0.0075114622963613304,positive,0.8372841673983026,174,1105.1372219784625,0.6709103892096444,0.9808390090408693,True,False,True,True,173,0.07117775728854456,peak,True,Non-monotonic: U-shaped / inverted-U,0.5985188933410439,0.6009048989433216,0.5013154960981048,0.5985188933410439,0.6009048989433216,0.002386005602277641,-32.52848187762999,32.52848187762999,-0.7091100231253382,0.7091100231253382,0.5451505016722408,0.44816053511705684,0.006688963210702341,positive,0.5451505016722408,4,-0.9466519205658895,1.4915924057988363,-2.6502635303197195,True,False,True,True,4,0.7374581939799332,peak,True
all_zones_E_soil,CD,LPJ-GUESS,LPJ-GUESS: P -> E_soil,P,E_soil,Non-monotonic: U-shaped / inverted-U,0.9665150585775062,0.9878787878787878,0.9555555555555554,0.9665150585775062,0.9878787878787878,0.02136372930128161,84.67244350000001,84.67244350000001,1.0,1.0,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,2,1.192347624471646,1.1233384885007123,0.6554510912508471,True,False,True,True,2,0.8917605716197022,valley,,Non-monotonic: U-shaped / inverted-U,0.9596647397030347,0.9757575757575757,0.911111111111111,0.9596647397030347,0.9757575757575757,0.016092836054541038,58.063291500000005,58.063291500000005,0.9537821968969751,0.9537821968969751,0.7777777777777778,0.2222222222222222,0.0,positive,0.7777777777777778,3,1.6296244380497071,0.6404469885604189,1.4290265145214576,True,False,True,True,3,0.5037772166048587,peak,False,Non-monotonic: U-shaped / inverted-U,0.9405925290889525,0.9956764774470891,0.9765061803987285,0.9405925290889525,0.9956764774470891,0.05508394835813657,52.96506101882666,52.96506101882666,0.6172767204485978,0.6172767204485978,0.9109665616424434,0.07439780465494461,0.014635633702612054,positive,0.9109665616424434,137,1.1822247532865444,1.5467782270547175,0.5361578334888218,True,False,True,True,137,0.06309618500743946,valley,True,Non-monotonic: U-shaped / inverted-U,0.9067118644296959,0.8783479816442404,0.7314604236343367,0.9067118644296959,0.8783479816442404,-0.02836388278545543,52.6774844299516,52.6774844299516,0.5438810507866132,0.5438810507866132,0.7190635451505016,0.26755852842809363,0.013377926421404682,positive,0.7190635451505016,3,0.02707064370665762,1.2651660298348035,0.3466193286088605,False,False,True,True,3,0.06354515050167224,valley,True
all_zones_E_soil,CW,CLASSIC,CLASSIC: LAI -> E_soil,LAI,E_soil,Non-monotonic: U-shaped / inverted-U,-0.7594573222199524,-0.7212121212121211,-0.6444444444444444,0.7594573222199524,0.7212121212121211,-0.03824520100783135,-26.701276000000007,26.701276000000007,-0.2457569377181542,0.2457569377181542,0.3333333333333333,0.6666666666666666,0.0,negative,0.6666666666666666,4,-0.8116943831473457,-0.9309440150168421,1.0224182050899902,False,True,True,True,4,0.8923901271799577,valley,,Non-monotonic: U-shaped / inverted-U,-0.8495222051251424,-0.7212121212121211,-0.6,0.8495222051251424,0.7212121212121211,-0.12831008391302134,-68.56604499999999,68.56604499999999,-0.659482046376275,0.659482046376275,0.2222222222222222,0.7777777777777778,0.0,negative,0.7777777777777778,2,0.4350661037996453,-1.1884956650632807,-0.7713651637081644,False,True,True,True,2,0.13697860977614293,peak,False,Non-monotonic: U-shaped / inverted-U,-0.8832425482122739,-0.7255142955774954,-0.6167990292253203,0.8832425482122739,0.7255142955774954,-0.15772825263477852,-90.72250325083576,90.72250325083576,-0.8146549736465362,0.8146549736465362,0.16927046680741262,0.8296973961998593,0.0010321369927281257,negative,0.8296973961998593,360,-0.37905952537473886,-1.3926806895908506,-0.3744301538707253,True,False,True,True,360,0.09419129524200182,peak,True,Non-monotonic: U-shaped / inverted-U,-0.8511405211462133,-0.7991275458616207,-0.6341583054626533,0.8511405211462133,0.7991275458616207,-0.05201297528459259,-25.998390791449552,25.998390791449552,-0.2951876421684394,0.2951876421684394,0.35785953177257523,0.6387959866220736,0.0033444816053511705,negative,0.6387959866220736,3,-0.09991602596573872,-1.7283367983689604,0.9283584062673765,False,True,True,True,2,0.7608695652173914,valley,True
all_zones_E_soil,CW,CLASSIC,CLASSIC: P -> E_soil,P,E_soil,Non-monotonic: U-shaped / inverted-U,0.864567594861473,0.8424242424242423,0.7333333333333333,0.864567594861473,0.8424242424242423,-0.022143352437230757,43.92592000000002,43.92592000000002,0.5987911420026799,0.5987911420026799,0.6666666666666666,0.3333333333333333,0.0,positive,0.6666666666666666,3,0.8347493105308774,1.0733403972557813,-0.5012921881101312,False,True,True,True,3,0.7911259341955013,peak,False,Non-monotonic: U-shaped / inverted-U,0.5201435379701747,0.5030303030303029,0.4222222222222222,0.5201435379701747,0.5030303030303029,-0.017113234939871713,49.457575000000006,49.457575000000006,1.0,1.0,0.7777777777777778,0.2222222222222222,0.0,positive,0.7777777777777778,2,2.401075893682895,-1.4659011588097972,0.13535565441683248,True,False,True,True,2,0.31032739222407724,peak,False,Non-monotonic: U-shaped / inverted-U,0.5489470149702751,0.3484917657645363,0.23300408432571662,0.5489470149702751,0.3484917657645363,-0.20045524920573882,50.18171351209298,50.18171351209298,0.634310926366021,0.634310926366021,0.5975314617618587,0.3995643756050339,0.002904162633107454,positive,0.5975314617618587,477,0.5073777699640182,2.5125110193811717,0.18067453369458789,True,False,True,True,477,0.08263763434391677,valley,True,Non-monotonic: U-shaped / inverted-U,0.7614964777002675,0.7378410871231902,0.5129542920847269,0.7614964777002675,0.7378410871231902,-0.02365539057707733,5.274644125023599,5.274644125023599,0.05297781139767793,0.05297781139767793,0.43812709030100333,0.5618729096989966,0.0,negative,0.5618729096989966,6,0.052902529907837136,1.8704742261398732,-1.746268357707255,False,True,True,True,6,0.7023411371237458,peak,True
