analysis_group,zone,model,relation_label,x_label,y_label,Equal-width bins | raw_amplitude,Equal-width bins | amplitude_norm_by_y_sd,Equal-width bins | amplitude_norm_by_y_range,Equal-width bins | strength_raw_net_change,Equal-width bins | strength_absolute_net_change,Equal-width bins | net_change_by_sd,Equal-width bins | absolute_net_change_by_sd,Equal-width bins | strength_normalized_net_change,Equal-width bins | strength_normalized_absolute_net_change,Equal-width bins | raw_total_variation,Equal-width bins | total_variation_by_sd,Equal-width bins | normalized_total_variation,Equal-width bins | mean_absolute_slope,Equal-width bins | median_absolute_slope,Equal-width bins | max_absolute_slope,Equal-width bins | slope_standard_deviation,Equal-width bins | slope_interquartile_range,Equal-width bins | overall_standardized_slope,Equal-width bins | mean_standardized_absolute_slope,Equal-width bins | max_standardized_absolute_slope,Equal-width bins | early_absolute_standardized_slope,Equal-width bins | middle_absolute_standardized_slope,Equal-width bins | late_absolute_standardized_slope,Equal-width bins | middle_to_early_absolute_slope_ratio,Equal-width bins | late_to_early_absolute_slope_ratio,Equal-width bins | accumulated_absolute_variation_final_value,Equal-width bins | accumulated_absolute_variation_early_value,Equal-width bins | accumulated_absolute_variation_middle_value,Equal-width bins | accumulated_absolute_variation_late_value,Equal-count bins | raw_amplitude,Equal-count bins | amplitude_norm_by_y_sd,Equal-count bins | amplitude_norm_by_y_range,Equal-count bins | strength_raw_net_change,Equal-count bins | strength_absolute_net_change,Equal-count bins | net_change_by_sd,Equal-count bins | absolute_net_change_by_sd,Equal-count bins | strength_normalized_net_change,Equal-count bins | strength_normalized_absolute_net_change,Equal-count bins | raw_total_variation,Equal-count bins | total_variation_by_sd,Equal-count bins | normalized_total_variation,Equal-count bins | mean_absolute_slope,Equal-count bins | median_absolute_slope,Equal-count bins | max_absolute_slope,Equal-count bins | slope_standard_deviation,Equal-count bins | slope_interquartile_range,Equal-count bins | overall_standardized_slope,Equal-count bins | mean_standardized_absolute_slope,Equal-count bins | max_standardized_absolute_slope,Equal-count bins | early_absolute_standardized_slope,Equal-count bins | middle_absolute_standardized_slope,Equal-count bins | late_absolute_standardized_slope,Equal-count bins | middle_to_early_absolute_slope_ratio,Equal-count bins | late_to_early_absolute_slope_ratio,Equal-count bins | accumulated_absolute_variation_final_value,Equal-count bins | accumulated_absolute_variation_early_value,Equal-count bins | accumulated_absolute_variation_middle_value,Equal-count bins | accumulated_absolute_variation_late_value,LOWESS | raw_amplitude,LOWESS | amplitude_norm_by_y_sd,LOWESS | amplitude_norm_by_y_range,LOWESS | strength_raw_net_change,LOWESS | strength_absolute_net_change,LOWESS | net_change_by_sd,LOWESS | absolute_net_change_by_sd,LOWESS | strength_normalized_net_change,LOWESS | strength_normalized_absolute_net_change,LOWESS | raw_total_variation,LOWESS | total_variation_by_sd,LOWESS | normalized_total_variation,LOWESS | mean_absolute_slope,LOWESS | median_absolute_slope,LOWESS | max_absolute_slope,LOWESS | slope_standard_deviation,LOWESS | slope_interquartile_range,LOWESS | overall_standardized_slope,LOWESS | mean_standardized_absolute_slope,LOWESS | max_standardized_absolute_slope,LOWESS | early_absolute_standardized_slope,LOWESS | middle_absolute_standardized_slope,LOWESS | late_absolute_standardized_slope,LOWESS | middle_to_early_absolute_slope_ratio,LOWESS | late_to_early_absolute_slope_ratio,LOWESS | accumulated_absolute_variation_final_value,LOWESS | accumulated_absolute_variation_early_value,LOWESS | accumulated_absolute_variation_middle_value,LOWESS | accumulated_absolute_variation_late_value,Generalized Additive Model (GAM) | raw_amplitude,Generalized Additive Model (GAM) | amplitude_norm_by_y_sd,Generalized Additive Model (GAM) | amplitude_norm_by_y_range,Generalized Additive Model (GAM) | strength_raw_net_change,Generalized Additive Model (GAM) | strength_absolute_net_change,Generalized Additive Model (GAM) | net_change_by_sd,Generalized Additive Model (GAM) | absolute_net_change_by_sd,Generalized Additive Model (GAM) | strength_normalized_net_change,Generalized Additive Model (GAM) | strength_normalized_absolute_net_change,Generalized Additive Model (GAM) | raw_total_variation,Generalized Additive Model (GAM) | total_variation_by_sd,Generalized Additive Model (GAM) | normalized_total_variation,Generalized Additive Model (GAM) | mean_absolute_slope,Generalized Additive Model (GAM) | median_absolute_slope,Generalized Additive Model (GAM) | max_absolute_slope,Generalized Additive Model (GAM) | slope_standard_deviation,Generalized Additive Model (GAM) | slope_interquartile_range,Generalized Additive Model (GAM) | overall_standardized_slope,Generalized Additive Model (GAM) | mean_standardized_absolute_slope,Generalized Additive Model (GAM) | max_standardized_absolute_slope,Generalized Additive Model (GAM) | early_absolute_standardized_slope,Generalized Additive Model (GAM) | middle_absolute_standardized_slope,Generalized Additive Model (GAM) | late_absolute_standardized_slope,Generalized Additive Model (GAM) | middle_to_early_absolute_slope_ratio,Generalized Additive Model (GAM) | late_to_early_absolute_slope_ratio,Generalized Additive Model (GAM) | accumulated_absolute_variation_final_value,Generalized Additive Model (GAM) | accumulated_absolute_variation_early_value,Generalized Additive Model (GAM) | accumulated_absolute_variation_middle_value,Generalized Additive Model (GAM) | accumulated_absolute_variation_late_value
HW_T,HW,CLASSIC,CLASSIC: LAI -> T,LAI,T,318.94726,2.4207363413237184,0.5143031481984389,318.65449,318.65449,2.4185142843646794,2.4185142843646794,0.9990820739453914,0.9990820739453914,319.24003,2.4229583982827565,1.0009179260546086,0.9896857651752224,0.9377798365503291,2.3361943775976317,0.6238550437870677,0.5248041100898868,0.986826426091396,0.9896857651752224,2.3361943775976317,1.5429807161907734,0.9151139181786484,0.5023846439047662,0.593081889213646,0.3255935985674701,1.0009179260546086,0.4974793324764726,0.8182973730515821,1.0009179260546086,306.542895,2.3265900641412647,0.494301082744412,286.58876499999997,286.58876499999997,2.1751428071543324,2.1751428071543324,0.9349059125966692,0.9349059125966692,326.497025,2.478037321128197,1.0650940874033306,1.0730512539950148,0.9341002313097618,2.08664800702389,0.7192812316802074,0.3158010170395149,0.9058957100339184,1.0730512539950148,2.08664800702389,1.3694406321228767,1.002713050440395,0.3455334475384823,0.7322062942487775,0.2523172158276361,1.0650940874033306,0.4766564235651261,0.8163501554978138,1.0650940874033306,463.73956202095167,3.5196766095236622,0.7477810491036688,463.73956202095167,463.73956202095167,3.5196766095236622,3.5196766095236622,1.0,1.0,475.60036110029824,3.6096973463956865,1.0255764227396478,0.9296188423296966,0.852047633570697,1.9534468753435592,0.4974071939783598,0.5170801006560493,0.8917260814565098,0.9296188423296966,1.9534468753435592,1.2223444168740962,0.8294611962035885,0.6588651529989306,0.678582226705605,0.5390175992163058,1.025576422739647,0.4443879803689766,0.7095168822485907,1.025576422739647,498.13347171381815,3.78071847303968,0.8032413030462612,498.13347171381815,498.13347171381815,3.78071847303968,3.78071847303968,1.0,1.0,498.13347171381815,3.78071847303968,1.0,0.9999999999999996,0.8876162466735862,2.749984549416216,0.5608828387256637,0.4410852581935471,0.9999999999999996,0.9999999999999996,2.749984549416216,1.3125721803417338,0.7544241544566117,0.93054790674622,0.574767746685134,0.7089498929528949,1.0,0.4389873512848607,0.6887799642989227,1.0
HW_T,HW,CLASSIC,CLASSIC: P -> T,P,T,250.48602,1.901131276711829,0.4039092502807427,115.13126500000004,115.13126500000004,0.8738198196406249,0.8738198196406249,0.4596314995942689,0.4596314995942689,385.8407749999999,2.9284427337830325,1.540368500405731,1.5308130605060342,1.5905596373725726,4.139313020192588,1.8871697903857776,2.185571762464553,0.8608656949442675,1.5308130605060342,4.139313020192588,1.6129187014550233,1.1819815821092003,0.2123031987314208,0.7328215495566689,0.1316267202679843,1.540368500405731,1.0960245406110884,1.4726593324449804,1.540368500405731,219.14147,1.663233351871721,0.35336609545363,215.54232,215.54232,1.6359166312236888,1.6359166312236888,0.9835761346312042,0.9835761346312042,222.74062,1.6905500725197533,1.0164238653687958,1.367842381392287,1.650385075031957,2.2920627783647394,0.7768311773863074,1.303266099542217,1.3545304439783223,1.367842381392287,2.2920627783647394,1.9584490115421984,0.8194775521522507,0.0599037183628406,0.4184319057185694,0.0305873259961304,1.0164238653687958,0.688321840681273,1.0,1.0164238653687958,294.38547624967725,2.234318052192968,0.4746972186533465,134.08443235806806,134.08443235806806,1.0176700004099022,1.0176700004099022,0.4554723081662729,0.4554723081662729,454.6946131818908,3.451027528292714,1.5445551831376734,2.0422763104890485,2.487637545272869,16.53910584243198,1.3465888717061054,2.2857562621738565,2.007190175937333,2.0422763104890485,16.53910584243198,3.0504277661337293,1.5624738513244651,0.1029729512716907,0.5122146699132711,0.0337568889238783,1.5445551831376756,1.1287971237004233,1.5152955552157206,1.5445551831376756,311.264947252135,2.3624293546006743,0.5019154022379564,165.3750354536736,165.3750354536736,1.2551584806541558,1.2551584806541558,0.5312999003376834,0.5312999003376834,490.92871439084865,3.726036022147547,1.5772052674893071,1.5772052674893071,1.2293039292407484,5.413298598501635,2.056137363706592,2.064596037693623,0.5312999003376833,1.5772052674893071,5.413298598501635,0.2557184947455685,1.0096056547246712,0.33335860908668,3.9481135524796342,1.3036155613944187,1.5772052674893065,1.0229247795070977,1.357208926054731,1.5772052674893065
HW_T,HW,LPJ-GUESS,LPJ-GUESS: LAI -> T,LAI,T,737.9480000000001,3.5281664885828357,0.7334390878602974,737.9480000000001,737.9480000000001,3.5281664885828357,3.5281664885828357,1.0,1.0,737.9480000000001,3.5281664885828357,1.0,1.0146108421374054,0.9836512797921708,1.6141838695228838,0.3036626189790348,0.3501503158844118,1.0146108421374054,1.0146108421374054,1.6141838695228838,1.361925328788309,0.7571411293179136,0.9247660683059934,0.5559343917860271,0.679013782002827,1.0,0.4342988733623505,0.7020046466688709,1.0,636.5009400000001,3.04314299443792,0.632611876251202,636.5009400000001,636.5009400000001,3.04314299443792,3.04314299443792,1.0,1.0,636.50094,3.0431429944379196,1.0,1.0486006272431811,1.094051749213237,1.682195303216718,0.3135572505067796,0.2300655956669897,1.0486006272431811,1.0486006272431811,1.682195303216718,1.2791190453804784,0.8049502169502483,0.903676343255406,0.6293004703958677,0.706483377383068,1.0,0.4553036323874086,0.6379812102084247,1.0,863.4225181031212,4.128066467907276,0.8581469481800809,863.4225181031212,863.4225181031212,4.128066467907276,4.128066467907276,1.0,1.0,863.4225181031212,4.128066467907276,1.0,1.0544576213494326,1.007446959636047,1.594138335172828,0.2906991875133295,0.3656260961482361,1.0544576213494326,1.0544576213494326,1.594138335172828,1.2965438764229864,0.8399400666040447,0.9224073166159026,0.6478300363589249,0.7114354811969164,1.0,0.4519262581196623,0.7102794675373255,1.0,822.8785346847316,3.9342236448216106,0.8178506912397453,822.8785346847316,822.8785346847316,3.9342236448216106,3.9342236448216106,1.0,1.0,822.8785346847316,3.9342236448216106,1.0,1.0,1.0381926231163905,1.8696673075756136,0.409999379745774,0.6007776511692202,1.0,1.0,1.8696673075756136,1.4366327037505204,0.8125847038775178,0.7489084394107371,0.5656175734800952,0.5212942998273756,1.0,0.4804791651339533,0.7495289500298538,1.0
HW_T,HW,LPJ-GUESS,LPJ-GUESS: P -> T,P,T,547.4558300000001,2.617413846755194,0.5441108378896644,534.2467800000002,534.2467800000002,2.554260714615782,2.554260714615782,0.9758719347275928,0.9758719347275928,592.0112400000003,2.830435502003354,1.0813863101978478,1.2068995161943246,1.0227573979768048,2.506616311914669,1.011120899570071,1.8799274372958883,1.1001716157372474,1.2068995161943246,2.506616311914669,1.6728435829982218,1.5626026755167697,0.0650685886967509,0.9340996919246516,0.0388969951273801,1.0813863101978478,0.472725132911636,0.9627013835983806,1.0813863101978478,493.10777500000006,2.3575730634335277,0.4900948531777588,493.10777500000006,493.10777500000006,2.3575730634335277,2.3575730634335277,1.0,1.0,493.10777500000006,2.3575730634335277,1.0,1.2632575083700548,1.3423269833232114,2.258601265475663,0.5558509277666775,0.6506218616832836,1.2632575083700548,1.2632575083700548,2.258601265475663,1.6673089359126243,0.9480284326200876,0.1886875979071083,0.5685979437884865,0.1131689477834097,1.0,0.5891209076960915,0.9502048005631224,1.0,581.664413232171,2.7809668030361814,0.5781104043669725,519.7819206309831,519.7819206309831,2.485103494746862,2.485103494746862,0.8936113484108102,0.8936113484108102,678.1553916897328,3.2422950221580407,1.1658877116469697,1.7931695435545372,1.9437632172285408,6.666057771620048,0.8693368553016427,1.043391501375467,1.7814618573549363,1.7931695435545372,6.666057771620048,2.278431995877336,1.7200882833084283,0.006469898066923,0.7549438764996315,0.0028396274624961,1.1658877116469737,0.6384296075820134,1.1346517515180343,1.1658877116469737,560.1373981680292,2.678045061736628,0.5567149208193525,495.3589676884112,495.3589676884112,2.3683361288562876,2.3683361288562876,0.8843526058222847,0.8843526058222847,735.8419479516675,3.5180973478572852,1.3136811617262,1.3136811617261996,1.3682142245959334,2.724686829483311,1.2219166739070793,2.050734149335809,0.8843526058222846,1.3136811617261996,2.724686829483311,1.1207640900257396,1.485938944905366,0.0523706459265795,1.3258266910311516,0.0467276266188871,1.313681161726199,0.6061322766583535,1.0981321279815344,1.313681161726199
all_zones_E_soil,CD,CLASSIC,CLASSIC: LAI -> E_soil,LAI,E_soil,150.878287,1.5711374235913338,0.3976501450748989,38.979117,38.979117,0.4059003497119845,0.4059003497119845,0.258348088217624,0.258348088217624,266.28329699999995,2.7728817811537447,1.764888124690864,1.6185397999521596,0.8712131467583311,6.593745948688833,2.5773313654394174,1.1956864636967648,0.0366308211742328,1.6185397999521596,6.593745948688833,2.442868309545782,0.7634903519040276,1.569485494119056,0.3125384814730304,0.6424765051747223,1.764888124690864,1.0,1.270715560284695,1.764888124690864,233.03582,2.426666587481165,0.6141819971129977,226.82916,226.82916,2.3620349165137755,2.3620349165137755,0.9733660687871932,0.9733660687871932,239.24248,2.491298258448555,1.0266339312128068,80.39364290955335,3.6501206608561385,593.9662695932864,194.3872853498756,12.408710576773384,80.38370522004351,80.39364290955335,593.9662695932864,91.87277035976965,0.0397507580393713,,0.0004326718121561,,1.0266339312128068,1.0,1.0266339312128068,1.0266339312128068,240.95614566730745,2.509143134043082,0.6350565623885516,171.79133436633936,171.79133436633936,1.788910782580981,1.788910782580981,0.7129568490173925,0.7129568490173925,323.8003468040074,3.371822763573851,1.3438144352254224,1187.863359763193,5.332720674201655,3749849.84138699,42207.44182332996,10.414539243340704,472.1454271932108,1187.863359763193,3749849.84138699,517.7766672731617,0.3498123809031743,0.4403495869262812,0.0006756047597614,0.0008504623996391,1.343814435225416,1.074746777794913,1.195788072156818,1.343814435225416,205.4919259392651,2.139844383897586,0.5415881621287837,103.18422018263854,103.18422018263854,1.0744858857857502,1.0744858857857502,0.5021327223004155,0.5021327223004155,310.67552691353,3.2351503760630824,1.5118624514977432,1.5118624514977437,0.6697465209937774,25.69114524405412,3.784447626756828,0.5926563084844356,0.5021327223004153,1.5118624514977437,25.69114524405412,2.857035980372857,0.390043482396243,0.9695160931223348,0.1365203256366902,0.3393433263643422,1.5118624514977457,1.0584647455798113,1.187609577543786,1.5118624514977457
all_zones_E_soil,CD,CLASSIC,CLASSIC: P -> E_soil,P,E_soil,249.848755,2.601744339914214,0.6584936484103433,170.85511000000002,170.85511000000002,1.7791616187477923,1.7791616187477923,0.6838341459816362,0.6838341459816362,346.32312,3.6063586438180626,1.3861310615696287,1.3043658532841709,1.1223858033627083,2.6745516885522083,1.4389614603618053,2.257827802158781,0.5971087611537487,1.3043658532841709,2.6745516885522083,2.341797602989255,0.0100552752376647,0.5605265947656739,0.0042938276240565,0.2393574039234533,1.3861310615696285,0.8854447563687079,1.1414163740779897,1.3861310615696285,233.08884,2.427218699437465,0.6143217349845701,233.08884,233.08884,2.4272186994374656,2.4272186994374656,1.0,1.0,233.08884,2.4272186994374656,1.0,1.2691216080083916,1.2977591103751482,3.248285581606477,0.9567269180699204,1.0545201712003085,1.2691216080083916,1.2691216080083916,3.248285581606477,1.5836154247595635,1.5797506740012597,0.3314372838923308,0.9975595395839928,0.2092915228725131,1.0,0.4933969811682103,0.9084541756696716,1.0,239.6104960405645,2.4951305114871434,0.6315100098664228,142.3711259088307,142.3711259088307,1.482549997099302,1.482549997099302,0.5941773347221325,0.5941773347221325,339.7529491959177,3.5379416340883534,1.417938507745503,1.9716494403546032,1.9945422898862637,95.62762512232084,2.335925279197674,1.7079304501337318,1.8749862786782463,1.9716494403546032,95.62762512232084,2.3673298566245977,0.5938548819081497,0.8073224051741271,0.2508543033182895,0.3410265801848285,1.4179385077454936,0.9304425654005576,1.1487705407687143,1.4179385077454936,208.6685164564328,2.172923101453198,0.5499602858127919,130.17026094895866,130.17026094895866,1.3554990083865317,1.3554990083865317,0.6238136119405271,0.6238136119405271,287.8868134487691,2.9978451860857755,1.3796370355126193,1.3796370355126193,1.3146333291795744,5.397982881863122,1.6970428483357545,2.5895482614414207,0.6238136119405275,1.3796370355126193,5.397982881863122,2.6868131455353472,0.1876565445607307,1.007390424948293,0.0698435411753727,0.3749387733278975,1.3796370355126202,0.8985997142258683,1.04238148494474,1.3796370355126202
all_zones_E_soil,CD,LPJ-GUESS,LPJ-GUESS: LAI -> E_soil,LAI,E_soil,42.10029599999999,1.1796777208422051,0.1660725413961498,15.344048,15.344048,0.4299502210895002,0.4299502210895002,0.3644641358341044,0.3644641358341044,68.85654399999999,1.9294052205949104,1.6355358641658957,1.5289051953493558,1.1190334586906618,3.3920138998544265,1.7911145039508083,1.2530181378549583,0.5513625749643504,1.5289051953493558,3.3920138998544265,1.1269978710145434,0.6736760014004299,1.5479561125141998,0.5977615563674268,1.3735217717143533,1.6355358641658957,0.7190269398580952,0.9606023672612658,1.6355358641658957,63.5286305,1.7801136133690514,0.2506006399231006,6.690939999999998,6.690939999999998,0.1874844977216299,0.1874844977216299,0.1053216470643105,0.1053216470643105,133.748201,3.747711724459733,2.1053216470643106,300.6514566332935,0.9067968871814104,2538.323158126875,793.3437682911565,1.9913732446052896,298.5264458687953,300.6514566332935,2538.323158126875,537.0186215716585,0.4090178100443344,0.4178515307321738,0.0007616454879111,0.0007780950491237,2.1053216470643106,1.8226070763480413,1.9998723410226824,2.1053216470643106,67.60649612636361,1.8943780648116113,0.2666865483937253,43.34854444905718,43.34854444905718,1.2146544555765313,1.2146544555765313,0.6411890414795971,0.6411890414795971,179.65544183411737,5.034062519650004,2.6573695151768044,829.6476735545604,1.5374144884415393,5758.091718822535,1830.4945926187424,1.9276323566616325,826.6296363542391,829.6476735545604,5758.091718822535,1105.1372219784623,0.6709103892096444,0.9808390090408692,0.0006070833339669,0.0008875268966915,2.6573695151768058,2.0629412746351403,2.359006846505591,2.6573695151768058,45.87226356534019,1.2853707093326248,0.1809517773910676,-32.52848187762999,32.52848187762999,-0.91146925341949,0.91146925341949,-0.7091100231253382,0.7091100231253382,127.23517463968506,3.565212482826811,2.7736842429511244,2.7736842429511244,2.0833632396329342,14.395525723023766,3.700423922099212,4.529303933110834,-0.7091100231253382,2.7736842429511244,14.395525723023766,0.9466519205658896,1.4915924057988363,2.6502635303197195,1.57565032446899,2.7996177610197477,2.773684242951125,1.1205265622555445,1.6789725151050257,2.773684242951125
all_zones_E_soil,CD,LPJ-GUESS,LPJ-GUESS: P -> E_soil,P,E_soil,84.67244350000001,2.372577028109742,0.3340063898426488,84.67244350000001,84.67244350000001,2.372577028109742,2.372577028109742,1.0,1.0,86.45126150000002,2.422420667309644,1.0210082280193085,1.0142107659906674,0.655785252075759,2.6166773730153485,0.784044987723833,1.0092222721813864,0.9903790680744018,1.0142107659906674,2.6166773730153485,1.192347624471646,1.1233384885007125,0.6554510912508471,0.94212330820761,0.5497147625393988,1.0210082280193085,0.4242106110945055,0.7736764854317684,1.0210082280193085,60.87688750000001,1.705810046987968,0.2401403405670237,58.063291500000005,58.063291500000005,1.6269712541051162,1.6269712541051162,0.9537821968969752,0.9537821968969752,64.0703915,1.7952941095280617,1.0524583981071634,1.0916682448954207,0.9974178991354145,3.4655176722947587,1.0369790097641078,1.0797391804119778,1.035504094216047,1.0916682448954207,3.4655176722947587,1.6296244380497071,0.6404469885604189,1.4290265145214576,0.3930028131677318,0.8769054275055423,1.0524583981071634,0.3220444458498309,0.5459192620516282,1.0524583981071634,85.80440386660783,2.404295295016074,0.3384716205584204,52.96506101882666,52.96506101882666,1.484115514697516,1.484115514697516,0.6172767204485978,0.6172767204485978,118.90621986134296,3.331829743904681,1.3857822501301391,1.8281768978566983,1.2679367929077665,8.971018386615434,2.167496488732172,1.706928574969062,1.2537242258314951,1.8281768978566983,8.971018386615434,1.1822247532865444,1.5467782270547177,0.5361578334888218,1.308362240559358,0.453515993467673,1.3857822501301449,0.8625588912102702,1.206546495013794,1.3857822501301449,96.85478902742491,2.7139342861752156,0.3820619446517046,52.6774844299516,52.6774844299516,1.4760574313307933,1.4760574313307933,0.5438810507866132,0.5438810507866132,154.22665428086754,4.321531326410926,1.592349287315029,1.592349287315029,1.0320459218403302,15.987674586452174,2.586789097825176,1.9768603668776852,0.5438810507866133,1.592349287315029,15.987674586452174,0.0270706437066576,1.2651660298348035,0.3466193286088605,46.73572019728718,12.804251438011232,1.592349287315027,0.9212916254189664,1.4054098778321098,1.592349287315027
all_zones_E_soil,CW,CLASSIC,CLASSIC: LAI -> E_soil,LAI,E_soil,108.64912399999996,1.8417021106240128,0.3171861639401276,-26.701276000000007,26.701276000000007,-0.4526110708960186,0.4526110708960186,-0.2457569377181542,0.2457569377181542,198.72393199999993,3.3685525618771,1.8290431131317728,1.8323562600491337,1.8746968517147564,5.490417746025487,2.339051343823518,2.235241432311597,-0.2400733976913991,1.8323562600491337,5.490417746025487,0.8116943831473457,0.930944015016842,1.0224182050899902,1.1469144475376385,1.2596098067422403,1.8290431131317724,0.5767542129469904,0.9553649967762275,1.8290431131317724,103.96954,1.762378878071836,0.3035247625118419,-68.56604499999999,68.56604499999999,-1.162257229001138,1.162257229001138,-0.659482046376275,0.659482046376275,152.469375,2.5844954787028396,1.4664811924723338,1.8870652906199077,1.2508524415000737,6.991146387863234,2.6441831728791976,0.6061371293774407,-0.2401690710999757,1.8870652906199077,6.991146387863234,0.4350661037996453,1.1884956650632807,0.7713651637081644,2.7317588170707077,1.7729838223926315,1.4664811924723338,0.8185025152559106,1.2461588269025718,1.4664811924723338,111.36309994493274,1.8877064872995712,0.3251092431818803,-90.72250325083576,90.72250325083576,-1.5378294786634277,1.5378294786634277,-0.8146549736465362,0.8146549736465362,167.24848635297934,2.8350149451269715,1.5018303768095629,2.9160151837415857,1.9510843659568868,11.795781269781266,3.8477480823683488,1.4165530589182609,-0.6243342277459496,2.9160151837415857,11.795781269781266,0.3790595253747388,1.3926806895908506,0.3744301538707253,3.6740421922230926,0.987787217589541,1.5018303768095609,0.961324481225492,1.3878208657995246,1.5018303768095609,88.07411651946595,1.492936899198982,0.2571202613766608,-25.998390791449552,25.998390791449552,-0.4406965231808086,0.4406965231808086,-0.2951876421684394,0.2951876421684394,150.2402194129528,2.5467092509043145,1.7058385068188229,1.7058385068188229,1.5490020545718737,4.3331335882054365,1.9843576850610547,3.321887582702184,-0.2951876421684392,1.7058385068188229,4.3331335882054365,0.0999160259657387,1.7283367983689604,0.9283584062673764,17.297893722890944,9.29138641468498,1.705838506818821,0.7210380218457589,1.293296694215414,1.705838506818821
all_zones_E_soil,CW,CLASSIC,CLASSIC: P -> E_soil,P,E_soil,73.357665,1.24347957431253,0.2141576066177484,43.92592000000002,43.92592000000002,0.7445845543596061,0.7445845543596061,0.5987911420026799,0.5987911420026799,135.00499000000002,2.2884581658272167,1.840366511120549,1.8305531717864023,2.2524006522148303,2.8480692602569215,1.9632012026557468,3.518305770822793,0.4689325065588426,1.8305531717864023,2.8480692602569215,0.8347493105308774,1.0733403972557811,0.5012921881101312,1.2858236403611605,0.6005302212125497,1.840366511120549,0.3174630762852117,1.1561869506070024,1.840366511120549,49.457575000000006,0.8383511703586808,0.1443845832758961,49.457575000000006,49.457575000000006,0.8383511703586808,0.8383511703586808,1.0,1.0,121.37304499999998,2.057384219217113,2.4540840306060288,3.284880457851988,4.360642620429321,6.746739232588172,4.047103814880646,4.229076527256554,0.4306727326565802,3.284880457851988,6.746739232588172,2.401075893682895,1.4659011588097972,0.1353556544168324,0.6105184607727338,0.0563729179793717,2.4540840306060288,0.7987412443897619,2.4072310460025577,2.4540840306060288,79.11216948379708,1.341023693061287,0.2309570904552054,50.18171351209298,50.18171351209298,0.8506259810244876,0.8506259810244876,0.634310926366021,0.634310926366021,185.4791815580367,3.1440419174686647,2.34450885076568,5.0600317783840065,5.5444802669481135,39.28399788527099,6.041857812363364,8.51746871403181,0.9000198155565545,5.0600317783840065,39.28399788527099,0.5073777699640182,2.5125110193811717,0.1806745336945878,4.951953294207888,0.3560946978567879,2.344508850765669,1.781983688892356,2.287761223825212,2.344508850765669,99.56326971360672,1.6876885631602276,0.2906612628537641,5.274644125023599,5.274644125023599,0.0894100463971206,0.0894100463971206,0.0529778113976779,0.0529778113976779,300.5759892411733,5.095038168815512,3.018944537536571,3.0189445375365707,2.7400149146561747,11.610895622719683,3.6669924564120424,5.834915958608473,0.0529778113976777,3.0189445375365707,11.610895622719683,0.0529025299078371,1.8704742261398732,1.746268357707255,35.356990098554355,33.00916536032349,3.01894453753657,0.9926138574909746,2.334002629326221,3.01894453753657
