analysis_group,zone,model,x_label,y_label,method,status,reason,n_points
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Equal-width bins,success,,11147
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Equal-count bins,success,,11147
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,LOWESS,success,,11147
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Polynomial degree 3,success,,11147
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,GAM,success,,11147
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Piecewise linear,success,,11147
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Symbolic regression,success,,11147
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Equal-width bins,success,,11341
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Equal-count bins,success,,11341
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,LOWESS,success,,11341
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,success,,11341
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,GAM,success,,11341
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Piecewise linear,success,,11341
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Symbolic regression,success,,11341
all_zones_E_soil,CW,CLASSIC,P,E_soil,Equal-width bins,success,,21322
all_zones_E_soil,CW,CLASSIC,P,E_soil,Equal-count bins,success,,21322
all_zones_E_soil,CW,CLASSIC,P,E_soil,LOWESS,success,,21322
all_zones_E_soil,CW,CLASSIC,P,E_soil,Polynomial degree 3,success,,21322
all_zones_E_soil,CW,CLASSIC,P,E_soil,GAM,success,,21322
all_zones_E_soil,CW,CLASSIC,P,E_soil,Piecewise linear,success,,21322
all_zones_E_soil,CW,CLASSIC,P,E_soil,Symbolic regression,success,,21322
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Equal-width bins,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Equal-count bins,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,LOWESS,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Polynomial degree 3,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,GAM,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Piecewise linear,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Symbolic regression,success,,21472
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,Equal-width bins,success,,21322
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,Equal-count bins,success,,21322
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,LOWESS,success,,21322
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,Polynomial degree 3,success,,21322
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,GAM,success,,21322
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,Piecewise linear,success,,21322
all_zones_E_soil,CW,CLASSIC,LAI,E_soil,Symbolic regression,success,,21322
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,Equal-width bins,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,Equal-count bins,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,LOWESS,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,GAM,success,,21472
all_zones_E_soil,CW,LPJ-GUESS,LAI,E_soil,Piecewise linear,success,,21472
