zone,model,y_label,method,shape_label,count
HW,CLASSIC,T,Symbolic regression,Monotonic nonlinear,2
HW,LPJ-GUESS,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,2
HW,LPJ-GUESS,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,2
HW,LPJ-GUESS,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,2
HW,LPJ-GUESS,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,2
HW,LPJ-GUESS,E_soil,Piecewise linear,Non-monotonic: U-shaped / inverted-U,2
HW,LPJ-GUESS,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,2
HW,LPJ-GUESS,E_soil,Symbolic regression,Linear,1
HW,LPJ-GUESS,E_soil,Symbolic regression,Non-monotonic: U-shaped / inverted-U,1
HW,LPJ-GUESS,T,Equal-count bins,Monotonic nonlinear,2
HW,LPJ-GUESS,T,Equal-width bins,Monotonic nonlinear,1
HW,LPJ-GUESS,T,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1
HW,LPJ-GUESS,T,GAM,Monotonic nonlinear,1
HW,LPJ-GUESS,T,GAM,Non-monotonic: U-shaped / inverted-U,1
HW,LPJ-GUESS,T,LOWESS,Monotonic nonlinear,1
HW,LPJ-GUESS,T,LOWESS,Non-monotonic: U-shaped / inverted-U,1
HW,LPJ-GUESS,T,Piecewise linear,Monotonic nonlinear,1
HW,LPJ-GUESS,T,Piecewise linear,Non-monotonic: U-shaped / inverted-U,1
HW,LPJ-GUESS,T,Polynomial degree 3,Monotonic nonlinear,1
HW,LPJ-GUESS,T,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1
HW,LPJ-GUESS,T,Symbolic regression,Linear,1
HW,LPJ-GUESS,T,Symbolic regression,Monotonic nonlinear,1
