model,climate_zone,input_var,output_var,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant,n_samples,significant_years,significant_pct
CLASSIC,CD,lai,evapotrans,0.3881565376667585,0.39078267828740054,0.009029356812299567,0.3745395463916205,0.408573159165405,30,13326.733333333334,30,100.0
CLASSIC,CD,lai,evspsblsoi,0.3604020664819821,0.36369751406531,0.010569128363515054,0.3449724382186533,0.3838751183723382,30,13326.733333333334,30,100.0
CLASSIC,CD,lai,evspsblveg,0.5362497472729788,0.5390721684944053,0.009424471697602388,0.5231359186376016,0.5552293552649412,30,13326.733333333334,30,100.0
CLASSIC,CD,lai,tran,0.5025038654716892,0.5054996679993011,0.010565583351722533,0.48771436773394594,0.5253525997621348,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,evapotrans,0.27325580466990546,0.27732608176173695,0.008315243280901939,0.26260406302596695,0.29422798296067043,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,evspsblsoi,0.2580737222217528,0.2619735732589717,0.007883929313557383,0.24794884941940293,0.2775042764948978,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,evspsblveg,0.29986518314955446,0.3030493219329221,0.007479031885803721,0.2897685659032444,0.3184380933528082,30,13326.733333333334,30,100.0
CLASSIC,CD,precipitation,tran,0.2726467037909437,0.2761327059592789,0.00892850308643378,0.2607566879177872,0.2941396815922596,30,13326.733333333334,30,100.0
CLASSIC,CW,lai,evapotrans,0.2831140185819576,0.28430003305934487,0.004988692393529628,0.2746229337390653,0.293805051337058,30,22389.6,30,100.0
CLASSIC,CW,lai,evspsblsoi,0.16456388979545616,0.1664956552041123,0.00492053693620349,0.1573685420498473,0.17614271498610118,30,22389.6,30,100.0
CLASSIC,CW,lai,evspsblveg,0.5365290416736337,0.5379052463298973,0.003052941865233459,0.5320316860173467,0.5436775922407366,30,22389.6,30,100.0
CLASSIC,CW,lai,tran,0.41236289895387285,0.41341606507784867,0.003795256961998565,0.40611754826984653,0.4208765650783748,30,22389.6,30,100.0
CLASSIC,CW,precipitation,evapotrans,0.2537754381844087,0.2551776550914367,0.006048266036736502,0.24371461290509217,0.2671174500356324,30,22389.6,30,100.0
CLASSIC,CW,precipitation,evspsblsoi,0.11844322148806395,0.12073987460006576,0.0053757081753939805,0.11032745101874167,0.1309416899263408,30,22389.6,30,100.0
CLASSIC,CW,precipitation,evspsblveg,0.3079589241885164,0.3094742477929305,0.005746526232348271,0.2985815458180928,0.3205823406932854,30,22389.6,30,100.0
CLASSIC,CW,precipitation,tran,0.2513969357331195,0.25237194641587835,0.006120182570542007,0.24053963553177662,0.26403545889307406,30,22389.6,30,100.0
CLASSIC,HD,lai,evapotrans,0.4817921482144481,0.48363973338247607,0.007830287348051254,0.4682431784872753,0.4984665121164864,30,11827.333333333334,30,100.0
CLASSIC,HD,lai,evspsblsoi,0.358075629823179,0.35949717327773756,0.008759886804426985,0.3421854552495133,0.37542590273730087,30,11827.333333333334,30,100.0
CLASSIC,HD,lai,evspsblveg,0.597771995155716,0.5987398968356489,0.0055531397800856535,0.5879370227930428,0.6091986258068401,30,11827.333333333334,30,100.0
CLASSIC,HD,lai,tran,0.6183776848368131,0.6196717512731127,0.004411124827296543,0.6110527426018572,0.6279062345650848,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,evapotrans,0.4965093428461175,0.4982740326132146,0.005383548893226766,0.48780919749312485,0.5087079838252165,30,11827.333333333334,30,100.0
CLASSIC,HD,precipitation,evspsblsoi,0.4199942643886307,0.4222785873348274,0.006322375372101684,0.4103318662400652,0.4346991960067319,30,11827.333333333334,30,100.0
