model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
LPJ-GUESS,1992,HD,evapotrans,lai,11876,0.5258374694572752,0.528165452620621,0.004922428523666349,0.5185953602551625,0.5366672932130223,True
LPJ-GUESS,1992,HD,tran,precipitation,11876,0.42772847272158887,0.4302429390350247,0.005945936423906291,0.41966405984949096,0.44056309257678994,True
LPJ-GUESS,1992,HD,tran,lai,11876,0.5959961645114076,0.5982569802651183,0.004182355495189659,0.5891462881738211,0.6049367184523132,True
LPJ-GUESS,1992,HD,evspsblveg,precipitation,11876,0.4137014486129209,0.4191395548065933,0.0057391920135698845,0.40805329422537734,0.4300249529904505,True
LPJ-GUESS,1992,HD,evspsblveg,lai,11876,0.5676463208854221,0.5700747463097408,0.003899538293884748,0.5628040114323256,0.5768418834940803,True
LPJ-GUESS,1992,HD,evspsblsoi,precipitation,11876,0.25093490942663077,0.2539319591457027,0.006549149028927359,0.242865414201105,0.2665366016023265,True
LPJ-GUESS,1992,HD,evspsblsoi,lai,11876,0.237406576544,0.23967264657205486,0.008885343031365355,0.221731839834586,0.2548898066221641,True
LPJ-GUESS,1992,CW,evapotrans,precipitation,22396,0.22786668174909502,0.2301311213567987,0.005492179983488034,0.2212886779931895,0.24208692073257865,True
LPJ-GUESS,1992,CW,evapotrans,lai,22396,0.34528485089625355,0.34691012347480166,0.0031589128192993214,0.3408976777563757,0.35254400559451704,True
LPJ-GUESS,1992,CW,tran,precipitation,22396,0.19754166731156497,0.20189309832814345,0.0052552163416611985,0.19188016570940913,0.21202005038019023,True
LPJ-GUESS,1992,CW,tran,lai,22396,0.3674771106198016,0.36921962952251164,0.0037416476152305907,0.3628240078685529,0.37524693638309353,True
LPJ-GUESS,1992,CW,evspsblveg,precipitation,22396,0.19674905926133826,0.20042419645266946,0.006578960483435504,0.18759688848178874,0.21536060800417012,True
LPJ-GUESS,1992,CW,evspsblveg,lai,22396,0.5370599679954995,0.5377254816394335,0.003197314216022027,0.5325699249862891,0.5445269991345018,True
LPJ-GUESS,1992,CW,evspsblsoi,precipitation,22396,0.13851161711268248,0.14377554824228034,0.0067778258896566985,0.13210760138089472,0.1557456642153624,True
LPJ-GUESS,1992,CW,evspsblsoi,lai,22396,0.17371251592977424,0.17897034764497316,0.005872900875317395,0.1685652202157455,0.18938854030877236,True
LPJ-GUESS,1992,CD,evapotrans,precipitation,10716,0.31378915916229716,0.3154909446468543,0.008465322106703947,0.3000459448000996,0.3315308385431485,True
LPJ-GUESS,1992,CD,evapotrans,lai,10716,0.5033971347337328,0.5056346511538624,0.004909004730586191,0.49714565094809915,0.5161359006941263,True
LPJ-GUESS,1992,CD,tran,precipitation,10716,0.2802604066034051,0.28691506048541304,0.009180841532563745,0.2673621328726615,0.29968853319579336,True
LPJ-GUESS,1992,CD,tran,lai,10716,0.6091776408350997,0.6104183582907399,0.005364157404792667,0.6004602617644195,0.620871842824397,True
LPJ-GUESS,1992,CD,evspsblveg,precipitation,10716,0.2737857611497408,0.27662973291360726,0.007347404205534799,0.2642387082791354,0.2927006873315768,True
LPJ-GUESS,1992,CD,evspsblveg,lai,10716,0.6025171393511581,0.6052353810621662,0.00447234958092278,0.5965276731679869,0.6146057577913097,True
LPJ-GUESS,1992,CD,evspsblsoi,precipitation,10716,0.14204759918151658,0.14526070960365234,0.007353686543564668,0.1332630299921332,0.15922233099647334,True
LPJ-GUESS,1992,CD,evspsblsoi,lai,10716,0.21577060108193635,0.218986536721879,0.009404066349648944,0.20096054080729012,0.23462857300377576,True
LPJ-GUESS,1993,HW,evapotrans,precipitation,13276,0.31299300198891,0.3143773312431878,0.007892045205609238,0.29903927754552007,0.3309104120273661,True
LPJ-GUESS,1993,HW,evapotrans,lai,13276,0.3998889114146514,0.40328645215120096,0.006073830363226123,0.39462252321804403,0.41526859474697964,True
LPJ-GUESS,1993,HW,tran,precipitation,13276,0.23930292703186176,0.23950223837538773,0.00791590377318275,0.2248667780766022,0.25573953563037377,True
LPJ-GUESS,1993,HW,tran,lai,13276,0.45413000990740243,0.4554420305376439,0.005109063147742756,0.44525941156770277,0.4647933433417942,True
LPJ-GUESS,1993,HW,evspsblveg,precipitation,13276,0.3514611247719042,0.3513627298931338,0.00651753223932073,0.3396159809729272,0.3636536914192114,True
LPJ-GUESS,1993,HW,evspsblveg,lai,13276,0.466062373925095,0.4674029548439782,0.006209001780645051,0.4545736341575639,0.4775597868343212,True
LPJ-GUESS,1993,HW,evspsblsoi,precipitation,13276,0.12310112773346042,0.12726901806332866,0.007902140570444034,0.1140861182062044,0.1415590175382462,True
LPJ-GUESS,1993,HW,evspsblsoi,lai,13276,0.13438636740849252,0.1385119977211453,0.008835965684571996,0.12241268358008937,0.15561012975336472,True
LPJ-GUESS,1993,HD,evapotrans,precipitation,11874,0.4680960300715802,0.4705653735646067,0.005410186827049996,0.4600692960646593,0.4805308984980763,True
LPJ-GUESS,1993,HD,evapotrans,lai,11874,0.4777388782724079,0.4797577036888389,0.005983728710013541,0.46974004283231624,0.49365877109993617,True
LPJ-GUESS,1993,HD,tran,precipitation,11874,0.44666695624738406,0.4483616605442583,0.005070771810827298,0.4385198926439184,0.4578521322404786,True
LPJ-GUESS,1993,HD,tran,lai,11874,0.584540156904447,0.5841597207216842,0.00314590723480931,0.5779860450877118,0.5901967949745217,True
LPJ-GUESS,1993,HD,evspsblveg,precipitation,11874,0.4589199814405756,0.4597035054707274,0.005531335220727946,0.44865813859640097,0.4698666096113416,True
LPJ-GUESS,1993,HD,evspsblveg,lai,11874,0.556664692838409,0.5592279535417329,0.004287507338213496,0.5514111500960449,0.5681190552285923,True
LPJ-GUESS,1993,HD,evspsblsoi,precipitation,11874,0.2604274759351884,0.26347356751508466,0.008409868418336764,0.2445068459962286,0.2771792256178658,True
LPJ-GUESS,1993,HD,evspsblsoi,lai,11874,0.19014062640894375,0.1928233764110169,0.00840786363761351,0.17819947483876086,0.21091411236324478,True
