model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,1991,HW,evapotrans,precipitation,13251,0.2998676838012248,0.3021518435738253,0.007335374933771419,0.28761044125164503,0.3158868248042405,True
CLASSIC,1991,HW,evapotrans,lai,13251,0.3767861734892205,0.37948736802838184,0.00730520107451275,0.36467698606667426,0.3934544580658195,True
CLASSIC,1991,HW,tran,precipitation,13251,0.2585697947096006,0.26082544771022886,0.008472252020338569,0.24610178655081924,0.27552629291430153,True
CLASSIC,1991,HW,tran,lai,13251,0.42384270037291594,0.42464083521250673,0.005923229034645238,0.41266340641373506,0.434991360475142,True
CLASSIC,1991,HW,evspsblveg,precipitation,13251,0.336548145418638,0.33841010884165895,0.006937968299199516,0.32791090697602376,0.35463177598083256,True
CLASSIC,1991,HW,evspsblveg,lai,13251,0.44007432689309317,0.4423267629334735,0.006654096661670848,0.42855168566843654,0.45451803784544664,True
CLASSIC,1991,HW,evspsblsoi,precipitation,13251,0.1955637866738405,0.20133629970328207,0.009039018914046409,0.18462061287531029,0.21810257177783698,True
CLASSIC,1991,HW,evspsblsoi,lai,13251,0.35935953569897894,0.36242675853109974,0.005676068373623885,0.3518443648289822,0.37352823134094265,True
CLASSIC,1991,HD,evapotrans,precipitation,11829,0.5034718478451842,0.505699678928608,0.005129182221926758,0.49553517730833263,0.5150058343467504,True
CLASSIC,1991,HD,evapotrans,lai,11829,0.4870280619709988,0.4896691697090787,0.0065929990338304805,0.47683099454673333,0.5036700553158358,True
CLASSIC,1991,HD,tran,precipitation,11829,0.44878810462173335,0.45117290514750785,0.0058888258245812074,0.4391889403265516,0.4619714863925062,True
CLASSIC,1991,HD,tran,lai,11829,0.624485134639449,0.627514512481965,0.004405427612402298,0.6178590508078952,0.6356023621450329,True
CLASSIC,1991,HD,evspsblveg,precipitation,11829,0.4912446554310873,0.49123214444406577,0.006270236552889695,0.4791867287184097,0.5016793908340317,True
CLASSIC,1991,HD,evspsblveg,lai,11829,0.6071542015278726,0.6059059400645495,0.005759297818238969,0.5962963168154269,0.6163567811843488,True
CLASSIC,1991,HD,evspsblsoi,precipitation,11829,0.4310436285671686,0.4332288290580875,0.006257068046753032,0.42208573453323106,0.44520900903355354,True
CLASSIC,1991,HD,evspsblsoi,lai,11829,0.3807733719163907,0.38167648252336356,0.010366110137718668,0.3616162215323693,0.40110117795035016,True
CLASSIC,1991,CW,evapotrans,precipitation,22462,0.29940862261014345,0.3003029004987276,0.00700864380445435,0.2880440698920193,0.3132268538970903,True
CLASSIC,1991,CW,evapotrans,lai,22462,0.31290796614414707,0.31397035778341215,0.006150233175883658,0.303627277243511,0.3253830834219221,True
CLASSIC,1991,CW,tran,precipitation,22462,0.31769676676112,0.31592166000922345,0.005693222857551576,0.3030998590177259,0.3262493837681002,True
CLASSIC,1991,CW,tran,lai,22462,0.44450237238504636,0.4457278267591734,0.004044609531160898,0.4385772858813789,0.4539833554498465,True
CLASSIC,1991,CW,evspsblveg,precipitation,22462,0.3465264572545089,0.34956611634469825,0.005847271031812066,0.3389955819437565,0.36044985302627214,True
CLASSIC,1991,CW,evspsblveg,lai,22462,0.5578723318051827,0.5587830608147343,0.00316230022336284,0.5528246235474528,0.5646102003023133,True
CLASSIC,1991,CW,evspsblsoi,precipitation,22462,0.1384724067012917,0.1425410385078311,0.005875230134769676,0.13010136123827978,0.15189934366871014,True
CLASSIC,1991,CW,evspsblsoi,lai,22462,0.19425813991228963,0.19646663496351288,0.005466473142312909,0.18595101441206763,0.20701315267820428,True
CLASSIC,1991,CD,evapotrans,precipitation,13122,0.2728596655153519,0.2748511896888509,0.01119306633397668,0.250683970295488,0.2931976309881893,True
CLASSIC,1991,CD,evapotrans,lai,13122,0.36541116482838354,0.3682435727249425,0.006902026042882497,0.3534091885816682,0.3833621795061434,True
CLASSIC,1991,CD,tran,precipitation,13122,0.26486707913099977,0.26564684883948997,0.012538020661962206,0.24275714952166286,0.2876078282297873,True
CLASSIC,1991,CD,tran,lai,13122,0.4987545352991253,0.49892150260985807,0.010034386165929311,0.48342347879282976,0.5202230027255859,True
CLASSIC,1991,CD,evspsblveg,precipitation,13122,0.28271629352700256,0.2851963517133883,0.009354042896720993,0.269944327677867,0.3042542353885399,True
CLASSIC,1991,CD,evspsblveg,lai,13122,0.5402337026628153,0.5410024955896866,0.004985153867511831,0.5323052269983055,0.5508062280222266,True
CLASSIC,1991,CD,evspsblsoi,precipitation,13122,0.24278081215311464,0.24408462446213336,0.008673456188635733,0.22641566709526506,0.259365084841692,True
CLASSIC,1991,CD,evspsblsoi,lai,13122,0.34046051408730826,0.34514599337951696,0.01102629092538916,0.3256343931896068,0.3656273699107038,True
CLASSIC,1992,HW,evapotrans,precipitation,13257,0.30209908328956864,0.3053043476576349,0.007257846003529212,0.28870935112310664,0.3178226876904597,True
CLASSIC,1992,HW,evapotrans,lai,13257,0.37747659875539963,0.37693047971278154,0.007290148441553276,0.36287360371628813,0.3911935132269226,True
CLASSIC,1992,HW,tran,precipitation,13257,0.25592946979950776,0.2596079128125949,0.008378641353139331,0.24258382087512978,0.27309362926487807,True
CLASSIC,1992,HW,tran,lai,13257,0.43570717846308893,0.4353952367821305,0.005368671939986734,0.42563262479751657,0.44580192226751963,True
CLASSIC,1992,HW,evspsblveg,precipitation,13257,0.34878097864994073,0.3501997081892449,0.00626436251394763,0.336980612707915,0.3612698170499757,True
CLASSIC,1992,HW,evspsblveg,lai,13257,0.4226749165395521,0.4244955441885942,0.006448671449017345,0.4107966380644532,0.43542832767485,True
CLASSIC,1992,HW,evspsblsoi,precipitation,13257,0.20336767617250268,0.21051998063976232,0.007856612151868796,0.19495120623075318,0.2271146751630467,True
CLASSIC,1992,HW,evspsblsoi,lai,13257,0.37176164996839467,0.3745809874202155,0.006240876071727902,0.3632455027872041,0.385408433733497,True
CLASSIC,1992,HD,evapotrans,precipitation,11822,0.44931486537045134,0.4538954186803369,0.006435849532209091,0.44095639663560365,0.46580746992687067,True
CLASSIC,1992,HD,evapotrans,lai,11822,0.4766379525282096,0.47844766374905845,0.008303062387652395,0.4633070858798091,0.49313097791944266,True
CLASSIC,1992,HD,tran,precipitation,11822,0.3978921187851677,0.4006448571261862,0.005544699696114095,0.3910017458400438,0.4120163952860515,True
CLASSIC,1992,HD,tran,lai,11822,0.6263712639917376,0.6267909599924119,0.0041764120399048355,0.6184930025080715,0.6333036349011233,True
CLASSIC,1992,HD,evspsblveg,precipitation,11822,0.4523296604742236,0.45525393463744335,0.004692446878961781,0.44610093187530675,0.46382752423844287,True
CLASSIC,1992,HD,evspsblveg,lai,11822,0.5869477909922164,0.5887707614439263,0.00601280766136072,0.5774081114604112,0.5988886287778061,True
CLASSIC,1992,HD,evspsblsoi,precipitation,11822,0.4308739534911681,0.43421652387457227,0.005654113146557837,0.42377520715779277,0.4439774338374331,True
CLASSIC,1992,HD,evspsblsoi,lai,11822,0.3362015572496683,0.3364604936436863,0.009125178970429948,0.3186957927046112,0.35614616852945946,True
CLASSIC,1992,CW,evapotrans,precipitation,22431,0.24253052845165804,0.24314392847912525,0.00609609638526709,0.23240745231360962,0.25661956640506045,True
CLASSIC,1992,CW,evapotrans,lai,22431,0.26113623945611697,0.2624608033486486,0.004823927263783407,0.2537933101780314,0.2715071620922776,True
CLASSIC,1992,CW,tran,precipitation,22431,0.2470919619475332,0.2489291668336463,0.0055448745867485135,0.23871435075941624,0.25731470456858957,True
CLASSIC,1992,CW,tran,lai,22431,0.3951179235863502,0.39645870675708084,0.004317427671552296,0.3883279246733072,0.4034718850481545,True
CLASSIC,1992,CW,evspsblveg,precipitation,22431,0.29819146410022473,0.2997329084868983,0.0056202933475699044,0.2896679445689549,0.3102069705292807,True
CLASSIC,1992,CW,evspsblveg,lai,22431,0.5209741438613561,0.5228793098031658,0.0034275984499392534,0.5167887702431154,0.529180418901116,True
CLASSIC,1992,CW,evspsblsoi,precipitation,22431,0.13646632815253598,0.13706637578926562,0.00644594222081948,0.12662874341774702,0.14966179098183027,True
CLASSIC,1992,CW,evspsblsoi,lai,22431,0.17677314932124605,0.17939958910128517,0.004373853929210596,0.17082735776031566,0.18702073791196347,True
CLASSIC,1992,CD,evapotrans,precipitation,13396,0.32790283951412486,0.3328344689119145,0.00669731232029311,0.3232911993819437,0.34525248577409573,True
CLASSIC,1992,CD,evapotrans,lai,13396,0.3779268037239898,0.3775491298546207,0.0047892971399530315,0.3676701942926614,0.3857579855445285,True
