model,year,climate_zone,input_var,output_var,hsic,n_samples
LPJ-GUESS,1993,CW,lai,tran,0.548575125100477,22450
LPJ-GUESS,1993,CW,precipitation,evspsblveg,0.20692728062466342,22450
LPJ-GUESS,1993,CW,lai,evspsblveg,0.7840282493622557,22450
LPJ-GUESS,1993,CW,precipitation,evspsblsoi,0.12413893942817235,22450
LPJ-GUESS,1993,CW,lai,evspsblsoi,0.01492174936130445,22450
LPJ-GUESS,1993,CD,precipitation,evapotrans,0.3221999534124269,10760
LPJ-GUESS,1993,CD,lai,evapotrans,0.7826632349158922,10760
LPJ-GUESS,1993,CD,precipitation,tran,0.22856326378942382,10760
LPJ-GUESS,1993,CD,lai,tran,0.8800952113062591,10760
LPJ-GUESS,1993,CD,precipitation,evspsblveg,0.28092430643464744,10760
LPJ-GUESS,1993,CD,lai,evspsblveg,0.7670602730162238,10760
LPJ-GUESS,1993,CD,precipitation,evspsblsoi,0.07206535668142612,10760
LPJ-GUESS,1993,CD,lai,evspsblsoi,0.02874963558826519,10760
LPJ-GUESS,1994,HW,precipitation,evapotrans,0.45218470910360514,13305
LPJ-GUESS,1994,HW,lai,evapotrans,0.6697100407100696,13305
LPJ-GUESS,1994,HW,precipitation,tran,0.28025375547850195,13305
LPJ-GUESS,1994,HW,lai,tran,0.735310925551457,13305
LPJ-GUESS,1994,HW,precipitation,evspsblveg,0.48880790158016574,13305
LPJ-GUESS,1994,HW,lai,evspsblveg,0.7181719376516627,13305
LPJ-GUESS,1994,HW,precipitation,evspsblsoi,0.0661637993239118,13305
LPJ-GUESS,1994,HW,lai,evspsblsoi,0.03028121152241383,13305
LPJ-GUESS,1994,HD,precipitation,evapotrans,0.6798741555797535,11875
LPJ-GUESS,1994,HD,lai,evapotrans,0.7565603514604742,11875
LPJ-GUESS,1994,HD,precipitation,tran,0.5948522521158061,11875
LPJ-GUESS,1994,HD,lai,tran,0.8492502268137964,11875
LPJ-GUESS,1994,HD,precipitation,evspsblveg,0.5744528054840825,11875
LPJ-GUESS,1994,HD,lai,evspsblveg,0.765102290243356,11875
LPJ-GUESS,1994,HD,precipitation,evspsblsoi,0.25314015500140985,11875
LPJ-GUESS,1994,HD,lai,evspsblsoi,0.15287513287954582,11875
LPJ-GUESS,1994,CW,precipitation,evapotrans,0.3384851842384181,22368
LPJ-GUESS,1994,CW,lai,evapotrans,0.5021875273275579,22368
LPJ-GUESS,1994,CW,precipitation,tran,0.2577375504924013,22368
LPJ-GUESS,1994,CW,lai,tran,0.5389413938206853,22368
LPJ-GUESS,1994,CW,precipitation,evspsblveg,0.26147908779448564,22368
LPJ-GUESS,1994,CW,lai,evspsblveg,0.8207672006330418,22368
LPJ-GUESS,1994,CW,precipitation,evspsblsoi,0.11186686161935268,22368
LPJ-GUESS,1994,CW,lai,evspsblsoi,0.020635370503539984,22368
LPJ-GUESS,1994,CD,precipitation,evapotrans,0.20819419736064668,10748
LPJ-GUESS,1994,CD,lai,evapotrans,0.7756033557461641,10748
LPJ-GUESS,1994,CD,precipitation,tran,0.15418746756912252,10748
LPJ-GUESS,1994,CD,lai,tran,0.887902476284361,10748
LPJ-GUESS,1994,CD,precipitation,evspsblveg,0.20157341304634036,10748
LPJ-GUESS,1994,CD,lai,evspsblveg,0.7699000167341856,10748
LPJ-GUESS,1994,CD,precipitation,evspsblsoi,0.11208862762572963,10748
LPJ-GUESS,1994,CD,lai,evspsblsoi,0.01950082030970198,10748
LPJ-GUESS,1995,HW,precipitation,evapotrans,0.4758822136118476,13296
LPJ-GUESS,1995,HW,lai,evapotrans,0.6778127869992818,13296
LPJ-GUESS,1995,HW,precipitation,tran,0.2962833288825931,13296
LPJ-GUESS,1995,HW,lai,tran,0.7505528083671383,13296
LPJ-GUESS,1995,HW,precipitation,evspsblveg,0.5017646162812135,13296
LPJ-GUESS,1995,HW,lai,evspsblveg,0.6912006421536913,13296
LPJ-GUESS,1995,HW,precipitation,evspsblsoi,0.05048198585465393,13296
LPJ-GUESS,1995,HW,lai,evspsblsoi,0.02906761224066686,13296
LPJ-GUESS,1995,HD,precipitation,evapotrans,0.6150013175072812,11879
LPJ-GUESS,1995,HD,lai,evapotrans,0.7269184667000681,11879
LPJ-GUESS,1995,HD,precipitation,tran,0.5632595587433321,11879
LPJ-GUESS,1995,HD,lai,tran,0.8369912308133224,11879
LPJ-GUESS,1995,HD,precipitation,evspsblveg,0.5200192713559932,11879
LPJ-GUESS,1995,HD,lai,evspsblveg,0.7860931498807282,11879
LPJ-GUESS,1995,HD,precipitation,evspsblsoi,0.20955156116167317,11879
LPJ-GUESS,1995,HD,lai,evspsblsoi,0.15921844134439614,11879
LPJ-GUESS,1995,CW,precipitation,evapotrans,0.2994830019005472,22386
