model,year,climate_zone,input_var,output_var,hsic,n_samples
CLASSIC,1993,CD,precipitation,tran,0.3195107105319322,13313
CLASSIC,1993,CD,lai,tran,0.8000572031536973,13313
CLASSIC,1993,CD,precipitation,evspsblveg,0.39595872718175645,13313
CLASSIC,1993,CD,lai,evspsblveg,0.8026942908330568,13313
CLASSIC,1993,CD,precipitation,evspsblsoi,0.4725646122460421,13313
CLASSIC,1993,CD,lai,evspsblsoi,0.41997561686027424,13313
CLASSIC,1994,HW,precipitation,evapotrans,0.3663486900489697,13255
CLASSIC,1994,HW,lai,evapotrans,0.4807154150261508,13255
CLASSIC,1994,HW,precipitation,tran,0.22794749862865432,13255
CLASSIC,1994,HW,lai,tran,0.570391694306006,13255
CLASSIC,1994,HW,precipitation,evspsblveg,0.497241445249352,13255
CLASSIC,1994,HW,lai,evspsblveg,0.6677897931524921,13255
CLASSIC,1994,HW,precipitation,evspsblsoi,0.112167173342267,13255
CLASSIC,1994,HW,lai,evspsblsoi,0.47462766180112637,13255
CLASSIC,1994,HD,precipitation,evapotrans,0.666176717909944,11822
CLASSIC,1994,HD,lai,evapotrans,0.5980304980615655,11822
CLASSIC,1994,HD,precipitation,tran,0.5243035610726047,11822
CLASSIC,1994,HD,lai,tran,0.859459933040833,11822
CLASSIC,1994,HD,precipitation,evspsblveg,0.5805025680886626,11822
CLASSIC,1994,HD,lai,evspsblveg,0.824691072695939,11822
CLASSIC,1994,HD,precipitation,evspsblsoi,0.47974497319324366,11822
CLASSIC,1994,HD,lai,evspsblsoi,0.3086997176183632,11822
CLASSIC,1994,CW,precipitation,evapotrans,0.3396687711806191,22366
CLASSIC,1994,CW,lai,evapotrans,0.23033638781797186,22366
CLASSIC,1994,CW,precipitation,tran,0.2410886707526974,22366
CLASSIC,1994,CW,lai,tran,0.4668055938623109,22366
CLASSIC,1994,CW,precipitation,evspsblveg,0.3554729559529222,22366
CLASSIC,1994,CW,lai,evspsblveg,0.7746924789974184,22366
CLASSIC,1994,CW,precipitation,evspsblsoi,0.04318762021350551,22366
CLASSIC,1994,CW,lai,evspsblsoi,0.1377980008763801,22366
CLASSIC,1994,CD,precipitation,evapotrans,0.3831362913894098,13314
CLASSIC,1994,CD,lai,evapotrans,0.5686092018749492,13314
CLASSIC,1994,CD,precipitation,tran,0.23519478625205875,13314
CLASSIC,1994,CD,lai,tran,0.8353881441521401,13314
CLASSIC,1994,CD,precipitation,evspsblveg,0.3174286222446597,13314
CLASSIC,1994,CD,lai,evspsblveg,0.8111236583295488,13314
CLASSIC,1994,CD,precipitation,evspsblsoi,0.3861607656690973,13314
CLASSIC,1994,CD,lai,evspsblsoi,0.42400831482021994,13314
CLASSIC,1995,HW,precipitation,evapotrans,0.4014367334690014,13260
CLASSIC,1995,HW,lai,evapotrans,0.4989695403485767,13260
CLASSIC,1995,HW,precipitation,tran,0.22739419562490273,13260
CLASSIC,1995,HW,lai,tran,0.5775372529987265,13260
CLASSIC,1995,HW,precipitation,evspsblveg,0.5039764018347691,13260
CLASSIC,1995,HW,lai,evspsblveg,0.6604857042945073,13260
CLASSIC,1995,HW,precipitation,evspsblsoi,0.13493082237475135,13260
CLASSIC,1995,HW,lai,evspsblsoi,0.5039233967662231,13260
CLASSIC,1995,HD,precipitation,evapotrans,0.6500902611857352,11831
CLASSIC,1995,HD,lai,evapotrans,0.6329149238510107,11831
CLASSIC,1995,HD,precipitation,tran,0.4447570444514105,11831
CLASSIC,1995,HD,lai,tran,0.8561867931852573,11831
CLASSIC,1995,HD,precipitation,evspsblveg,0.5217743345853383,11831
CLASSIC,1995,HD,lai,evspsblveg,0.852492175994548,11831
CLASSIC,1995,HD,precipitation,evspsblsoi,0.5794956916485652,11831
CLASSIC,1995,HD,lai,evspsblsoi,0.35662974282549936,11831
CLASSIC,1995,CW,precipitation,evapotrans,0.24182975324241415,22400
CLASSIC,1995,CW,lai,evapotrans,0.2430572600485386,22400
CLASSIC,1995,CW,precipitation,tran,0.21335455685937363,22400
CLASSIC,1995,CW,lai,tran,0.4504433319391472,22400
CLASSIC,1995,CW,precipitation,evspsblveg,0.35350350045298046,22400
CLASSIC,1995,CW,lai,evspsblveg,0.7543932345110884,22400
CLASSIC,1995,CW,precipitation,evspsblsoi,0.03906146965762348,22400
CLASSIC,1995,CW,lai,evspsblsoi,0.13157827344819814,22400
CLASSIC,1995,CD,precipitation,evapotrans,0.3876853606996267,13440
CLASSIC,1995,CD,lai,evapotrans,0.5516040528473444,13440
CLASSIC,1995,CD,precipitation,tran,0.3065639024295085,13440
CLASSIC,1995,CD,lai,tran,0.823760235110381,13440
