property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range
Saturation,No saturation,Saturation,early buffer width,0.6039,1.1528,0.5489,Saturation,Saturation,1,1.1804,0.0977,0.8784,1.4702,0.997,1.3874,0.3904,0.5917,1000,1.4059,5.618,True,False
Saturation,No saturation,Saturation,raw middle slope,0.7003,0.4943,0.206,Saturation,Saturation,1,0.38,0.0467,0.2245,0.5319,0.2934,0.4811,0.1877,0.3074,1000,1.0975,4.4079,True,False
Saturation,No saturation,Saturation,standardized middle slope,0.8318,0.5895,0.2423,Saturation,Saturation,1,0.4524,0.0583,0.2746,0.6411,0.3467,0.5802,0.2335,0.3666,1000,1.0376,4.1555,True,False
Saturation,No saturation,Saturation,eta squared,0.9651,0.9416,0.0235,Saturation,Saturation,1,0.9413,0.0055,0.9249,0.9562,0.9295,0.9523,0.0228,0.0313,1000,1.0288,4.2306,True,False
Spread,Low spread,High spread,residual sd,0.0342,0.1635,0.1293,Spread,High spread,1,0.16,0.008,0.1359,0.1869,0.1447,0.1762,0.0315,0.0511,1000,4.1002,16.1819,True,True
Spread,Low spread,High spread,buffer width mean,0.7213,2.1342,1.4129,Spread,High spread,1,2.2951,0.141,1.9405,2.7827,2.026,2.5872,0.5612,0.8421,1000,2.5174,10.0206,True,True
Spread,Low spread,High spread,r2,0.9706,0.6022,0.3684,Spread,High spread,1,0.5955,0.0399,0.454,0.709,0.5154,0.6679,0.1525,0.2551,1000,2.4153,9.2397,True,True
Spread,Low spread,High spread,eta squared,0.9592,0.6072,0.3519,Spread,High spread,1,0.5942,0.0399,0.4541,0.7042,0.5141,0.6699,0.1559,0.2501,1000,2.2576,8.8159,True,True
Spread,Low spread,High spread,pearson r,0.9845,0.7638,0.2207,Spread,High spread,1,0.7617,0.0263,0.6613,0.8322,0.71,0.8093,0.0993,0.1709,1000,2.2232,8.3881,True,True
Spread,Low spread,High spread,distance correlation,0.9823,0.7574,0.2249,Spread,High spread,1,0.7415,0.0289,0.6287,0.8245,0.6835,0.7919,0.1084,0.1957,1000,2.0754,7.7906,True,True
Spread,Low spread,High spread,spearman rho,0.9853,0.7722,0.2132,Spread,High spread,1,0.766,0.0275,0.6644,0.8448,0.7089,0.8151,0.1062,0.1804,1000,2.0073,7.7381,True,True
Spread,Low spread,High spread,late buffer width,0.7018,2.1022,1.4005,Spread,High spread,1,2.2135,0.2118,1.5748,2.986,1.8224,2.6368,0.8143,1.4112,1000,1.7198,6.6133,True,False
Spread,Low spread,High spread,early buffer width,0.6474,2.1065,1.4591,Spread,High spread,1,2.237,0.2334,1.4343,3.155,1.7967,2.7194,0.9227,1.7207,1000,1.5813,6.2519,True,False
Spread,Low spread,High spread,middle buffer width,0.8212,2.2044,1.3831,Spread,High spread,1,2.4621,0.2602,1.5679,3.3421,1.9814,2.9957,1.0143,1.7742,1000,1.3637,5.3156,True,False
Spread,Low spread,High spread,standardized overall slope,0.879,0.6802,0.1988,Spread,High spread,1,0.6604,0.0392,0.5089,0.776,0.5831,0.7331,0.15,0.2671,1000,1.3253,5.0673,True,False
Spread,Low spread,High spread,MEV,0.9736,0.697,0.2765,Spread,High spread,1,0.6064,0.0552,0.45,0.8153,0.5044,0.7188,0.2144,0.3653,1000,1.2896,5.0063,True,False
Spread,Low spread,High spread,MIC,0.9736,0.697,0.2765,Spread,High spread,1,0.6064,0.0552,0.45,0.8153,0.5044,0.7188,0.2144,0.3653,1000,1.2896,5.0063,True,False
Strength,Weak response,Strong response,raw overall slope,0.3158,0.7039,0.3881,Strength,Weak response,0,0.3199,0.0062,0.3008,0.3388,0.3079,0.3326,0.0246,0.038,1000,15.7449,62.8297,True,True
Strength,Weak response,Strong response,MCN,4.4594,3.0,1.4594,Strength,Weak response,0,4.4443,0.068,3.585,4.4594,4.3219,4.4594,0.1375,0.8745,1000,10.6138,21.4587,True,True
Strength,Weak response,Strong response,amplitude,0.285,0.6285,0.3435,Strength,Weak response,0,0.2894,0.0083,0.2666,0.3132,0.2731,0.306,0.0329,0.0466,1000,10.4352,41.4467,True,True
Strength,Weak response,Strong response,curve amplitude,0.311,0.6923,0.3814,Strength,Weak response,0,0.3199,0.012,0.2823,0.3641,0.2972,0.3437,0.0465,0.0818,1000,8.2049,31.6877,True,True
Strength,Weak response,Strong response,raw middle slope,0.2773,0.7807,0.5033,Strength,Weak response,0,0.3206,0.0326,0.2309,0.4162,0.2581,0.3888,0.1307,0.1853,1000,3.8502,15.4526,True,True
Strength,Weak response,Strong response,raw early slope,0.2898,0.7217,0.4319,Strength,Weak response,0,0.3199,0.0338,0.2159,0.4288,0.2546,0.3862,0.1315,0.2128,1000,3.2829,12.7657,True,True
Strength,Weak response,Strong response,raw late slope,0.3222,0.6557,0.3335,Strength,Weak response,0,0.3196,0.0332,0.2005,0.4135,0.2574,0.3877,0.1304,0.2131,1000,2.5576,10.0468,True,True
Strength,Weak response,Strong response,eta squared,0.9222,0.9758,0.0536,Strength,Weak response,0,0.9268,0.0074,0.9009,0.9501,0.9129,0.9403,0.0274,0.0492,1000,1.9581,7.2014,True,True
Strength,Weak response,Strong response,pearson r,0.9651,0.9918,0.0267,Strength,Weak response,0,0.9659,0.0035,0.9538,0.9755,0.959,0.9727,0.0137,0.0217,1000,1.9522,7.5554,True,True
Strength,Weak response,Strong response,r2,0.9344,0.9842,0.0499,Strength,Weak response,0,0.9353,0.0067,0.9122,0.9532,0.9223,0.9485,0.0262,0.041,1000,1.9048,7.4682,True,True
Strength,Weak response,Strong response,buffer width mean,0.9991,0.5667,0.4323,Strength,Weak response,0,1.0094,0.062,0.7748,1.2006,0.8909,1.1257,0.2348,0.4258,1000,1.8414,6.9707,True,True
Strength,Weak response,Strong response,distance correlation,0.9613,0.9908,0.0296,Strength,Weak response,0,0.962,0.0043,0.9463,0.973,0.9534,0.97,0.0166,0.0268,1000,1.7756,6.933,True,True
Strength,Weak response,Strong response,spearman rho,0.968,0.9918,0.0238,Strength,Weak response,0,0.968,0.0035,0.9555,0.9772,0.9609,0.9745,0.0136,0.0217,1000,1.7483,6.7774,True,True
Strength,Weak response,Strong response,middle buffer width,1.1333,0.5257,0.6077,Strength,Weak response,0,1.005,0.1168,0.632,1.4307,0.7993,1.2561,0.4568,0.7987,1000,1.3304,5.2008,True,False
Strength,Weak response,Strong response,late buffer width,0.9862,0.5901,0.3961,Strength,Weak response,0,1.0113,0.0966,0.719,1.2947,0.8243,1.2113,0.3869,0.5757,1000,1.0236,4.1019,True,False
Threshold,No threshold,Threshold-like change,distance correlation,0.9772,0.906,0.0712,Threshold,Threshold-like change,1,0.9053,0.0028,0.8959,0.9174,0.8997,0.9104,0.0107,0.0215,1000,6.6717,25.1828,True,True
Threshold,No threshold,Threshold-like change,raw middle slope,0.6117,1.821,1.2093,Threshold,Threshold-like change,1,1.7086,0.0489,1.5491,1.899,1.6117,1.804,0.1923,0.3499,1000,6.2892,24.7201,True,True
Threshold,No threshold,Threshold-like change,pearson r,0.9799,0.8788,0.1011,Threshold,Threshold-like change,1,0.8821,0.0047,0.8664,0.8996,0.8722,0.891,0.0189,0.0333,1000,5.363,21.3425,True,True
Threshold,No threshold,Threshold-like change,MIC-r2,0.0128,0.2277,0.2149,Threshold,Threshold-like change,1,0.2113,0.0106,0.163,0.2386,0.1873,0.2306,0.0433,0.0755,1000,4.9654,20.3681,True,True
Threshold,No threshold,Threshold-like change,standardized middle slope,0.7791,2.5108,1.7317,Threshold,Threshold-like change,1,2.4512,0.0996,2.0356,2.745,2.2546,2.6322,0.3776,0.7094,1000,4.586,17.3876,True,True
Threshold,No threshold,Threshold-like change,raw late slope,0.6835,-0.0516,0.7351,Threshold,Threshold-like change,1,0.0083,0.0473,-0.1378,0.1811,-0.0829,0.1061,0.189,0.3189,1000,3.8889,15.5319,True,True
Threshold,No threshold,Threshold-like change,standardized late slope,0.8705,-0.0712,0.9417,Threshold,Threshold-like change,1,0.0118,0.0679,-0.2021,0.2639,-0.1171,0.1503,0.2674,0.466,1000,3.5213,13.8784,True,True
Threshold,No threshold,Threshold-like change,raw early slope,0.6317,0.0303,0.6013,Threshold,Threshold-like change,1,0.001,0.0467,-0.1386,0.1298,-0.0895,0.0933,0.1828,0.2684,1000,3.2898,12.8746,True,True
Threshold,No threshold,Threshold-like change,curve amplitude,0.6656,0.545,0.1205,Threshold,Threshold-like change,1,0.5453,0.0096,0.5179,0.575,0.5285,0.566,0.0375,0.0571,1000,3.2147,12.6159,True,True
Threshold,No threshold,Threshold-like change,standardized early slope,0.8045,0.0418,0.7627,Threshold,Threshold-like change,1,0.0015,0.0669,-0.1932,0.1851,-0.1287,0.1316,0.2602,0.3783,1000,2.9305,11.4001,True,True
Threshold,No threshold,Threshold-like change,spearman rho,0.9814,0.8072,0.1741,Threshold,Threshold-like change,1,0.8164,0.0163,0.767,0.8688,0.7824,0.8452,0.0628,0.1018,1000,2.7739,10.7008,True,True
Threshold,No threshold,Threshold-like change,raw overall slope,0.6732,0.7709,0.0977,Threshold,Threshold-like change,1,0.7654,0.009,0.7389,0.7944,0.7479,0.7834,0.0356,0.0555,1000,2.7469,10.869,True,True
Threshold,No threshold,Threshold-like change,amplitude,0.608,0.5501,0.058,Threshold,Threshold-like change,1,0.546,0.0083,0.5198,0.5714,0.5306,0.5628,0.0322,0.0516,1000,1.7986,6.9879,True,True
Threshold,No threshold,Threshold-like change,standardized overall slope,0.8574,1.0629,0.2055,Threshold,Threshold-like change,1,1.0981,0.0336,0.9791,1.1937,1.0306,1.1599,0.1292,0.2146,1000,1.5904,6.1201,True,False
Threshold,No threshold,Threshold-like change,buffer width mean,0.7947,0.6269,0.1678,Threshold,Threshold-like change,1,0.6377,0.0338,0.5397,0.7535,0.57,0.7025,0.1325,0.2138,1000,1.2663,4.9613,True,False
Threshold,No threshold,Threshold-like change,late buffer width,0.7748,0.5596,0.2153,Threshold,Threshold-like change,1,0.5746,0.0561,0.4091,0.766,0.4676,0.6792,0.2116,0.3569,1000,1.0174,3.8349,True,False
Turning point,No turning point,Turning point,raw overall slope,0.6741,0.0494,0.6246,Turning point,Turning point,1,0.0441,0.0093,0.0167,0.0751,0.0262,0.0634,0.0371,0.0584,1000,16.8145,67.1194,True,True
Turning point,No turning point,Turning point,distance correlation,0.9823,0.4622,0.5201,Turning point,Turning point,1,0.4675,0.0083,0.4375,0.4981,0.4517,0.4847,0.033,0.0607,1000,15.7387,62.3095,True,True
Turning point,No turning point,Turning point,spearman rho,0.9853,0.1302,0.8551,Turning point,Turning point,1,0.1101,0.0255,0.0351,0.1897,0.0608,0.1616,0.1008,0.1546,1000,8.4853,33.5716,True,True
Turning point,No turning point,Turning point,standardized overall slope,0.879,0.1206,0.7584,Turning point,Turning point,1,0.1092,0.0231,0.0365,0.1825,0.066,0.1568,0.0908,0.146,1000,8.3502,32.8958,True,True
Turning point,No turning point,Turning point,amplitude,0.609,0.2643,0.3447,Turning point,Turning point,1,0.2472,0.0106,0.2144,0.2906,0.2269,0.2686,0.0417,0.0762,1000,8.2619,32.5242,True,True
Turning point,No turning point,Turning point,raw late slope,0.6831,-0.7555,1.4386,Turning point,Turning point,1,-0.6926,0.0472,-0.8385,-0.539,-0.7914,-0.5973,0.1941,0.2995,1000,7.4114,30.4607,True,True
Turning point,No turning point,Turning point,pearson r,0.9845,0.1516,0.8329,Turning point,Turning point,1,0.1411,0.0295,0.0535,0.2329,0.0845,0.2021,0.1176,0.1794,1000,7.0808,28.1939,True,True
Turning point,No turning point,Turning point,curve amplitude,0.6674,0.304,0.3633,Turning point,Turning point,1,0.2893,0.0135,0.2501,0.3399,0.2632,0.3148,0.0516,0.0898,1000,7.0416,26.9453,True,True
Turning point,No turning point,Turning point,standardized late slope,0.8908,-1.8439,2.7347,Turning point,Turning point,1,-1.718,0.1633,-2.2064,-1.1972,-2.0493,-1.39,0.6593,1.0093,1000,4.1479,16.7432,True,True
Turning point,No turning point,Turning point,MIC-r2,0.0043,0.7658,0.7615,Turning point,Turning point,1,0.7968,0.0509,0.6259,0.9523,0.7006,0.8971,0.1966,0.3264,1000,3.8742,14.9494,True,True
Turning point,No turning point,Turning point,raw middle slope,0.6203,0.1569,0.4634,Turning point,Turning point,1,0.0444,0.0481,-0.1436,0.1725,-0.0527,0.1382,0.1909,0.3161,1000,2.4271,9.6252,True,True
Turning point,No turning point,Turning point,buffer width mean,0.7213,1.541,0.8197,Turning point,Turning point,1,1.5792,0.0971,1.3004,1.9005,1.3953,1.7751,0.3797,0.6001,1000,2.1586,8.4414,True,True
Turning point,No turning point,Turning point,MAS,0.0515,0.4672,0.4157,Turning point,Turning point,1,0.4963,0.0524,0.342,0.6661,0.3939,0.5979,0.204,0.3241,1000,2.0373,7.9284,True,True
Turning point,No turning point,Turning point,standardized early slope,0.8316,1.9812,1.1496,Turning point,Turning point,1,1.9303,0.1478,1.4981,2.4095,1.6365,2.2085,0.572,0.9114,1000,2.0099,7.7801,True,True
Turning point,No turning point,Turning point,r2,0.9706,0.8534,0.1172,Turning point,Turning point,1,0.8569,0.015,0.8083,0.8951,0.8255,0.8863,0.0607,0.0868,1000,1.9302,7.832,True,True
Turning point,No turning point,Turning point,eta squared,0.9592,0.8237,0.1355,Turning point,Turning point,1,0.8183,0.0185,0.7605,0.867,0.7815,0.8523,0.0709,0.1065,1000,1.9113,7.3275,True,True
Turning point,No turning point,Turning point,late buffer width,0.7018,1.6152,0.9134,Turning point,Turning point,1,1.5968,0.1562,1.0345,2.1871,1.2957,1.9067,0.611,1.1526,1000,1.495,5.8475,True,False
Turning point,No turning point,Turning point,early buffer width,0.6474,1.6997,1.0524,Turning point,Turning point,1,1.6991,0.1842,1.1337,2.4421,1.3508,2.0769,0.7261,1.3084,1000,1.4493,5.7117,True,False
