property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Spread,2,3,lowess_residual_sd,Low spread,High spread,High spread,0.1191,0.0317,3.7571,3.7571,0.0874,0.036,0.1551,0.1598,0.0082,0.1444,0.1761,0.1356,0.1888,0.0532
Spread,3,3,gam_residual_sd,Low spread,High spread,High spread,0.1189,0.0319,3.7256,3.7256,0.087,0.0363,0.1552,0.1606,0.0082,0.1448,0.1767,0.1364,0.1895,0.053
Strength,1,3,covariance,Weak response,Strong response,Weak response,0.0318,0.0021,15.4395,15.4395,0.0297,0.0269,0.0587,0.0271,0.0005,0.0261,0.0282,0.0254,0.0286,0.0033
Strength,2,3,y_sd,Weak response,Strong response,Weak response,0.1078,0.0072,15.0667,15.0667,0.1006,0.0953,0.2031,0.0964,0.0018,0.0929,0.1001,0.0905,0.102,0.0115
Strength,3,3,equal_width_distribution_wasserstein_distance,Weak response,Strong response,Weak response,0.2463,0.0179,13.7931,13.7931,0.2284,0.2048,0.4511,0.2092,0.0045,0.2001,0.2179,0.1944,0.221,0.0266
Threshold,1,3,gam_curve_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,1.0562,0.0729,14.4916,14.4916,0.9833,3.3522,2.296,2.2909,0.0183,2.2543,2.3272,2.2388,2.3412,0.1024
Threshold,2,3,lowess_curve_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,1.2295,0.1193,10.3022,10.3022,1.1102,3.3425,2.113,2.1608,0.03,2.1125,2.2318,2.0921,2.2756,0.1834
Threshold,3,3,equal_count_bin_amplitude_div_y_sd,No threshold,Threshold-like change,Threshold-like change,0.8957,0.0965,9.2816,9.2816,0.7992,3.0093,2.1136,2.1632,0.0247,2.1206,2.2171,2.1047,2.2718,0.1671
Turning point,1,3,distance_covariance,No turning point,Turning point,Turning point,0.1195,0.006,19.7982,19.7982,0.1135,0.171,0.0515,0.0529,0.0016,0.05,0.056,0.0476,0.0577,0.0101
Turning point,2,3,covariance,No turning point,Turning point,Turning point,0.0532,0.0037,14.4645,14.4645,0.0495,0.0569,0.0037,0.0037,0.0009,0.0019,0.0056,0.0006,0.0072,0.0066
Turning point,3,3,distance_correlation,No turning point,Turning point,Turning point,0.5337,0.0396,13.4668,13.4668,0.4941,0.9836,0.4499,0.4576,0.0098,0.4392,0.4788,0.4237,0.4899,0.0663
