property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Clustering,1,5,covariance,Single cloud,Separated clusters,Separated clusters,0.0427,0.0044,9.6131,9.6131,0.0383,0.0518,0.0091,0.01,0.0012,0.0078,0.0122,0.0062,0.0141,0.0079
Clustering,2,5,equal_count_distribution_wasserstein_distance,Single cloud,Separated clusters,Separated clusters,0.2898,0.041,7.0598,7.0598,0.2488,0.4172,0.1274,0.1383,0.0107,0.1181,0.1592,0.1043,0.1709,0.0666
Clustering,3,5,distance_covariance,Single cloud,Separated clusters,Separated clusters,0.0848,0.0133,6.383,6.383,0.0715,0.1643,0.0795,0.0804,0.0034,0.0739,0.0872,0.0686,0.0919,0.0234
Clustering,4,5,spearman_rho,Single cloud,Separated clusters,Separated clusters,0.641,0.1101,5.8244,5.8244,0.5309,0.9826,0.3416,0.3369,0.029,0.2809,0.3909,0.2301,0.4062,0.1761
Clustering,5,5,pearson_r,Single cloud,Separated clusters,Separated clusters,0.7103,0.1294,5.4904,5.4904,0.5809,0.9853,0.275,0.3015,0.0334,0.2361,0.3655,0.1948,0.4004,0.2056
Concavity,1,5,y_sd,Positive direction,Concave,Concave,0.0477,0.0115,4.1316,4.1316,0.0362,0.2006,0.2483,0.2523,0.003,0.2466,0.2581,0.2429,0.2637,0.0208
Concavity,2,5,equal_width_distribution_wasserstein_distance,Positive direction,Concave,Concave,0.0946,0.029,3.2674,3.2674,0.0656,0.4427,0.5373,0.5459,0.0075,0.5319,0.5608,0.5229,0.5696,0.0467
Concavity,3,5,equal_count_distribution_wasserstein_distance,Positive direction,Concave,Concave,0.0946,0.029,3.2674,3.2674,0.0656,0.4427,0.5373,0.5459,0.0075,0.5319,0.5608,0.5229,0.5696,0.0467
Concavity,4,5,pearson_r,Positive direction,Concave,Concave,0.0612,0.019,3.2255,3.2255,0.0422,0.9816,0.9204,0.9145,0.0049,0.9051,0.9241,0.8979,0.9294,0.0316
Concavity,5,5,gam_curve_amplitude,Positive direction,Concave,Concave,0.1664,0.0575,2.8935,2.8935,0.1089,0.6688,0.8352,0.8514,0.015,0.8244,0.8819,0.8026,0.8987,0.0961
