property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Heteroscedasticity,4,5,lowess_r2,Constant spread,Changing spread,Changing spread,0.2404,0.1372,1.7521,1.7521,0.1032,0.8934,0.653,0.7309,0.0353,0.6594,0.7966,0.5848,0.8383,0.2535
Heteroscedasticity,5,5,distance_correlation,Constant spread,Changing spread,Changing spread,0.1327,0.0801,1.6565,1.6565,0.0526,0.9341,0.8014,0.843,0.021,0.8014,0.8815,0.7594,0.9016,0.1422
Monotonicity,1,5,pearson_r,Monotonic,Non-monotonic,Monotonic,0.982,0.0086,114.719,114.719,0.9734,0.9803,-0.0017,0.9803,0.0022,0.9757,0.9842,0.9732,0.9877,0.0145
Monotonicity,2,5,spearman_rho,Monotonic,Non-monotonic,Monotonic,0.9692,0.0085,113.4383,113.4383,0.9607,0.9807,0.0115,0.9813,0.0022,0.9767,0.9853,0.973,0.9878,0.0148
Monotonicity,3,5,distance_correlation,Monotonic,Non-monotonic,Monotonic,0.5253,0.0104,50.2736,50.2736,0.5149,0.9778,0.4525,0.9777,0.0027,0.9722,0.9826,0.9667,0.9853,0.0186
Monotonicity,4,5,MIC_minus_r2,Monotonic,Non-monotonic,Monotonic,0.7823,0.066,11.8606,11.8606,0.7163,0.0098,0.7921,0.0232,0.0182,-0.0203,0.0457,-0.0371,0.052,0.0891
Monotonicity,5,5,lowess_r2,Monotonic,Non-monotonic,Monotonic,0.1181,0.0166,7.1074,7.1074,0.1015,0.9622,0.8441,0.9623,0.0043,0.9535,0.9701,0.9478,0.9765,0.0286
Non-linearity,1,5,equal_width_bin_amplitude,Linear,Non-linear,Linear,0.19,0.0535,3.5526,3.5526,0.1365,0.6396,0.8296,0.6521,0.0137,0.6256,0.679,0.6123,0.6956,0.0832
Non-linearity,2,5,pearson_r,Linear,Non-linear,Linear,0.0165,0.0074,2.2345,2.2345,0.0091,0.9787,0.9622,0.9824,0.0019,0.9784,0.9858,0.9755,0.989,0.0135
Non-linearity,3,5,spearman_rho,Linear,Non-linear,Linear,0.0162,0.0078,2.0878,2.0878,0.0084,0.9805,0.9643,0.9833,0.0019,0.9792,0.9869,0.9764,0.9891,0.0128
Non-linearity,4,5,lowess_r2,Linear,Non-linear,Linear,0.0273,0.0144,1.8996,1.8996,0.0129,0.9594,0.9867,0.9663,0.0037,0.9587,0.973,0.9527,0.9794,0.0266
Non-linearity,5,5,raw_middle_slope,Linear,Non-linear,Linear,1.0726,0.6744,1.5905,1.5905,0.3982,0.7979,1.8705,0.7161,0.1747,0.3712,1.0456,0.1216,1.2708,1.1492
Saturation,1,5,pearson_r,No saturation,Saturation,Saturation,0.1148,0.0298,3.8481,3.8481,0.085,0.9857,0.8709,0.8583,0.0076,0.8422,0.872,0.8337,0.8813,0.0476
Saturation,2,5,distance_correlation,No saturation,Saturation,Saturation,0.085,0.0294,2.8933,2.8933,0.0556,0.9842,0.8992,0.8881,0.0074,0.8731,0.9025,0.8641,0.9118,0.0476
Saturation,3,5,equal_width_bin_amplitude,No saturation,Saturation,Saturation,0.0659,0.0495,1.3301,1.3301,0.0164,0.6799,0.614,0.6123,0.0127,0.5884,0.638,0.5793,0.6764,0.0972
Saturation,4,5,spearman_rho,No saturation,Saturation,Saturation,0.0696,0.0547,1.2725,1.2725,0.0149,0.9866,0.917,0.9024,0.014,0.8729,0.9276,0.8603,0.9397,0.0794
Saturation,5,5,raw_early_slope,No saturation,Saturation,Saturation,0.7376,0.6595,1.1184,1.1184,0.0781,0.5978,1.3354,1.7964,0.1687,1.4518,2.1113,1.1739,2.3074,1.1335
Spread,1,5,lowess_residual_sd,Low spread,High spread,High spread,0.1191,0.0317,3.7571,3.7571,0.0874,0.036,0.1551,0.1598,0.0082,0.1444,0.1761,0.1356,0.1888,0.0532
Spread,2,5,equal_width_bin_buffer_width_mean,Low spread,High spread,High spread,0.3427,0.1035,3.3125,3.3125,0.2392,0.115,0.4577,0.466,0.026,0.4176,0.5211,0.3883,0.5614,0.1731
Spread,3,5,equal_width_bin_late_buffer_width,Low spread,High spread,High spread,0.4098,0.1597,2.5668,2.5668,0.2501,0.0958,0.5056,0.4552,0.0409,0.3786,0.5382,0.3321,0.6075,0.2753
Spread,4,5,lowess_r2,Low spread,High spread,High spread,0.3445,0.1575,2.1869,2.1869,0.187,0.9685,0.624,0.5967,0.0412,0.5154,0.6729,0.443,0.7121,0.2691
Spread,5,5,pearson_r,Low spread,High spread,High spread,0.2031,0.1044,1.9461,1.9461,0.0987,0.9836,0.7805,0.7619,0.0273,0.7074,0.8118,0.6546,0.8352,0.1806
Strength,1,5,equal_width_bin_amplitude,Weak response,Strong response,Weak response,0.3424,0.034,10.0657,10.0657,0.3084,0.2891,0.6315,0.2895,0.0087,0.2727,0.3067,0.2619,0.3187,0.0568
Strength,2,5,lowess_curve_amplitude,Weak response,Strong response,Weak response,0.3971,0.0498,7.9763,7.9763,0.3473,0.3071,0.7042,0.3198,0.013,0.2959,0.3457,0.2763,0.3644,0.0881
Strength,3,5,raw_overall_slope,Weak response,Strong response,Weak response,0.4164,0.139,2.9954,2.9954,0.2774,0.3048,0.7212,0.3191,0.0347,0.2509,0.3899,0.2049,0.439,0.2341
Strength,4,5,MCN,Weak response,Strong response,Weak response,0.7369,0.3219,2.289,2.289,0.415,4.3219,3.585,4.3088,0.0694,4.0,4.3219,3.585,4.3923,0.8074
Strength,5,5,lowess_r2,Weak response,Strong response,Weak response,0.0484,0.0255,1.8952,1.8952,0.0229,0.9382,0.9866,0.9355,0.0068,0.9231,0.9486,0.9137,0.9557,0.042
Threshold,1,5,distance_correlation,No threshold,Threshold-like change,Threshold-like change,0.0712,0.0112,6.377,6.377,0.06,0.9741,0.9029,0.9054,0.0029,0.8996,0.9108,0.8958,0.918,0.0223
Threshold,2,5,pearson_r,No threshold,Threshold-like change,Threshold-like change,0.099,0.019,5.2113,5.2113,0.08,0.9782,0.8792,0.8821,0.0049,0.8721,0.8911,0.8627,0.9015,0.0387
Threshold,3,5,lowess_curve_amplitude,No threshold,Threshold-like change,Threshold-like change,0.1362,0.0381,3.576,3.576,0.0981,0.6691,0.5329,0.5459,0.0096,0.5282,0.5663,0.5213,0.5795,0.0582
Threshold,4,5,MIC_minus_r2,No threshold,Threshold-like change,Threshold-like change,0.171,0.0514,3.3245,3.3245,0.1196,0.027,0.198,0.2109,0.0121,0.1801,0.2315,0.1589,0.2412,0.0823
Threshold,5,5,spearman_rho,No threshold,Threshold-like change,Threshold-like change,0.1742,0.0656,2.6554,2.6554,0.1086,0.9786,0.8044,0.8167,0.0167,0.7817,0.8473,0.7589,0.8675,0.1086
Turning point,1,5,distance_correlation,No turning point,Turning point,Turning point,0.5337,0.0396,13.4668,13.4668,0.4941,0.9836,0.4499,0.4576,0.0098,0.4392,0.4788,0.4237,0.4899,0.0663
Turning point,2,5,spearman_rho,No turning point,Turning point,Turning point,0.8652,0.1161,7.4495,7.4495,0.7491,0.9851,0.1199,0.109,0.0291,0.0506,0.1667,0.0135,0.1953,0.1819
Turning point,3,5,equal_width_bin_amplitude,No turning point,Turning point,Turning point,0.3447,0.0492,7.0009,7.0009,0.2955,0.6014,0.2567,0.2482,0.0124,0.224,0.2733,0.2048,0.2907,0.0859
Turning point,4,5,pearson_r,No turning point,Turning point,Turning point,0.8477,0.1323,6.4051,6.4051,0.7154,0.9835,0.1358,0.1381,0.0335,0.0703,0.2027,0.0233,0.2545,0.2311
Turning point,5,5,lowess_curve_amplitude,No turning point,Turning point,Turning point,0.3522,0.0615,5.7312,5.7312,0.2907,0.652,0.2998,0.2897,0.0158,0.2592,0.3206,0.2439,0.3463,0.1025
