property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Monotonicity,3,3,distance_correlation,Monotonic,Non-monotonic,Monotonic,0.5253,0.0104,50.2736,50.2736,0.5149,0.9778,0.4525,0.9777,0.0027,0.9722,0.9826,0.9667,0.9853,0.0186
Non-linearity,1,3,equal_width_bin_amplitude,Linear,Non-linear,Linear,0.19,0.0535,3.5526,3.5526,0.1365,0.6396,0.8296,0.6521,0.0137,0.6256,0.679,0.6123,0.6956,0.0832
Non-linearity,2,3,pearson_r,Linear,Non-linear,Linear,0.0165,0.0074,2.2345,2.2345,0.0091,0.9787,0.9622,0.9824,0.0019,0.9784,0.9858,0.9755,0.989,0.0135
Non-linearity,3,3,spearman_rho,Linear,Non-linear,Linear,0.0162,0.0078,2.0878,2.0878,0.0084,0.9805,0.9643,0.9833,0.0019,0.9792,0.9869,0.9764,0.9891,0.0128
Saturation,1,3,pearson_r,No saturation,Saturation,Saturation,0.1148,0.0298,3.8481,3.8481,0.085,0.9857,0.8709,0.8583,0.0076,0.8422,0.872,0.8337,0.8813,0.0476
Saturation,2,3,distance_correlation,No saturation,Saturation,Saturation,0.085,0.0294,2.8933,2.8933,0.0556,0.9842,0.8992,0.8881,0.0074,0.8731,0.9025,0.8641,0.9118,0.0476
Saturation,3,3,equal_width_bin_amplitude,No saturation,Saturation,Saturation,0.0659,0.0495,1.3301,1.3301,0.0164,0.6799,0.614,0.6123,0.0127,0.5884,0.638,0.5793,0.6764,0.0972
Spread,1,3,lowess_residual_sd,Low spread,High spread,High spread,0.1191,0.0317,3.7571,3.7571,0.0874,0.036,0.1551,0.1598,0.0082,0.1444,0.1761,0.1356,0.1888,0.0532
Spread,2,3,equal_width_bin_buffer_width_mean,Low spread,High spread,High spread,0.3427,0.1035,3.3125,3.3125,0.2392,0.115,0.4577,0.466,0.026,0.4176,0.5211,0.3883,0.5614,0.1731
Spread,3,3,equal_width_bin_late_buffer_width,Low spread,High spread,High spread,0.4098,0.1597,2.5668,2.5668,0.2501,0.0958,0.5056,0.4552,0.0409,0.3786,0.5382,0.3321,0.6075,0.2753
Strength,1,3,equal_width_bin_amplitude,Weak response,Strong response,Weak response,0.3424,0.034,10.0657,10.0657,0.3084,0.2891,0.6315,0.2895,0.0087,0.2727,0.3067,0.2619,0.3187,0.0568
Strength,2,3,lowess_curve_amplitude,Weak response,Strong response,Weak response,0.3971,0.0498,7.9763,7.9763,0.3473,0.3071,0.7042,0.3198,0.013,0.2959,0.3457,0.2763,0.3644,0.0881
Strength,3,3,raw_overall_slope,Weak response,Strong response,Weak response,0.4164,0.139,2.9954,2.9954,0.2774,0.3048,0.7212,0.3191,0.0347,0.2509,0.3899,0.2049,0.439,0.2341
Threshold,1,3,distance_correlation,No threshold,Threshold-like change,Threshold-like change,0.0712,0.0112,6.377,6.377,0.06,0.9741,0.9029,0.9054,0.0029,0.8996,0.9108,0.8958,0.918,0.0223
Threshold,2,3,pearson_r,No threshold,Threshold-like change,Threshold-like change,0.099,0.019,5.2113,5.2113,0.08,0.9782,0.8792,0.8821,0.0049,0.8721,0.8911,0.8627,0.9015,0.0387
Threshold,3,3,lowess_curve_amplitude,No threshold,Threshold-like change,Threshold-like change,0.1362,0.0381,3.576,3.576,0.0981,0.6691,0.5329,0.5459,0.0096,0.5282,0.5663,0.5213,0.5795,0.0582
Turning point,1,3,distance_correlation,No turning point,Turning point,Turning point,0.5337,0.0396,13.4668,13.4668,0.4941,0.9836,0.4499,0.4576,0.0098,0.4392,0.4788,0.4237,0.4899,0.0663
Turning point,2,3,spearman_rho,No turning point,Turning point,Turning point,0.8652,0.1161,7.4495,7.4495,0.7491,0.9851,0.1199,0.109,0.0291,0.0506,0.1667,0.0135,0.1953,0.1819
Turning point,3,3,equal_width_bin_amplitude,No turning point,Turning point,Turning point,0.3447,0.0492,7.0009,7.0009,0.2955,0.6014,0.2567,0.2482,0.0124,0.224,0.2733,0.2048,0.2907,0.0859
