property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Clustering,Clustering,Clustering,Single cloud,Separated clusters,gam_residual_sd_div_y_sd,0.1688,0.4219,0.2531,Clustering,Separated clusters,1,0.4397,0.0234,0.3591,0.5191,0.3956,0.487,0.0914,0.16,1000,2.769,10.8139,True,True,0.1617
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_residual_sd_div_y_sd,0.1682,0.4039,0.2357,Clustering,Separated clusters,1,0.4169,0.0233,0.3465,0.5105,0.3736,0.4675,0.0939,0.164,1000,2.5112,10.1063,True,True,0.1418
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_eta_squared,0.9568,0.7181,0.2387,Clustering,Separated clusters,1,0.7118,0.0262,0.6131,0.7842,0.6586,0.7606,0.102,0.1711,1000,2.3392,9.1124,True,True,0.1367
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_bin_early_buffer_width_div_y_sd,0.5104,1.134,0.6236,Clustering,Separated clusters,1,1.1592,0.1272,0.7653,1.5624,0.9167,1.4095,0.4927,0.7971,1000,1.2656,4.9041,True,False,0.1309
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MAS,0.0598,0.3726,0.3128,Clustering,Separated clusters,1,0.2871,0.053,0.0478,0.4597,0.1829,0.393,0.2101,0.4119,1000,1.489,5.9034,True,False,0.1027
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_bin_buffer_width_mean_div_y_sd,0.5853,1.0298,0.4445,Clustering,Separated clusters,1,1.1809,0.0894,0.9146,1.5997,1.0119,1.3561,0.3442,0.6851,1000,1.2914,4.9709,True,False,0.1003
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_width_distribution_ks_distance,1.0,0.6756,0.3244,Clustering,Separated clusters,1,0.6795,0.0643,0.4654,0.8482,0.5567,0.805,0.2483,0.3828,1000,1.3065,5.0445,True,False,0.0761
Clustering,Clustering,Clustering,Single cloud,Separated clusters,distance_covariance,0.1643,0.0795,0.0848,Clustering,Separated clusters,1,0.0804,0.0034,0.0686,0.0919,0.0739,0.0872,0.0133,0.0234,1000,6.383,24.5885,True,True,0.0715
Clustering,Clustering,Clustering,Single cloud,Separated clusters,gam_r2,0.9715,0.822,0.1495,Clustering,Separated clusters,1,0.8061,0.0207,0.7305,0.8711,0.7629,0.8435,0.0807,0.1405,1000,1.8534,7.2327,True,True,0.0688
Clustering,Clustering,Clustering,Single cloud,Separated clusters,equal_count_distribution_ks_distance,1.0,0.6912,0.3088,Clustering,Separated clusters,1,0.7024,0.0599,0.4853,0.8775,0.5833,0.8235,0.2402,0.3922,1000,1.2856,5.1555,True,False,0.0686
Clustering,Clustering,Clustering,Single cloud,Separated clusters,lowess_r2,0.9717,0.8368,0.1349,Clustering,Separated clusters,1,0.8255,0.0196,0.7393,0.8799,0.7814,0.8603,0.0789,0.1406,1000,1.7088,6.8788,True,False,0.056
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MIC,1.0,0.8399,0.1601,Clustering,Separated clusters,1,0.7822,0.0314,0.6789,0.9013,0.7197,0.8408,0.1211,0.2224,1000,1.3223,5.0935,True,False,0.039
Clustering,Clustering,Clustering,Single cloud,Separated clusters,covariance,0.0518,0.0091,0.0427,Clustering,Separated clusters,1,0.01,0.0012,0.0062,0.0141,0.0078,0.0122,0.0044,0.0079,1000,9.6131,36.909,True,True,0.0383
Clustering,Clustering,Clustering,Single cloud,Separated clusters,MEV,1.0,0.8399,0.1601,Clustering,Separated clusters,1,0.7821,0.0317,0.6789,0.9013,0.7184,0.8408,0.1224,0.2224,1000,1.3079,5.0554,True,False,0.0377
