property,rank_within_property,top_k,metric,case_a,case_b,baseline_case,observed_difference,baseline_95_width,observed_ratio,ratio_to_baseline_95_width,observed_minus_baseline95,case_a_value,case_b_value,baseline_mean,baseline_sd,baseline_q025,baseline_q975,baseline_min,baseline_max,baseline_range
Heteroscedasticity,4,5,lowess_r2,Constant spread,Changing spread,Changing spread,0.2404,0.1386,1.7345,1.7345,0.1018,0.8934,0.653,0.7304,0.0347,0.6593,0.7979,0.6081,0.8298,0.2217
Heteroscedasticity,5,5,raw_late_slope,Constant spread,Changing spread,Changing spread,1.4131,0.8181,1.7273,1.7273,0.595,0.3644,1.7775,0.5962,0.2072,0.1778,0.9959,-0.0219,1.2944,1.3162
Monotonicity,1,5,pearson_r,Monotonic,Non-monotonic,Monotonic,0.982,0.0064,153.5658,153.5658,0.9756,0.9803,-0.0017,0.9848,0.0017,0.9813,0.9877,0.9786,0.9899,0.0113
Monotonicity,2,5,spearman_rho,Monotonic,Non-monotonic,Monotonic,0.9692,0.0066,147.2456,147.2456,0.9626,0.9807,0.0115,0.9855,0.0017,0.9819,0.9885,0.9789,0.9903,0.0114
Monotonicity,3,5,distance_correlation,Monotonic,Non-monotonic,Monotonic,0.5253,0.0079,66.4104,66.4104,0.5174,0.9778,0.4525,0.9826,0.002,0.9785,0.9864,0.9746,0.9886,0.014
Monotonicity,4,5,raw_overall_slope,Monotonic,Non-monotonic,Monotonic,0.6661,0.0349,19.0716,19.0716,0.6312,0.6679,0.0018,0.6798,0.009,0.6622,0.6972,0.6455,0.7106,0.065
Monotonicity,5,5,MIC_minus_r2,Monotonic,Non-monotonic,Monotonic,0.7823,0.0453,17.2843,17.2843,0.737,0.0098,0.7921,0.0218,0.0123,-0.0095,0.0358,-0.0403,0.0424,0.0826
Non-linearity,1,5,raw_middle_slope,Linear,Non-linear,Linear,1.0726,0.1874,5.7232,5.7232,0.8852,0.7979,1.8705,0.7204,0.0457,0.6266,0.814,0.5419,0.8838,0.3419
Non-linearity,2,5,raw_late_slope,Linear,Non-linear,Linear,0.9986,0.1878,5.3186,5.3186,0.8108,1.1322,0.1336,0.7222,0.048,0.6261,0.8139,0.5858,0.8999,0.3141
Non-linearity,3,5,raw_early_slope,Linear,Non-linear,Linear,0.6554,0.1632,4.0151,4.0151,0.4922,0.9029,0.2475,0.7209,0.0436,0.637,0.8003,0.5697,0.8681,0.2984
Non-linearity,4,5,equal_width_bin_amplitude,Linear,Non-linear,Linear,0.19,0.0475,4.0042,4.0042,0.1425,0.6396,0.8296,0.6519,0.0117,0.6296,0.6771,0.6155,0.6874,0.0719
Non-linearity,5,5,pearson_r,Linear,Non-linear,Linear,0.0165,0.0056,2.9482,2.9482,0.0109,0.9787,0.9622,0.9864,0.0014,0.9834,0.989,0.9816,0.9914,0.0098
Saturation,1,5,pearson_r,No saturation,Saturation,Saturation,0.1148,0.025,4.5843,4.5843,0.0898,0.9857,0.8709,0.8625,0.0065,0.8495,0.8745,0.8427,0.8838,0.0412
Saturation,2,5,raw_early_slope,No saturation,Saturation,Saturation,0.7376,0.1703,4.3323,4.3323,0.5673,0.5978,1.3354,1.7244,0.0451,1.6443,1.8146,1.5635,1.8606,0.297
Saturation,3,5,distance_correlation,No saturation,Saturation,Saturation,0.085,0.0249,3.4152,3.4152,0.0601,0.9842,0.8992,0.895,0.0063,0.8822,0.907,0.8767,0.9138,0.0371
Saturation,4,5,raw_late_slope,No saturation,Saturation,Saturation,0.544,0.183,2.9725,2.9725,0.361,0.497,-0.047,0.0828,0.0487,-0.0104,0.1726,-0.0542,0.2524,0.3066
Saturation,5,5,raw_middle_slope,No saturation,Saturation,Saturation,0.4698,0.1877,2.5032,2.5032,0.2821,0.5066,0.0368,0.38,0.0467,0.2934,0.4811,0.2245,0.5319,0.3074
Spread,1,5,raw_overall_slope,Low spread,High spread,High spread,0.6002,0.1506,3.985,3.985,0.4496,0.7075,0.1073,0.66,0.0393,0.5825,0.7331,0.5089,0.776,0.2671
Spread,2,5,lowess_residual_sd,Low spread,High spread,High spread,0.1191,0.0315,3.7764,3.7764,0.0876,0.036,0.1551,0.16,0.008,0.1447,0.1762,0.1359,0.1869,0.0511
Spread,3,5,lowess_r2,Low spread,High spread,High spread,0.3445,0.1525,2.2584,2.2584,0.192,0.9685,0.624,0.5955,0.0399,0.5154,0.6679,0.454,0.709,0.2551
Spread,4,5,equal_width_bin_eta_squared,Low spread,High spread,High spread,0.3247,0.1559,2.0828,2.0828,0.1688,0.9592,0.6345,0.5942,0.0399,0.5141,0.6699,0.4541,0.7042,0.2501
Spread,5,5,pearson_r,Low spread,High spread,High spread,0.2031,0.0993,2.0457,2.0457,0.1038,0.9836,0.7805,0.7617,0.0263,0.71,0.8093,0.6613,0.8322,0.1709
Strength,1,5,raw_overall_slope,Weak response,Strong response,Weak response,0.4164,0.0345,12.0661,12.0661,0.3819,0.3048,0.7212,0.3199,0.0086,0.3031,0.3376,0.2931,0.3463,0.0532
Strength,2,5,equal_width_bin_amplitude,Weak response,Strong response,Weak response,0.3424,0.0461,7.4303,7.4303,0.2963,0.2891,0.6315,0.2893,0.0116,0.2665,0.3126,0.2574,0.3227,0.0653
Strength,3,5,lowess_curve_amplitude,Weak response,Strong response,Weak response,0.3971,0.0651,6.1024,6.1024,0.332,0.3071,0.7042,0.3199,0.0168,0.2881,0.3532,0.2673,0.3817,0.1145
Strength,4,5,raw_middle_slope,Weak response,Strong response,Weak response,0.5392,0.183,2.9462,2.9462,0.3562,0.2534,0.7926,0.3208,0.0456,0.2333,0.4163,0.1953,0.4547,0.2594
Strength,5,5,raw_late_slope,Weak response,Strong response,Weak response,0.4608,0.1825,2.5243,2.5243,0.2783,0.3199,0.7807,0.3195,0.0465,0.2323,0.4148,0.1527,0.451,0.2983
Threshold,1,5,distance_correlation,No threshold,Threshold-like change,Threshold-like change,0.0712,0.0107,6.6735,6.6735,0.0605,0.9741,0.9029,0.9053,0.0028,0.8997,0.9104,0.8959,0.9174,0.0215
Threshold,2,5,pearson_r,No threshold,Threshold-like change,Threshold-like change,0.099,0.0189,5.2511,5.2511,0.0801,0.9782,0.8792,0.8821,0.0047,0.8722,0.891,0.8664,0.8996,0.0333
Threshold,3,5,raw_middle_slope,No threshold,Threshold-like change,Threshold-like change,0.9332,0.1923,4.8533,4.8533,0.7409,0.566,1.4992,1.7086,0.0489,1.6117,1.804,1.5491,1.899,0.3499
Threshold,4,5,MIC_minus_r2,No threshold,Threshold-like change,Threshold-like change,0.171,0.0433,3.9511,3.9511,0.1277,0.027,0.198,0.2113,0.0106,0.1873,0.2306,0.163,0.2386,0.0755
Threshold,5,5,raw_overall_slope,No threshold,Threshold-like change,Threshold-like change,0.1343,0.0356,3.7757,3.7757,0.0987,0.6883,0.554,0.7654,0.009,0.7479,0.7834,0.7389,0.7944,0.0555
Turning point,1,5,raw_overall_slope,No turning point,Turning point,Turning point,0.6164,0.0371,16.5925,16.5925,0.5793,0.6795,0.0631,0.0441,0.0093,0.0262,0.0634,0.0167,0.0751,0.0584
Turning point,2,5,distance_correlation,No turning point,Turning point,Turning point,0.5337,0.033,16.1506,16.1506,0.5007,0.9836,0.4499,0.4675,0.0083,0.4517,0.4847,0.4375,0.4981,0.0607
Turning point,3,5,spearman_rho,No turning point,Turning point,Turning point,0.8652,0.1008,8.5856,8.5856,0.7644,0.9851,0.1199,0.1101,0.0255,0.0608,0.1616,0.0351,0.1897,0.1546
Turning point,4,5,equal_width_bin_amplitude,No turning point,Turning point,Turning point,0.3447,0.0417,8.2626,8.2626,0.303,0.6014,0.2567,0.2472,0.0106,0.2269,0.2686,0.2144,0.2906,0.0762
Turning point,5,5,pearson_r,No turning point,Turning point,Turning point,0.8477,0.1176,7.2067,7.2067,0.7301,0.9835,0.1358,0.1411,0.0295,0.0845,0.2021,0.0535,0.2329,0.1794
