property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Turning point,Turning point,Turning point,No turning point,Turning point,distance_correlation,0.9836,0.4499,0.5337,Turning point,Turning point,1,0.4675,0.0083,0.4375,0.4981,0.4517,0.4847,0.033,0.0607,1000,16.1506,63.9401,True,True,0.5007
Turning point,Turning point,Turning point,No turning point,Turning point,MIC_minus_r2,0.0326,0.661,0.6284,Turning point,Turning point,1,0.7968,0.0509,0.6259,0.9523,0.7006,0.8971,0.1966,0.3264,1000,3.1969,12.3359,True,True,0.4318
Turning point,Turning point,Turning point,No turning point,Turning point,equal_width_bin_amplitude,0.6014,0.2567,0.3447,Turning point,Turning point,1,0.2472,0.0106,0.2144,0.2906,0.2269,0.2686,0.0417,0.0762,1000,8.2626,32.5272,True,True,0.303
Turning point,Turning point,Turning point,No turning point,Turning point,lowess_curve_amplitude,0.652,0.2998,0.3522,Turning point,Turning point,1,0.2893,0.0135,0.2501,0.3399,0.2632,0.3148,0.0516,0.0898,1000,6.8258,26.1196,True,True,0.3006
Turning point,Turning point,Turning point,No turning point,Turning point,MAS,0.0306,0.373,0.3424,Turning point,Turning point,1,0.4963,0.0524,0.342,0.6661,0.3939,0.5979,0.204,0.3241,1000,1.6781,6.5308,True,True,0.1384
Turning point,Turning point,Turning point,No turning point,Turning point,MIC,1.0,0.6795,0.3205,Turning point,Turning point,1,0.8176,0.05,0.6544,0.973,0.7234,0.9175,0.1941,0.3187,1000,1.6515,6.4063,True,True,0.1264
Turning point,Turning point,Turning point,No turning point,Turning point,MEV,1.0,0.6795,0.3205,Turning point,Turning point,1,0.8176,0.05,0.6544,0.973,0.7234,0.9175,0.1941,0.3187,1000,1.6515,6.4063,True,True,0.1264
Turning point,Turning point,Turning point,No turning point,Turning point,standardized_early_slope,1.1159,1.7962,0.6803,Turning point,Turning point,1,1.9303,0.1478,1.4981,2.4095,1.6365,2.2085,0.572,0.9114,1000,1.1894,4.6042,True,False,0.1083
Turning point,Turning point,Turning point,No turning point,Turning point,equal_width_bin_eta_squared,0.9589,0.7797,0.1792,Turning point,Turning point,1,0.8183,0.0185,0.7605,0.867,0.7815,0.8523,0.0709,0.1065,1000,2.5286,9.6943,True,True,0.1083
Turning point,Turning point,Turning point,No turning point,Turning point,lowess_r2,0.9692,0.8166,0.1526,Turning point,Turning point,1,0.8569,0.015,0.8083,0.8951,0.8255,0.8863,0.0607,0.0868,1000,2.5124,10.1945,True,True,0.0919
Turning point,Turning point,Turning point,No turning point,Turning point,raw_middle_slope,0.6194,0.3461,0.2733,Turning point,Turning point,1,0.0444,0.0481,-0.1436,0.1725,-0.0527,0.1382,0.1909,0.3161,1000,1.4316,5.6772,True,False,0.0824
