model,variable,tables,members,start,stop,grids,n_tables,n_members,n_grids,n_datasets,n_with_dates
IPSL-CM6A-LR,rsdcs,"CFmon, CFsubhr, E3hrPt","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",3,32,2,52,34
IPSL-CM6A-LR,rsdcs4co2,CFmon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,12,1,12,8
IPSL-CM6A-LR,rsdo,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,33,1,33,13
IPSL-CM6A-LR,rsds,"3hr, Amon, CFsubhr, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",4,33,2,107,54
IPSL-CM6A-LR,rsdscs,"3hr, Amon, CFday, CFsubhr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",4,33,2,86,50
IPSL-CM6A-LR,rsdsIs,LImon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,11,1,11,5
IPSL-CM6A-LR,rsdt,"Amon, CFday, CFsubhr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",3,33,2,56,28
IPSL-CM6A-LR,rsntds,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gn,1,33,1,33,17
IPSL-CM6A-LR,rss,"day, Eday, Emon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r33i1p1f1",1850-01-01T12:00:00Z,2014-12-31T12:00:00Z,gr,3,12,1,24,12
IPSL-CM6A-LR,rsu,"CFmon, CFsubhr, Efx","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r33i1p1f1",1850-01-01T00:30:00Z,2015-01-01T00:00:00Z,"gn, gr",3,19,2,39,15
IPSL-CM6A-LR,rsu4co2,CFmon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,12,1,12,7
IPSL-CM6A-LR,rsucs,"CFmon, CFsubhr, E3hrPt","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",3,32,2,52,29
IPSL-CM6A-LR,rsucs4co2,CFmon,"r1i1p1f1, r2i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gr,1,12,1,12,3
IPSL-CM6A-LR,rsus,"3hr, Amon, CFsubhr, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",4,33,2,107,51
IPSL-CM6A-LR,rsuscs,"3hr, Amon, CF3hr, CFday, CFsubhr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1, r11i1p1f1, r12i1p1f1, r13i1p1f1, r14i1p1f1, r15i1p1f1, r16i1p1f1, r17i1p1f1, r18i1p1f1, r19i1p1f1, r20i1p1f1, r21i1p1f1, r22i1p1f1, r23i1p1f1, r24i1p1f1, r25i1p1f1, r26i1p1f1, r27i1p1f1, r28i1p1f1, r29i1p1f1, r30i1p1f1, r31i1p1f1, r32i1p1f1, r33i1p1f1",1850-01-01T00:00:00Z,2015-01-01T00:00:00Z,"gn, gr",5,33,2,117,53
