model,variable,tables,members,start,stop,grids,n_tables,n_members,n_grids,n_datasets,n_with_dates
ACCESS-CM2,abs550aer,AERmon,"r4i1p1f1, r5i1p1f1",1950-01-16T12:00:00Z,,gn,1,2,1,2,0
ACCESS-CM2,agessc,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,areacella,fx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,areacello,Ofx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,baresoilFrac,"Eyr, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,3
ACCESS-CM2,basin,Ofx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,bigthetao,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,bigthetaoga,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T12:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,c3PftFrac,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,c4PftFrac,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,ci,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,cl,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,cli,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,clivi,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,clt,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,13,2
ACCESS-CM2,clw,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,cropFrac,"Eyr, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,2
ACCESS-CM2,cropFracC3,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,deptho,Ofx,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",,,gn,1,10,1,10,0
ACCESS-CM2,evs,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,evspsbl,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,3
ACCESS-CM2,evspsblsoi,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,fracLut,"Emon, Eyr","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,3
ACCESS-CM2,friver,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,fsitherm,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,grassFrac,"Eyr, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-07-02T12:00:00Z,gn,2,10,1,20,2
ACCESS-CM2,grassFracC3,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,grassFracC4,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,hfbasinpmadv,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,hfds,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,hfevapds,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,hfls,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,6
ACCESS-CM2,hflso,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,hfrainds,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,hfsifrazil,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,hfss,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,1
ACCESS-CM2,hfsso,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,htovgyre,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,htovovrt,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,hur,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,13,1
ACCESS-CM2,hurs,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,3
ACCESS-CM2,hursmax,day,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,hursmin,day,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,hus,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,13,1
ACCESS-CM2,huss,"3hr, Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-31T12:00:00Z,gn,3,10,1,23,6
ACCESS-CM2,intuaw,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,intvaw,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,landCoverFrac,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,masscello,"Ofx, Omon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,1
ACCESS-CM2,masso,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T12:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,mc,Amon,"r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,5,1,5,0
ACCESS-CM2,mfo,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,mlotst,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,mrfso,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,mrro,"day, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,2,10,1,13,0
ACCESS-CM2,mrros,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,mrso,"day, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,2
ACCESS-CM2,mrsol,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,mrsos,"day, Lmon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,19,2
ACCESS-CM2,msftbarot,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,msftmrho,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,msftmz,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,msftyrho,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,msftyz,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,nwdFracLut,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,obvfsq,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,ocontemprmadvect,"Emon, Oyr","r1i1p1f1, r2i1p1f1, r3i1p1f1",1850-01-16T00:00:00Z,,gn,2,3,1,6,0
ACCESS-CM2,od440aer,AERmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,od550aer,AERmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,orog,"Emon, fx","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,20,2
ACCESS-CM2,osaltrmadvect,"Emon, Oyr","r1i1p1f1, r2i1p1f1, r3i1p1f1",1850-01-16T00:00:00Z,,gn,2,3,1,6,0
ACCESS-CM2,pbo,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,pfull,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1932-01-17T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,phalf,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1932-01-17T00:00:00Z,1932-12-16T00:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,pr,"3hr, Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-31T12:00:00Z,gn,3,10,1,23,3
ACCESS-CM2,prc,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,13,1
ACCESS-CM2,prra,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,prsn,"Amon, day, Omon","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,3,10,1,23,3
ACCESS-CM2,prw,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,3
ACCESS-CM2,ps,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,5
ACCESS-CM2,psl,"6hrPlevPt, Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-01T00:00:00Z,2014-12-16T12:00:00Z,gn,3,10,1,21,3
ACCESS-CM2,pso,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,residualFrac,Lmon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,rlds,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-31T12:00:00Z,gn,2,10,1,13,7
ACCESS-CM2,rldscs,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,rlntds,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,,gn,1,10,1,10,0
ACCESS-CM2,rls,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,rlus,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,13,3
ACCESS-CM2,rlut,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,2,10,1,13,4
ACCESS-CM2,rlutcs,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,6
ACCESS-CM2,rsds,"Amon, day","r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-31T12:00:00Z,gn,2,10,1,13,7
ACCESS-CM2,rsdscs,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,4
ACCESS-CM2,rsdt,Amon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,2
ACCESS-CM2,rsntds,Omon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
ACCESS-CM2,rss,Emon,"r1i1p1f1, r2i1p1f1, r3i1p1f1, r4i1p1f1, r5i1p1f1, r6i1p1f1, r7i1p1f1, r8i1p1f1, r9i1p1f1, r10i1p1f1",1850-01-16T00:00:00Z,2014-12-16T12:00:00Z,gn,1,10,1,10,1
