Output,Input,SRC,R2,PAWN_median,PAWN_max,Zone
evapotrans,precipitation,0.3159987642304419,0.655969113173365,0.32082658022690436,0.5138573743922203,HW
evapotrans,lai,0.5720979004923337,0.655969113173365,0.3727309562398703,0.6488654781199352,HW
tran,precipitation,-0.012229503013338859,0.6080505505064996,0.25822528363047,0.4908427876823339,HW
tran,lai,0.7874579706951335,0.6080505505064996,0.42123176661264183,0.7259319286871961,HW
evspsblveg,precipitation,0.41899879856942907,0.8287623959438067,0.4186385737439222,0.6121555915721232,HW
evspsblveg,lai,0.5854314366574593,0.8287623959438067,0.4366288492706645,0.7700162074554294,HW
evspsblsoi,precipitation,0.017055575224029937,0.6648874884140418,0.25182333873581847,0.48371150729335494,HW
evspsblsoi,lai,-0.8260930993411483,0.6648874884140418,0.39777147487844405,0.6423824959481361,HW
evapotrans,precipitation,0.747243975402673,0.8442894997219361,0.5821444176960124,0.7876645609568985,HD
evapotrans,lai,0.20457508459073193,0.8442894997219361,0.4728034642002203,0.6982191110158136,HD
tran,precipitation,0.06837141883950645,0.871378357734846,0.5015082030105595,0.6969692020334857,HD
tran,lai,0.8779876286792517,0.871378357734846,0.620599064662075,0.7995907121343353,HD
evspsblveg,precipitation,0.10933643831344095,0.9034997837097469,0.5410060737211984,0.7051289715385225,HD
evspsblveg,lai,0.8609602099502491,0.9034997837097469,0.6141461284718224,0.8377158727981266,HD
evspsblsoi,precipitation,1.1123732264414437,0.6946172948081398,0.466967242890665,0.7855115152943883,HD
evspsblsoi,lai,-0.39223425332107775,0.6946172948081398,0.3550075408895635,0.6659405635492426,HD
evapotrans,precipitation,0.4394358510277266,0.45592412036379437,0.30263167041308714,0.5433716428503674,CW
evapotrans,lai,0.3401076637436333,0.45592412036379437,0.2680912464695275,0.5835560144843122,CW
tran,precipitation,0.21992635539007,0.4952208993865058,0.30048324951476624,0.4409900510584335,CW
tran,lai,0.5689166214685443,0.4952208993865058,0.4085176230172467,0.7844662818191082,CW
evspsblveg,precipitation,0.2751548070729814,0.8859094221993944,0.3720898734371021,0.5919397316955435,CW
evspsblveg,lai,0.7747929547999866,0.8859094221993944,0.5401429840278069,0.7784204143613038,CW
evspsblsoi,precipitation,0.4790040935270002,0.2804294096759081,0.15885390773088354,0.2681394383522927,CW
evspsblsoi,lai,-0.5622800101156605,0.2804294096759081,0.19342576112015664,0.45501068979463555,CW
evapotrans,precipitation,0.4970479615252402,0.6543181889534161,0.3346739593477646,0.5010972741367399,CD
evapotrans,lai,0.42322179679742,0.6543181889534161,0.3778620281740266,0.6753113676675317,CD
tran,precipitation,0.0566516261514728,0.8035358408927394,0.3253522026939017,0.4806005037508438,CD
tran,lai,0.864416572652763,0.8035358408927394,0.4855378023355052,0.7809948558148923,CD
evspsblveg,precipitation,0.11935827379082882,0.9129954345134952,0.3637350744463801,0.5217961016742589,CD
evspsblveg,lai,0.8855064154768846,0.9129954345134952,0.5285602461685561,0.8351928067121869,CD
evspsblsoi,precipitation,0.6198200805681597,0.4945115875416669,0.30853441497427186,0.49686192835055987,CD
evspsblsoi,lai,0.13644148118607782,0.4945115875416669,0.3484063491822108,0.5666186982976422,CD
