zone,sample,grid_cells,weighted_rank_r_P_ET,weighted_rank_r_P_R,median_ET_fraction,median_R_fraction
WW,all_assigned,662,0.8830436351268616,0.8198661122920182,0.8534411787986755,0.14529800415039062
WW,core_purity_ge_0p60,604,0.8920216186856883,0.8101218080899779,0.8512781262397766,0.1481427699327469
WD,all_assigned,1243,0.9961915620867586,0.9449962497553728,0.9452178478240967,0.05598440393805504
WD,core_purity_ge_0p60,1176,0.997303082307563,0.9493293407559703,0.9484620094299316,0.05335409566760063
CW,all_assigned,1491,0.698671386730623,0.644039812132388,0.5830152630805969,0.41766637563705444
CW,core_purity_ge_0p60,1428,0.6973487995133286,0.6332937259787388,0.5815826654434204,0.4190903306007385
CD,all_assigned,776,0.907711575882319,0.837922881552873,0.8682692646980286,0.1328350156545639
CD,core_purity_ge_0p60,699,0.9120902752660155,0.8443492990100387,0.8717740774154663,0.13083624839782715
