zone,zone_label,n_cells,land_area_m2,P,R_fraction_climatology,tas_C,net_radiation,mrso,mrsos,snw
WW,Warm–Wet,662,25826398000000.0,1418.1578,0.18204564,20.019072704744598,121.05211213857226,901.8402656593186,24.18159834664439,0.07852522861815521
WD,Warm–Dry,1243,49911463000000.0,586.55786,0.07909916,23.703657680653684,101.7531398665201,395.2474796125724,13.216576821945365,0.01739652052065219
CW,Cold–Wet,1491,32529743000000.0,770.4011,0.4005348,-1.645692865647409,50.74898660102871,836.1463217128272,23.804393656795664,35.39454582573757
CD,Cold–Dry,776,23066728000000.0,492.59366,0.18538596,6.417174272792219,72.7784362222842,304.4037117926734,16.90587372247568,9.7879427061492
