zone,label,grid_cells,land_area_share,core_cell_share,median_zone_purity,weighted_rank_r_P_ET,weighted_rank_r_P_R,P_mean,P_q25,P_median,P_q75,ET_mean,ET_q25,ET_median,ET_q75,R_mean,R_q25,R_median,R_q75,ET_fraction_climatology_mean,ET_fraction_climatology_q25,ET_fraction_climatology_median,ET_fraction_climatology_q75,R_fraction_climatology_mean,R_fraction_climatology_q25,R_fraction_climatology_median,R_fraction_climatology_q75
WW,Warm–Wet,662,0.19664619863033295,0.9123867069486404,1.0,0.8830436351268616,0.8198661122920182,1418.1579068760207,961.8370971679688,1356.8565673828125,1761.2218017578125,1099.1902541999834,806.413330078125,1065.574951171875,1413.74365234375,318.2875410456316,72.9036865234375,180.003173828125,421.26171875,0.817541557228805,0.7345131039619446,0.8534411787986755,0.9292787313461304,0.18204564043248966,0.06992348283529282,0.14529800415039062,0.2634829878807068
WD,Warm–Dry,1243,0.38003361225128174,0.9460981496379727,1.0,0.9961915620867586,0.9449962497553728,586.5578459912489,59.80143737792969,349.9571228027344,978.2901611328125,511.30699190407216,54.193172454833984,328.60186767578125,872.4596557617188,74.67392344203712,2.5317349433898926,12.034130096435547,77.58659362792969,0.9220607448075437,0.8955184817314148,0.9452178478240967,0.9756014943122864,0.07909916043041891,0.0240632314234972,0.05598440393805504,0.1038874089717865
CW,Cold–Wet,1491,0.247686505317688,0.9577464788732394,1.0,0.698671386730623,0.644039812132388,770.4011423373938,553.4440307617188,712.330078125,910.1196899414062,444.10486923864994,289.4700927734375,442.4803161621094,574.3214721679688,326.5713319610362,157.22817993164062,257.4823913574219,412.3765563964844,0.5997332031900918,0.4473237991333008,0.5830152630805969,0.7544527053833008,0.40053480384009815,0.24619552493095398,0.41766637563705444,0.5512580871582031
CD,Cold–Dry,776,0.17563363909721375,0.9007731958762887,0.9676247450392245,0.907711575882319,0.837922881552873,492.5936691626415,240.26010131835938,439.2856140136719,708.4108276367188,372.7162698666514,202.59014892578125,351.5628662109375,523.1442260742188,120.16827072239464,17.637447357177734,46.109317779541016,146.85324096679688,0.8153188062154161,0.7774196863174438,0.8682692646980286,0.9287453889846802,0.18538596407021204,0.07073713839054108,0.1328350156545639,0.2233397513628006
