model,zone,x,y,n,a,k,c,plateau,r2,rmse,residual_variance
CLASSIC,HW,P,T,12047,319.74751639869424,0.0014581623549414623,178.02151630083537,497.7690326995296,0.3129330649803339,108.7205710176076,11821.143814475194
CLASSIC,HW,P,E_soil,12047,7.006740495760569e-06,9.177695718815333e-13,230.94442827881335,230.94443528555385,0.0,91.51352051461642,8375.419665639007
CLASSIC,HW,LAI,T,12047,707.911763057723,0.12895531056328555,156.98110935169603,864.8928724094189,0.6080537153641882,82.11556329019237,6743.525502499331
CLASSIC,HW,LAI,E_soil,12047,1.4181342637199258e-11,6.789169474944582e-15,230.94442825566765,230.94442825568183,0.0,91.51352051461642,8375.419665639007
LPJ-GUESS,HW,P,T,12149,643.6127185520336,0.0008021163027928726,475.5067163051692,1119.1194348572028,0.4437891960243645,152.87754505846684,23373.467683645456
LPJ-GUESS,HW,P,E_soil,12149,293.8988464917727,0.00039243235357170047,62.96047057461029,356.85931706638297,0.24503450497660995,80.43756996361174,6470.735276292161
LPJ-GUESS,HW,LAI,T,12149,1260.3157269199298,0.1477618395983868,385.8801094666316,1646.1958363865615,0.8078389988030048,89.8579727230089,8075.119935519395
LPJ-GUESS,HW,LAI,E_soil,12149,817477.5942387634,1.977637386702046e-05,104.73527995957457,817582.3295187231,0.06895484456373269,89.32659153564585,7979.89679007818
