model,zone,x,y,n_used_bins,mean_buffer_abs,median_buffer_abs,max_buffer_abs,head_mean_buffer_abs,tail_mean_buffer_abs,mean_buffer_rel,tail_mean_buffer_rel
CLASSIC,HW,P,T,15,378.6374349999999,388.8946789999999,450.110114,314.0610603333333,428.98950466666673,0.9259514433871888,0.9270221729345356
CLASSIC,HW,P,E_soil,15,218.44931310666658,210.11568099999977,286.0781775,265.8789521666666,178.7905215333333,1.2863346899618961,1.347971389985041
CLASSIC,HW,LAI,T,15,251.85866695999997,295.42284,340.653887,132.21867213333329,311.8632238333332,0.6765453060183838,0.594547544531325
CLASSIC,HW,LAI,E_soil,15,166.16821832999997,176.734888,258.9407279999998,217.5058823333333,93.19577514999996,0.7288797233678613,0.772830923941434
LPJ-GUESS,HW,P,T,15,538.9376398,545.589524,635.6588,430.7561286666666,598.9258456666668,0.6077201003653869,0.5803218119524054
LPJ-GUESS,HW,P,E_soil,15,287.1467723933334,281.18369559999996,432.42205249999995,201.25306949999995,375.5251467333333,1.7664195503525784,1.5474917499350402
LPJ-GUESS,HW,LAI,T,15,290.29079310000003,302.61462499999993,353.41788999999994,215.5806318333334,310.78779266666675,0.36015626038871357,0.27302848592811535
LPJ-GUESS,HW,LAI,E_soil,15,267.71368554,261.3967912,349.962615,318.6927062,253.25192536666665,1.9867771092336848,1.2586651354855751
