model,zone,x,y,n,q1,q2,head_slope,mid_slope,tail_slope,saturation_index,saturation_ratio
CLASSIC,HW,P,T,12047,1202.3317708333332,1683.5182291666667,0.24274410637289198,0.11783063160318202,0.01795530383439271,0.9260319679736709,0.0739680320263291
CLASSIC,HW,P,E_soil,12047,1202.3317708333332,1683.5182291666667,-0.04642858161952277,-0.13443440142060545,-0.04138651727739541,0.10859828507031588,0.8914017149296841
CLASSIC,HW,LAI,T,12047,2.9058764666666668,4.895899466666666,94.13453854912235,55.98027730070683,74.41387920277883,0.2094944071569721,0.7905055928430279
CLASSIC,HW,LAI,E_soil,12047,2.9058764666666668,4.895899466666666,-53.81159699695504,-46.739781848502176,-40.96639018911081,0.2387070357449358,0.7612929642550642
LPJ-GUESS,HW,P,T,12149,1212.0487847222223,1688.94765625,0.3181478083864244,0.3561182387480164,0.09306318563832518,0.7074844358968835,0.2925155641031166
LPJ-GUESS,HW,P,E_soil,12149,1212.0487847222223,1688.94765625,0.09635314492285645,0.06938499652579279,0.048753751125215905,0.49400975791449475,0.5059902420855052
LPJ-GUESS,HW,LAI,T,12149,2.8237496666666666,4.539707133333334,185.79128597814875,99.01008586397394,120.61066059698649,0.35082713937847587,0.6491728606215241
LPJ-GUESS,HW,LAI,E_soil,12149,2.8237496666666666,4.539707133333334,-16.383968124062815,17.980089037612267,27.00394163798666,-0.6481930038869215,1.6481930038869215
