model,zone,x,y,n,gam_r2,residual_variance,rmse,pseudo_r2,edf
CLASSIC,HW,P,T,12047,0.31566784307596985,11774.091331636313,108.50398142602188,0.31566784307596996,8.362445875281953
CLASSIC,HW,P,E_soil,12047,0.30815251208933947,5794.51305586989,76.11853955291066,0.30815251208933947,8.362445875281953
CLASSIC,HW,LAI,T,12047,0.6127646250039439,6662.473224314883,81.62058676759376,0.612764625003944,8.524872646707779
CLASSIC,HW,LAI,E_soil,12047,0.6810666000351009,2671.2010700951273,51.681518345099704,0.6810666000351009,8.524872646707779
LPJ-GUESS,HW,P,T,12149,0.4516081586029035,23044.89393455101,151.79919986397155,0.4516081586029036,8.362641027454698
LPJ-GUESS,HW,P,E_soil,12149,0.24654985431045884,6457.747365645809,80.35680319709344,0.24654985431045895,8.362641027454698
LPJ-GUESS,HW,LAI,T,12149,0.8145795272746964,7791.864875967053,88.26790763028902,0.8145795272746963,8.37989623488612
LPJ-GUESS,HW,LAI,E_soil,12149,0.12226380392053093,7522.990924338799,86.73160725575099,0.12226380392053093,8.37989623488612
