model,zone,x,y,mean_abs_slope,max_abs_slope
CLASSIC,HW,P,T,376.98,936.38
CLASSIC,HW,P,E_soil,213.87,514.28
CLASSIC,HW,LAI,T,582.1,2192.08
CLASSIC,HW,LAI,E_soil,313.74,686.57
LPJ-GUESS,HW,P,T,653.52,1421.95
LPJ-GUESS,HW,P,E_soil,222.51,452.36
LPJ-GUESS,HW,LAI,T,837.51,1386.43
LPJ-GUESS,HW,LAI,E_soil,202.87,389.37
