target_output,model,x,y,relationship,binning,bin_id,x_left,x_right,x_center,x_median,n_bin,y_q05,y_q25,y_median,y_q75,y_q95,bin_buffer90,bin_buffer50
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,18,6.0621,6.2403,6.1512,6.1513,602,365.0597,441.375,476.6587,563.3905,669.2106,304.1509,122.0155
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,19,6.2403,6.8606,6.5504,6.3629,603,382.5185,436.9638,487.8371,646.7591,704.0655,321.547,209.7953
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,0,0.9758,1.5577,1.2667,1.3552,608,331.4658,386.0125,434.8776,480.3461,530.327,198.8612,94.3336
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,1,1.5577,1.8877,1.7227,1.737,607,378.2637,456.8458,530.8795,570.2701,610.4965,232.2328,113.4243
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,2,1.8877,2.1254,2.0066,2.0021,608,425.8536,511.9651,578.9057,619.7066,658.7847,232.9311,107.7415
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,3,2.1254,2.3227,2.2241,2.2306,607,461.3964,558.6472,621.2568,649.5928,696.8153,235.4189,90.9456
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,4,2.3227,2.5288,2.4258,2.4257,607,486.6029,584.49,645.5345,684.2517,729.1784,242.5756,99.7617
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,5,2.5288,2.7148,2.6218,2.6209,608,517.6026,605.3772,676.0995,730.8005,793.1434,275.5408,125.4233
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,6,2.7148,2.8712,2.793,2.7931,607,534.1631,633.6466,702.2731,764.9538,828.5815,294.4184,131.3072
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,7,2.8712,3.0241,2.9477,2.9508,608,561.2677,637.7069,714.0183,788.8637,858.142,296.8744,151.1568
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,8,3.0241,3.1755,3.0998,3.1025,607,586.0063,661.8657,744.8431,823.9517,878.5941,292.5878,162.086
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,9,3.1755,3.3727,3.2741,3.268,607,591.9446,686.9368,782.55,854.9962,903.0112,311.0666,168.0595
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,10,3.3727,3.6462,3.5095,3.4987,608,628.3107,733.9927,812.9587,873.8037,934.0433,305.7327,139.811
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,11,3.6462,4.0261,3.8361,3.8333,607,665.7812,768.5389,832.8267,894.4945,962.9333,297.1522,125.9556
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,12,4.0261,4.4194,4.2227,4.2291,608,678.1678,792.3201,856.7551,909.5596,977.5927,299.4249,117.2395
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,13,4.4194,4.7522,4.5858,4.5948,607,697.4877,818.4566,889.1412,932.5492,995.999,298.5114,114.0926
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,14,4.7522,5.0266,4.8894,4.891,607,736.2664,856.3245,923.7066,969.7268,1029.8504,293.584,113.4023
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,15,5.0266,5.3005,5.1636,5.1686,608,776.2849,897.9609,953.7351,1011.5864,1109.7755,333.4907,113.6255
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,16,5.3005,5.5617,5.4311,5.429,607,811.1183,923.3492,988.1677,1053.3124,1150.5187,339.4004,129.9632
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,17,5.5617,5.8727,5.7172,5.7091,608,867.1722,963.8888,1025.3658,1086.6583,1186.234,319.0617,122.7695
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,18,5.8727,6.2471,6.0599,6.0506,607,906.4559,1007.5053,1061.1827,1125.1792,1216.4695,310.0136,117.6739
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,19,6.2471,7.3801,6.8136,6.5755,608,953.8064,1066.1034,1132.9519,1197.9052,1260.0222,306.2157,131.8019
