target_output,model,x,y,relationship,binning,n_points,n_bins_requested,n_bins_valid,y_obs_sd,median_bin_buffer90,mean_bin_buffer90,median_bin_buffer50,mean_bin_buffer50,bin_buffer90_by_sd,bin_buffer50_by_sd,bin_data_certainty_score90,bin_data_certainty_score50,early_bin_buffer90_by_sd,middle_bin_buffer90_by_sd,late_bin_buffer90_by_sd,endpoint_bin_buffer90_by_sd,endpoint_asymmetry90,endpoint_certainty_score90
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,12047,20,19,131.1687,384.8755,375.4651,142.3215,144.0329,2.9342,1.085,0.2542,0.4796,2.6145,2.8385,3.3216,2.9681,1.2705,0.252
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-width bins,12149,20,19,204.9943,551.3298,531.6948,209.5274,205.2923,2.6895,1.0221,0.271,0.4945,2.1963,2.6895,2.8109,2.5036,1.2798,0.2854
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-width bins,12047,20,20,131.1687,282.4643,248.1968,107.8908,107.5874,2.1534,0.8225,0.3171,0.5487,1.1629,2.1865,2.2765,1.7197,1.9575,0.3677
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-width bins,12149,20,20,204.9943,302.607,288.251,114.9778,115.5382,1.4762,0.5609,0.4038,0.6407,1.1388,1.485,1.503,1.3209,1.3198,0.4309
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,12047,20,20,131.1687,380.6964,365.9214,133.2324,139.5797,2.9023,1.0157,0.2563,0.4961,2.2842,3.0183,2.7725,2.5283,1.2138,0.2834
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Equal-count bins,12149,20,20,204.9943,509.3599,506.7013,203.439,201.5677,2.4848,0.9924,0.287,0.5019,2.1125,2.4848,2.8212,2.4668,1.3355,0.2884
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,12047,20,20,131.1687,296.3612,259.3351,114.9976,109.3324,2.2594,0.8767,0.3068,0.5328,1.1621,2.2594,2.3188,1.7405,1.9953,0.3649
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Equal-count bins,12149,20,20,204.9943,297.0133,285.7547,120.2217,123.5287,1.4489,0.5865,0.4083,0.6303,1.1363,1.4489,1.5564,1.3464,1.3698,0.4262
