analysis_group,zone,model,x_label,y_label,method,n_raw_points,n_curve_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,abs_pearson_r,abs_spearman_r,abs_spearman_minus_abs_pearson,raw_net_change,absolute_net_change,normalized_net_change,normalized_absolute_net_change,positive_slope_fraction,negative_slope_fraction,flat_slope_fraction,dominant_slope_sign,monotonic_fraction,number_of_slope_sign_changes,early_slope,middle_slope,late_slope,early_absolute_slope,middle_absolute_slope,late_absolute_slope,early_late_slope_sign_consistency,early_late_slope_sign_opposition,has_internal_valley,has_internal_peak,number_of_internal_extrema,turning_point_x_norm,turning_point_y_norm,turning_point_type,turning_point_x,two_line_left_slope,two_line_right_slope,two_line_left_p,two_line_right_p,two_line_test_evidence,u_test_stat,u_test_p,lind_mehlum_stat,lind_mehlum_p,shape_label
HW_T,HW,CLASSIC,P,T,Equal-width bins,12340,10,0.7864697488614871,0.0069657584418327,0.7212121212121211,0.0185731550894602,0.4666666666666666,0.0725501543209876,0.7864697488614871,0.7212121212121211,-0.065257627649366,115.13126500000004,115.13126500000004,0.4596314995942689,0.4596314995942689,0.4444444444444444,0.3333333333333333,0.2222222222222222,positive,0.4444444444444444,2,1.6129187014550233,1.1819815821092003,-0.2123031987314208,1.6129187014550233,1.1819815821092003,0.2123031987314208,False,True,True,True,2,0.1684793470408049,0.0729455145270925,valley,603.7150716145833,,1.0326889133450423,,0.0071786684301203,,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,CLASSIC,P,T,Equal-count bins,12340,10,0.918982494323704,0.000170778312454,0.9878787878787878,9.307459988955517e-08,0.9555555555555554,5.5114638447971785e-06,0.918982494323704,0.9878787878787878,0.0688962935550838,215.54232,215.54232,0.9835761346312042,0.9835761346312042,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,1,1.9584490115421984,0.8194775521522507,-0.0599037183628406,1.9584490115421984,0.8194775521522507,0.0599037183628406,False,True,False,True,1,0.7465190233766208,0.9987605876651888,peak,2315.9301106770836,1.3902127745628936,,9.327238494632094e-06,,,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,CLASSIC,P,T,LOWESS,12340,12149,0.8824063863566616,0.0,0.9862674649358186,0.0,0.9366105138444926,0.0,0.8824063863566616,0.9862674649358186,0.103861078579157,134.08443235806806,134.08443235806806,0.4554723081662729,0.4554723081662729,0.8463121501481725,0.1391998682910767,0.0144879815607507,positive,0.8463121501481725,2,3.0504277661337293,1.5624738513244651,-0.1029729512716907,3.0504277661337293,1.5624738513244651,0.1029729512716907,False,True,True,True,2,0.1308588391648533,0.0007501046204225,valley,504.19334815014366,-3.1735477301395147,1.380720659814335,6.100410476445099e-07,0.0,True,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,CLASSIC,P,T,Polynomial degree 3,12340,300,0.7323507757452441,1.1549881579642432e-51,0.7050198335537061,2.195983064928308e-46,0.5857302118171683,1.035969577472989e-51,0.7323507757452441,0.7050198335537061,-0.0273309421915379,57.37008404545938,57.37008404545938,0.2203869569292972,0.2203869569292972,0.6655518394648829,0.3277591973244147,0.0066889632107023,positive,0.6655518394648829,2,1.259572810206225,1.701833082527951,-2.2854305606902967,1.259572810206225,1.701833082527951,2.2854305606902967,False,True,True,True,2,0.7006688963210701,0.9999809765408836,peak,2699.6464207950103,1.7411997011500358,-2.5389152172609557,4.169450727923881e-188,7.464515540318857e-50,True,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,CLASSIC,P,T,GAM,12340,300,0.8710830450180281,5.035136827543019e-94,0.8698958877320858,1.7976089417530557e-93,0.7082720178372353,9.12311848732958e-75,0.8710830450180281,0.8698958877320858,-0.0011871572859423,165.3750354536736,165.3750354536736,0.5312999003376834,0.5312999003376834,0.6889632107023411,0.2842809364548495,0.0267558528428093,positive,0.6889632107023411,3,0.2557184947455685,1.0096056547246712,0.33335860908668,0.2557184947455685,1.0096056547246712,0.33335860908668,True,False,True,True,3,0.1270903010033444,0.0,valley,489.6733364687848,-3.882442997713338,0.9195788615556086,2.560509435006912e-28,9.011033188734786e-72,True,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,CLASSIC,P,T,Piecewise linear,12340,300,0.9026308435211644,4.0480325823825504e-111,0.7798926654740607,1.3574570523737855e-62,0.5450167224080268,5.200774890189799e-45,0.9026308435211644,0.7798926654740607,-0.1227381780471038,302.59542838020775,302.59542838020775,0.9843098345000691,0.9843098345000691,0.5284280936454849,0.471571906354515,0.0,positive,0.5284280936454849,1,1.900107531784024,1.087122147931916,-0.0332720530814135,1.900107531784024,1.087122147931916,0.0332720530814135,False,True,False,True,1,0.5284280936454849,1.0,peak,2036.0101884754736,1.8998205058354676,-0.0332720530814134,0.0,0.0,True,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,CLASSIC,P,T,Symbolic regression,12340,300,0.9791729053381462,2.1149384543997746e-208,1.0,0.0,1.0,0.0,0.9791729053381462,1.0,0.0208270946618538,600.4853893716681,600.4853893716681,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.713393546987554,0.7260853444024304,0.5577819620540397,1.713393546987554,0.7260853444024304,0.5577819620540397,True,False,False,False,0,,,,,,,,,,,,,,Monotonic nonlinear
HW_T,HW,LPJ-GUESS,P,T,Equal-width bins,12538,10,0.9407108622267476,5.0308302065994735e-05,0.9393939393939392,5.484052998513666e-05,0.8666666666666666,0.0001151895943562,0.9407108622267476,0.9393939393939392,-0.0013169228328083,534.2467800000002,534.2467800000002,0.9758719347275928,0.9758719347275928,0.8888888888888888,0.1111111111111111,0.0,positive,0.8888888888888888,2,1.6728435829982218,1.5626026755167697,0.0650685886967509,1.6728435829982218,1.5626026755167697,0.0650685886967509,True,False,True,True,2,0.9078965993763336,0.9500835376496336,valley,3228.6365885416667,1.4674932742517648,,4.6358576833881766e-05,,,,,,,Non-monotonic: U-shaped / inverted-U
HW_T,HW,LPJ-GUESS,P,T,Equal-count bins,12538,10,0.9617727945322926,8.920829581279015e-06,1.0,6.646897422032013e-64,1.0,5.511463844797178e-07,0.9617727945322926,1.0,0.0382272054677073,493.10777500000006,493.10777500000006,1.0,1.0,1.0,0.0,0.0,positive,1.0,0,1.6673089359126243,0.9480284326200876,0.1886875979071083,1.6673089359126243,0.9480284326200876,0.1886875979071083,True,False,False,False,0,,,,,,,,,,,,,,Monotonic nonlinear
HW_T,HW,LPJ-GUESS,P,T,LOWESS,12538,12288,0.9492194169690128,0.0,0.9985285607495994,0.0,0.986763645222932,0.0,0.9492194169690128,0.9985285607495994,0.0493091437805865,519.7819206309831,519.7819206309831,0.8936113484108102,0.8936113484108102,0.9370879791649712,0.0543664035159111,0.0085456173191177,positive,0.9370879791649712,19,2.278431995877336,1.7200882833084283,0.006469898066923,2.278431995877336,1.7200882833084283,0.006469898066923,False,False,True,True,19,0.1267108815219188,0.0018382648973907,valley,487.09659213362073,-0.2309301245491533,1.4579207668909584,0.198172481854182,0.0,False,,,,,Non-monotonic: U-shaped / inverted-U
