analysis_group,zone,model,x_label,y_label,method,n_raw_points,n_curve_points,tightness_n_raw,tightness_n_predicted,tightness_prediction_fraction,r_squared,rmse,normalized_rmse_raw_y_range,normalized_rmse_raw_y_std,residual_variance,residual_standard_deviation,mean_absolute_residual,median_absolute_residual,residual_iqr,residual_90_interval_width,residual_95_interval_width,mean_buffer_width,median_buffer_width,buffer_width_90,buffer_width_95,early_mean_absolute_residual,early_median_absolute_residual,early_rmse,early_residual_variance,early_buffer_width_90,early_buffer_width_95,middle_mean_absolute_residual,middle_median_absolute_residual,middle_rmse,middle_residual_variance,middle_buffer_width_90,middle_buffer_width_95,late_mean_absolute_residual,late_median_absolute_residual,late_rmse,late_residual_variance,late_buffer_width_90,late_buffer_width_95
HW_T,HW,CLASSIC,P,T,Equal-width bins,12340,10,12340,12294,0.9962722852512156,0.3080078348796964,109.42635283323864,0.176450231169905,0.8318268318211547,11782.263455394726,108.5461351472024,84.46867232047852,64.40336998421122,132.3270064039329,372.26760734734694,437.3951070261334,84.46867232047852,64.40336998421122,372.26760734734694,437.3951070261334,70.27496311091139,51.7415875923906,94.73037461327408,8829.865046662766,321.59292310482107,401.68367493240874,93.5201423071866,77.88402933563617,117.02955623603728,13487.440360883023,389.70546335763424,450.64145207531885,84.63042127839316,57.78119021798205,113.437527270502,12612.206497153787,400.4655343423125,452.369167274205
HW_T,HW,CLASSIC,P,T,Equal-count bins,12340,10,12340,11106,0.9,0.2718499945584433,109.47668841661356,0.1770064230256389,0.8532786425205916,11839.895403097718,108.81128343649716,84.86617309565932,66.04482716428325,134.7875387304835,371.48112252432304,435.5032821472606,84.86617309565932,66.04482716428325,371.48112252432304,435.5032821472606,78.00084156959362,58.76129406486422,103.07608523834296,10569.208023677516,357.87123514887236,439.521249028452,99.15075002579748,89.37342780874047,121.546600712934,14420.386000430046,388.6366989490682,451.83415477822314,77.6564590877928,55.772127928605585,103.21199616808644,10482.185744648044,367.8102741671021,422.831896327628
HW_T,HW,CLASSIC,P,T,LOWESS,12340,12149,12340,12340,1.0,0.3187934454327386,108.74096852194435,0.1753450474820925,0.8253189392246516,11790.220091592371,108.58277990359416,84.43206201111974,65.48330767443224,132.31512559015775,371.7167695003304,435.5813806790527,84.43206201111974,65.48330767443224,371.7167695003304,435.5813806790527,71.27511441105602,52.29602753900608,96.36562314598235,9227.305308475336,333.9065972377586,412.31817681254535,93.98581066087222,80.01511414744951,116.26422180905212,13496.353495447009,388.1185608988628,445.4202409640111,90.3924595282038,66.3581636517157,117.6767699897926,13846.020350069228,417.472278566971,459.1941888011111
HW_T,HW,CLASSIC,P,T,Polynomial degree 3,12340,300,12340,12340,1.0,0.2827193256541264,111.58308198122144,0.1799279615966184,0.8468899266569854,12451.79324371327,111.5876034499947,87.7767997688682,70.64233977099786,140.0324685612244,377.75842430228386,443.5173277593578,87.7767997688682,70.64233977099786,377.75842430228386,443.5173277593578,76.83958849093091,60.91818733373725,100.92073682344716,10112.275717856472,347.66993056940515,421.9040109685591,94.71329528417496,79.60901933961466,117.33126960349756,13687.613112150022,389.9460621392657,450.9557136933454,98.571460074866,78.8919393066945,124.05924476306171,15261.850695328198,422.4229242907559,484.6916088558253
HW_T,HW,CLASSIC,P,T,GAM,12340,300,12340,12340,1.0,0.3206345080286821,108.59392473732753,0.1751079390606204,0.8242029107214197,11793.596208744724,108.59832507338557,84.91487303449182,66.56137022367787,132.154101859204,371.1403524731189,435.97141146263505,84.91487303449182,66.56137022367787,371.1403524731189,435.97141146263505,71.87143664338704,53.54361794251636,96.07607845347316,9232.399125006374,330.2216155494812,413.6958427708359,94.3708413110327,81.04393117823534,116.23329647630212,13512.34075469624,389.65948296423454,447.1816658976022,90.91303880287867,68.33053070135804,117.40099256464312,13794.017107683718,414.082365779003,460.11279934157807
HW_T,HW,CLASSIC,P,T,Piecewise linear,12340,300,12340,12340,1.0,0.2775038444417177,111.98801789629007,0.1805809216375306,0.8499632971117553,12542.332548504432,111.99255577271389,87.7510374602157,70.34734223655661,139.5698225468256,380.6785110290401,442.9536912961737,87.7510374602157,70.34734223655661,380.6785110290401,442.9536912961737,79.14661268644124,62.44413363646851,104.58327020850729,10874.621805108143,360.73664502808714,432.7392302528976,94.12147544760818,79.36552278769591,116.65500174380936,13566.201058317964,389.1816871089612,446.04161956460865,90.93783001448804,68.20326977655196,117.61610711291796,13845.498575711952,419.1332023321435,458.5967593757746
HW_T,HW,CLASSIC,P,T,Symbolic regression,12340,300,12340,12340,1.0,0.1647724479235933,120.40823597232917,0.1941585415394049,0.9138708155476832,14244.787465728175,119.35152896267468,90.9410636355864,69.50943744215411,143.6152903408704,393.67148355669246,466.0498117727343,90.9410636355864,69.50943744215411,393.67148355669246,466.0498117727343,82.1958408984525,55.746993186295185,117.716614210312,13642.911503441668,401.81659782335896,488.5698139016109,95.11183715615395,79.03150711847877,120.34068331656492,13639.81828870237,389.19843574783386,449.3217146059947,107.56195061300537,93.59117625156648,132.61316909782462,14635.888809757986,413.01187949165575,481.4671335279226
HW_T,HW,LPJ-GUESS,P,T,Equal-width bins,12538,10,12538,12489,0.9960918806827244,0.456866919710752,153.91057171203624,0.1529701677198566,0.7369461251493071,23624.04818070284,153.70116518980214,119.97704044451714,99.3273444481755,197.87403077078716,511.0750233630516,604.542571634829,119.97704044451714,99.3273444481755,511.0750233630516,604.542571634829,103.40838600204322,86.74264574280394,131.25141888057857,17076.89206123178,432.1996292000267,511.7495631360682,127.29024857608438,106.01320558729152,161.03172710424485,25690.67834117207,540.6862736590887,617.4152660396718,131.9627675333331,105.49537565707982,176.04689486935533,30119.760834129836,578.0788556655923,675.8627968448636
HW_T,HW,LPJ-GUESS,P,T,Equal-count bins,12538,10,12538,11285,0.9000638060296698,0.4062138978424653,153.12932284268174,0.1523382243501026,0.7705410338644577,23364.481222274575,152.85444456172866,119.77371422715754,99.78304712992986,199.4165497549427,509.47264973684435,604.7381449717076,119.77371422715754,99.78304712992986,509.47264973684435,604.7381449717076,111.19682793975618,94.26035067039231,139.34216422943106,19401.50033428807,471.795418998542,549.0682015481843,129.76063753638735,107.25781503756536,166.57368170425437,27027.78500776767,550.0281125289098,642.0851814493292,127.24334260681395,103.43008409900636,166.87716109075834,27581.95282632595,566.60674553379,666.9242957710312
HW_T,HW,LPJ-GUESS,P,T,LOWESS,12538,12288,12538,12538,1.0,0.4617779909509522,153.4405321906179,0.1525030001716725,0.7336068986774864,23451.83206443355,153.13991009672674,120.01385796146256,99.0233585562745,197.8019301851017,509.5634209482832,600.7415787251747,120.01385796146256,99.0233585562745,509.5634209482832,600.7415787251747,105.50928259347413,88.47744557300393,133.13167562950665,17727.539425852243,444.95442883130863,527.1427721096422,128.5724382653217,107.30133295794236,163.0467444555916,26384.6265697377,545.1069320836447,628.9458398406741,136.39525953795606,109.1432891965518,179.88927833327148,31688.926662588863,592.4112798929809,671.3268422502764
