property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Turning point,No turning point,Turning point,standardized late slope,0.9634375606275788,-1.625429231242759,2.5888667918703376,-1.7180729987481917,0.15696111592206255,-2.1808606977756404,-1.283903877755423,-2.0249629068324926,-1.4262190435883524,0.5987438632441402,0.8969568200202174,4.323830189829798,16.49368237899005,True,True,1.9901229286261974
Turning point,No turning point,Turning point,raw late slope,0.7785816347990111,-0.6615835541412934,1.4401651889403047,-0.6923085199297043,0.0475186658880093,-0.8560105277976525,-0.5502293666818887,-0.7835367514790285,-0.6008017744887959,0.18273497699023256,0.3057811611157638,7.881168743175444,30.30735737266797,True,True,1.257430211950072
Turning point,No turning point,Turning point,spearman rho,0.9899194419580852,0.09775610358344393,0.8921633383746413,0.10789463872341738,0.025246306593142243,0.02102945564163503,0.18115579698961903,0.05848061154150848,0.1555481136249061,0.09706750208339761,0.160126341347984,9.191164078870807,35.33837058831343,True,True,0.7950958362912437
Turning point,No turning point,Turning point,standardized overall slope,0.933896471002854,0.11911898132442962,0.8147774896784243,0.10801280106327142,0.023039328673215797,0.03075049083921801,0.18985389618250395,0.06304105470560842,0.15181778853745712,0.0887767338318487,0.15910340534328593,9.177826830413562,35.36463675808566,True,True,0.7260007558465756
Turning point,No turning point,Turning point,pearson r,0.9897391087114306,0.1575885570769353,0.8321505516344953,0.13948423618155142,0.02911741489697758,0.04094486004919787,0.22519697688073909,0.08264840505212624,0.1961786744106575,0.11353026935853126,0.18425211683154122,7.329768143212488,28.579135702080247,True,True,0.718620282275964
Turning point,No turning point,Turning point,raw overall slope,0.7547086296415411,0.04848390659866109,0.70622472304288,0.04357535040656862,0.009124433180000823,0.012791617430755969,0.06991469033766248,0.02522630503644463,0.06122160890325081,0.03599530386680618,0.05712307290690651,19.61991279907321,77.3992980288137,True,True,0.6702294191760738
Turning point,No turning point,Turning point,standardized early slope,0.9607988003197111,2.1322117390320483,1.1714129387123373,1.9426188279396033,0.15137720774605087,1.482798924851144,2.4675992404261837,1.62887744368439,2.251947956922705,0.623070513238315,0.9848003155750398,1.8800647981624028,7.7383706315781025,True,True,0.5483424254740223
Turning point,No turning point,Turning point,raw middle slope,0.7286638100702786,0.04477984772124937,0.6838839623490293,0.04374772050951073,0.045603221674108595,-0.09570284193542496,0.18228828567958288,-0.04117328844386396,0.132314185096134,0.17348747353999794,0.2779911276150078,3.941978912911878,14.996395808090616,True,True,0.5103964888090313
Turning point,No turning point,Turning point,MIC-r2,0.020416496687103214,0.7257733507748483,0.7053568540877451,0.7974681616505586,0.052415914995841195,0.6445418270489293,0.9703137455379296,0.6943706498330406,0.8989217262879855,0.20455107645494486,0.32577191848900033,3.448316510048332,13.456921512172586,True,True,0.5008057776328002
Turning point,No turning point,Turning point,buffer width mean,0.629148286041125,1.493544350124226,0.864396064083101,1.573054119195502,0.09478444765723278,1.3156762460806044,1.8991601100687987,1.3954522336651083,1.7596092622182788,0.36415702855317056,0.5834838639881943,2.3736904585294596,9.119598050610584,True,True,0.5002390355299304
