model,year,climate_zone,input_var,output_var,hsic,n_samples
CLASSIC,1993,CD,lai,evapotrans,0.004755147320390436,13313
CLASSIC,1993,CD,precipitation,tran,0.001191875569131103,13313
CLASSIC,1993,CD,lai,tran,0.014064069738161423,13313
CLASSIC,1993,CD,precipitation,evspsblveg,0.0005070211171665972,13313
CLASSIC,1993,CD,lai,evspsblveg,0.0110541309777044,13313
CLASSIC,1993,CD,precipitation,evspsblsoi,0.01709521396934421,13313
CLASSIC,1993,CD,lai,evspsblsoi,0.0043664730318313605,13313
CLASSIC,1994,HW,precipitation,evapotrans,0.011188945964617437,13255
CLASSIC,1994,HW,lai,evapotrans,0.0008487499153376557,13255
CLASSIC,1994,HW,precipitation,tran,0.0030291093939603135,13255
CLASSIC,1994,HW,lai,tran,0.0015016352814996895,13255
CLASSIC,1994,HW,precipitation,evspsblveg,0.007425265443932279,13255
CLASSIC,1994,HW,lai,evspsblveg,0.0021595689570748835,13255
CLASSIC,1994,HW,precipitation,evspsblsoi,0.000692945263747293,13255
CLASSIC,1994,HW,lai,evspsblsoi,0.0022452555739845294,13255
CLASSIC,1994,HD,precipitation,evapotrans,0.056206371291211595,11822
CLASSIC,1994,HD,lai,evapotrans,0.00039373424124746517,11822
CLASSIC,1994,HD,precipitation,tran,0.010778528641182795,11822
CLASSIC,1994,HD,lai,tran,0.011851957378103684,11822
CLASSIC,1994,HD,precipitation,evspsblveg,0.0023389366916937225,11822
CLASSIC,1994,HD,lai,evspsblveg,0.021872430049917457,11822
CLASSIC,1994,HD,precipitation,evspsblsoi,0.027477447501334275,11822
CLASSIC,1994,HD,lai,evspsblsoi,0.0003871231384916465,11822
CLASSIC,1994,CW,precipitation,evapotrans,0.014595834724830541,22366
CLASSIC,1994,CW,lai,evapotrans,0.000750016491259135,22366
CLASSIC,1994,CW,precipitation,tran,0.00419406453450943,22366
CLASSIC,1994,CW,lai,tran,0.003543504570462068,22366
CLASSIC,1994,CW,precipitation,evspsblveg,0.0038567657707578563,22366
CLASSIC,1994,CW,lai,evspsblveg,0.004770440994147701,22366
CLASSIC,1994,CW,precipitation,evspsblsoi,0.0007001360890915988,22366
CLASSIC,1994,CW,lai,evspsblsoi,0.0007918037000584552,22366
CLASSIC,1994,CD,precipitation,evapotrans,0.02638833717762297,13314
CLASSIC,1994,CD,lai,evapotrans,0.004941319094584627,13314
CLASSIC,1994,CD,precipitation,tran,0.0015339163051654226,13314
CLASSIC,1994,CD,lai,tran,0.017894519300294655,13314
CLASSIC,1994,CD,precipitation,evspsblveg,0.0004818105930034689,13314
CLASSIC,1994,CD,lai,evspsblveg,0.011073219990251768,13314
CLASSIC,1994,CD,precipitation,evspsblsoi,0.022073306713192718,13314
CLASSIC,1994,CD,lai,evspsblsoi,0.004384308565127942,13314
CLASSIC,1995,HW,precipitation,evapotrans,0.013413236146951687,13260
CLASSIC,1995,HW,lai,evapotrans,0.0007760224763007067,13260
CLASSIC,1995,HW,precipitation,tran,0.003514326437864384,13260
CLASSIC,1995,HW,lai,tran,0.001387536811831893,13260
CLASSIC,1995,HW,precipitation,evspsblveg,0.007429586890271829,13260
CLASSIC,1995,HW,lai,evspsblveg,0.0022044136808509547,13260
CLASSIC,1995,HW,precipitation,evspsblsoi,0.0006026192332512251,13260
CLASSIC,1995,HW,lai,evspsblsoi,0.002195082150188199,13260
CLASSIC,1995,HD,precipitation,evapotrans,0.04053078085109638,11831
CLASSIC,1995,HD,lai,evapotrans,0.00040334800304411557,11831
CLASSIC,1995,HD,precipitation,tran,0.005624738857534406,11831
CLASSIC,1995,HD,lai,tran,0.010912099814568667,11831
CLASSIC,1995,HD,precipitation,evspsblveg,0.0011979936974714001,11831
CLASSIC,1995,HD,lai,evspsblveg,0.020684505341588767,11831
CLASSIC,1995,HD,precipitation,evspsblsoi,0.0211585423439737,11831
CLASSIC,1995,HD,lai,evspsblsoi,0.0003952327687226336,11831
CLASSIC,1995,CW,precipitation,evapotrans,0.01122053702751824,22400
CLASSIC,1995,CW,lai,evapotrans,0.0007920334073397859,22400
CLASSIC,1995,CW,precipitation,tran,0.00471020580921471,22400
CLASSIC,1995,CW,lai,tran,0.00325679632094497,22400
CLASSIC,1995,CW,precipitation,evspsblveg,0.0032239385509984873,22400
CLASSIC,1995,CW,lai,evspsblveg,0.004986055599608033,22400
CLASSIC,1995,CW,precipitation,evspsblsoi,0.0006430626804180516,22400
CLASSIC,1995,CW,lai,evspsblsoi,0.0007427612995106074,22400
CLASSIC,1995,CD,precipitation,evapotrans,0.021960404372051337,13440
CLASSIC,1995,CD,lai,evapotrans,0.005565397151479164,13440
CLASSIC,1995,CD,precipitation,tran,0.002373275084669282,13440
CLASSIC,1995,CD,lai,tran,0.01835801946772186,13440
CLASSIC,1995,CD,precipitation,evspsblveg,0.0008037836256757021,13440
CLASSIC,1995,CD,lai,evspsblveg,0.012714238424356933,13440
CLASSIC,1995,CD,precipitation,evspsblsoi,0.015466918446646999,13440
CLASSIC,1995,CD,lai,evspsblsoi,0.004971012300418903,13440
CLASSIC,1996,HW,precipitation,evapotrans,0.011654510917202194,13255
CLASSIC,1996,HW,lai,evapotrans,0.0007443637553206361,13255
CLASSIC,1996,HW,precipitation,tran,0.0044204770949424444,13255
CLASSIC,1996,HW,lai,tran,0.001427657864333827,13255
CLASSIC,1996,HW,precipitation,evspsblveg,0.006559355748825976,13255
CLASSIC,1996,HW,lai,evspsblveg,0.002216065396623515,13255
CLASSIC,1996,HW,precipitation,evspsblsoi,0.0009853255548941263,13255
CLASSIC,1996,HW,lai,evspsblsoi,0.0021537322564325278,13255
CLASSIC,1996,HD,precipitation,evapotrans,0.05096396098526348,11826
CLASSIC,1996,HD,lai,evapotrans,0.0003900539758492088,11826
CLASSIC,1996,HD,precipitation,tran,0.00921921714631238,11826
CLASSIC,1996,HD,lai,tran,0.011540257432318705,11826
CLASSIC,1996,HD,precipitation,evspsblveg,0.0017124127599307812,11826
CLASSIC,1996,HD,lai,evspsblveg,0.02289814929412308,11826
CLASSIC,1996,HD,precipitation,evspsblsoi,0.023093572671991712,11826
CLASSIC,1996,HD,lai,evspsblsoi,0.00038565676119611326,11826
CLASSIC,1996,CW,precipitation,evapotrans,0.014547016833398353,22457
CLASSIC,1996,CW,lai,evapotrans,0.0007355623992098049,22457
CLASSIC,1996,CW,precipitation,tran,0.005001758928078034,22457
CLASSIC,1996,CW,lai,tran,0.00458083663465977,22457
CLASSIC,1996,CW,precipitation,evspsblveg,0.00493513180787677,22457
CLASSIC,1996,CW,lai,evspsblveg,0.004550584801162084,22457
CLASSIC,1996,CW,precipitation,evspsblsoi,0.0010764443887290524,22457
CLASSIC,1996,CW,lai,evspsblsoi,0.0006036169039113035,22457
CLASSIC,1996,CD,precipitation,evapotrans,0.023605961130334877,13045
CLASSIC,1996,CD,lai,evapotrans,0.003591104299664553,13045
CLASSIC,1996,CD,precipitation,tran,0.0019045620894876816,13045
CLASSIC,1996,CD,lai,tran,0.013187667203663368,13045
CLASSIC,1996,CD,precipitation,evspsblveg,0.0006815962168062187,13045
CLASSIC,1996,CD,lai,evspsblveg,0.010220926150035427,13045
CLASSIC,1996,CD,precipitation,evspsblsoi,0.015313495579510011,13045
CLASSIC,1996,CD,lai,evspsblsoi,0.0035224529571456107,13045
CLASSIC,1997,HW,precipitation,evapotrans,0.010959225024816024,13273
CLASSIC,1997,HW,lai,evapotrans,0.0007064864497150885,13273
CLASSIC,1997,HW,precipitation,tran,0.004270539105001142,13273
CLASSIC,1997,HW,lai,tran,0.001393564804241832,13273
CLASSIC,1997,HW,precipitation,evspsblveg,0.007224367938053567,13273
CLASSIC,1997,HW,lai,evspsblveg,0.0019464387863091836,13273
CLASSIC,1997,HW,precipitation,evspsblsoi,0.0013309705380818288,13273
CLASSIC,1997,HW,lai,evspsblsoi,0.002273560450024988,13273
CLASSIC,1997,HD,precipitation,evapotrans,0.04314657967482922,11823
CLASSIC,1997,HD,lai,evapotrans,0.0004160116826739621,11823
CLASSIC,1997,HD,precipitation,tran,0.0076383815037401655,11823
CLASSIC,1997,HD,lai,tran,0.012195141889641211,11823
CLASSIC,1997,HD,precipitation,evspsblveg,0.0010768105578914805,11823
CLASSIC,1997,HD,lai,evspsblveg,0.02244186764019935,11823
CLASSIC,1997,HD,precipitation,evspsblsoi,0.01941974271233486,11823
CLASSIC,1997,HD,lai,evspsblsoi,0.0004187612649694544,11823
CLASSIC,1997,CW,precipitation,evapotrans,0.013013185373044843,22370
CLASSIC,1997,CW,lai,evapotrans,0.0006819848398584465,22370
CLASSIC,1997,CW,precipitation,tran,0.004910109941493381,22370
CLASSIC,1997,CW,lai,tran,0.0032945714179025455,22370
CLASSIC,1997,CW,precipitation,evspsblveg,0.004297301002451068,22370
CLASSIC,1997,CW,lai,evspsblveg,0.004877138295307379,22370
CLASSIC,1997,CW,precipitation,evspsblsoi,0.0010744960756656915,22370
CLASSIC,1997,CW,lai,evspsblsoi,0.0008079426968429857,22370
CLASSIC,1997,CD,precipitation,evapotrans,0.019280960981523685,13399
CLASSIC,1997,CD,lai,evapotrans,0.004984670869701746,13399
CLASSIC,1997,CD,precipitation,tran,0.0008288532811441597,13399
CLASSIC,1997,CD,lai,tran,0.015740408238839806,13399
CLASSIC,1997,CD,precipitation,evspsblveg,0.0005380354941380053,13399
CLASSIC,1997,CD,lai,evspsblveg,0.011147943029092732,13399
CLASSIC,1997,CD,precipitation,evspsblsoi,0.013373687788700045,13399
CLASSIC,1997,CD,lai,evspsblsoi,0.004033128632560199,13399
CLASSIC,1998,HW,precipitation,evapotrans,0.011592536129467975,13255
CLASSIC,1998,HW,lai,evapotrans,0.0008758699760762079,13255
CLASSIC,1998,HW,precipitation,tran,0.003933500106428418,13255
CLASSIC,1998,HW,lai,tran,0.0014871495226047532,13255
CLASSIC,1998,HW,precipitation,evspsblveg,0.007087027661337392,13255
CLASSIC,1998,HW,lai,evspsblveg,0.002284646081287918,13255
CLASSIC,1998,HW,precipitation,evspsblsoi,0.0009566075373167153,13255
CLASSIC,1998,HW,lai,evspsblsoi,0.0022766575168798905,13255
CLASSIC,1998,HD,precipitation,evapotrans,0.04460566803716954,11823
CLASSIC,1998,HD,lai,evapotrans,0.00040295730694621797,11823
CLASSIC,1998,HD,precipitation,tran,0.006230530602501673,11823
CLASSIC,1998,HD,lai,tran,0.01115097195154634,11823
CLASSIC,1998,HD,precipitation,evspsblveg,0.001137017041298383,11823
CLASSIC,1998,HD,lai,evspsblveg,0.02274034174758658,11823
CLASSIC,1998,HD,precipitation,evspsblsoi,0.022062922187154946,11823
CLASSIC,1998,HD,lai,evspsblsoi,0.000407788032792699,11823
CLASSIC,1998,CW,precipitation,evapotrans,0.014071712164908833,22463
CLASSIC,1998,CW,lai,evapotrans,0.0006846150208782863,22463
CLASSIC,1998,CW,precipitation,tran,0.0047817077381063795,22463
CLASSIC,1998,CW,lai,tran,0.004084458859580001,22463
CLASSIC,1998,CW,precipitation,evspsblveg,0.004058576166281494,22463
CLASSIC,1998,CW,lai,evspsblveg,0.004864769449705203,22463
CLASSIC,1998,CW,precipitation,evspsblsoi,0.0004734041284417377,22463
CLASSIC,1998,CW,lai,evspsblsoi,0.0007774713729755029,22463
CLASSIC,1998,CD,precipitation,evapotrans,0.022014306347894003,13384
CLASSIC,1998,CD,lai,evapotrans,0.004514728013938968,13384
CLASSIC,1998,CD,precipitation,tran,0.0010926004176525861,13384
CLASSIC,1998,CD,lai,tran,0.014736573968786209,13384
CLASSIC,1998,CD,precipitation,evspsblveg,0.0007339312257166333,13384
CLASSIC,1998,CD,lai,evspsblveg,0.011188835751609423,13384
CLASSIC,1998,CD,precipitation,evspsblsoi,0.017289234354512385,13384
CLASSIC,1998,CD,lai,evspsblsoi,0.003913466311764363,13384
CLASSIC,1999,HW,precipitation,evapotrans,0.010666368488931094,13252
CLASSIC,1999,HW,lai,evapotrans,0.0009312274065614933,13252
CLASSIC,1999,HW,precipitation,tran,0.002658541734368805,13252
CLASSIC,1999,HW,lai,tran,0.0014682451599332361,13252
CLASSIC,1999,HW,precipitation,evspsblveg,0.006572526426747043,13252
CLASSIC,1999,HW,lai,evspsblveg,0.002112965719034128,13252
CLASSIC,1999,HW,precipitation,evspsblsoi,0.0006258836166270561,13252
CLASSIC,1999,HW,lai,evspsblsoi,0.002468818833554469,13252
CLASSIC,1999,HD,precipitation,evapotrans,0.04492895197042027,11832
CLASSIC,1999,HD,lai,evapotrans,0.0003982474396437735,11832
CLASSIC,1999,HD,precipitation,tran,0.006632080074601984,11832
CLASSIC,1999,HD,lai,tran,0.012068240438344717,11832
CLASSIC,1999,HD,precipitation,evspsblveg,0.0012027857137585334,11832
CLASSIC,1999,HD,lai,evspsblveg,0.02066197961473935,11832
CLASSIC,1999,HD,precipitation,evspsblsoi,0.0209616663316417,11832
CLASSIC,1999,HD,lai,evspsblsoi,0.0003755592680969766,11832
CLASSIC,1999,CW,precipitation,evapotrans,0.0161329826124135,22423
CLASSIC,1999,CW,lai,evapotrans,0.0007245840818801953,22423
CLASSIC,1999,CW,precipitation,tran,0.005363374693182421,22423
CLASSIC,1999,CW,lai,tran,0.004534045177283266,22423
CLASSIC,1999,CW,precipitation,evspsblveg,0.004527570916064588,22423
CLASSIC,1999,CW,lai,evspsblveg,0.00465335405214605,22423
CLASSIC,1999,CW,precipitation,evspsblsoi,0.0008067374992106719,22423
CLASSIC,1999,CW,lai,evspsblsoi,0.0006999969950896969,22423
CLASSIC,1999,CD,precipitation,evapotrans,0.025533841064521584,12999
CLASSIC,1999,CD,lai,evapotrans,0.003478777808776674,12999
CLASSIC,1999,CD,precipitation,tran,0.0017601354945215818,12999
CLASSIC,1999,CD,lai,tran,0.012673981504874315,12999
CLASSIC,1999,CD,precipitation,evspsblveg,0.0006585073563549277,12999
CLASSIC,1999,CD,lai,evspsblveg,0.009318684158854404,12999
CLASSIC,1999,CD,precipitation,evspsblsoi,0.01750320003578269,12999
CLASSIC,1999,CD,lai,evspsblsoi,0.0037997358296928897,12999
CLASSIC,2000,HW,precipitation,evapotrans,0.011547004376729737,13229
CLASSIC,2000,HW,lai,evapotrans,0.0008560404690458927,13229
CLASSIC,2000,HW,precipitation,tran,0.0037029458119133205,13229
CLASSIC,2000,HW,lai,tran,0.0013662850381982224,13229
CLASSIC,2000,HW,precipitation,evspsblveg,0.006371052903646248,13229
CLASSIC,2000,HW,lai,evspsblveg,0.0020217526338691923,13229
CLASSIC,2000,HW,precipitation,evspsblsoi,0.0005126579748895192,13229
CLASSIC,2000,HW,lai,evspsblsoi,0.0024135831527423543,13229
CLASSIC,2000,HD,precipitation,evapotrans,0.051108325838738075,11830
CLASSIC,2000,HD,lai,evapotrans,0.00040894927495321864,11830
CLASSIC,2000,HD,precipitation,tran,0.0077837263110191205,11830
CLASSIC,2000,HD,lai,tran,0.01264709382462135,11830
CLASSIC,2000,HD,precipitation,evspsblveg,0.0013941430015024596,11830
CLASSIC,2000,HD,lai,evspsblveg,0.02428340210026857,11830
CLASSIC,2000,HD,precipitation,evspsblsoi,0.022988898116483542,11830
CLASSIC,2000,HD,lai,evspsblsoi,0.00039499108177442173,11830
CLASSIC,2000,CW,precipitation,evapotrans,0.014003501922317273,22356
CLASSIC,2000,CW,lai,evapotrans,0.0006700118945862693,22356
CLASSIC,2000,CW,precipitation,tran,0.00581951562958688,22356
CLASSIC,2000,CW,lai,tran,0.003362323246915864,22356
CLASSIC,2000,CW,precipitation,evspsblveg,0.005049270263800283,22356
CLASSIC,2000,CW,lai,evspsblveg,0.004488911055481273,22356
CLASSIC,2000,CW,precipitation,evspsblsoi,0.0005180241761063241,22356
CLASSIC,2000,CW,lai,evspsblsoi,0.0009413174678222528,22356
CLASSIC,2000,CD,precipitation,evapotrans,0.024251071254526954,13548
CLASSIC,2000,CD,lai,evapotrans,0.005426828283186136,13548
CLASSIC,2000,CD,precipitation,tran,0.00136537615331342,13548
CLASSIC,2000,CD,lai,tran,0.015542584397357156,13548
CLASSIC,2000,CD,precipitation,evspsblveg,0.0006428373549610067,13548
CLASSIC,2000,CD,lai,evspsblveg,0.0127535069306777,13548
CLASSIC,2000,CD,precipitation,evspsblsoi,0.017073336743756284,13548
CLASSIC,2000,CD,lai,evspsblsoi,0.006140472987193299,13548
CLASSIC,2001,HW,precipitation,evapotrans,0.013521097271125432,13234
CLASSIC,2001,HW,lai,evapotrans,0.0007344227826461911,13234
CLASSIC,2001,HW,precipitation,tran,0.0038025343903982244,13234
CLASSIC,2001,HW,lai,tran,0.0013357977414381653,13234
CLASSIC,2001,HW,precipitation,evspsblveg,0.009689851572342381,13234
CLASSIC,2001,HW,lai,evspsblveg,0.001996594389945348,13234
CLASSIC,2001,HW,precipitation,evspsblsoi,0.0007856911659327284,13234
CLASSIC,2001,HW,lai,evspsblsoi,0.00222550177423788,13234
CLASSIC,2001,HD,precipitation,evapotrans,0.05058445749403848,11827
CLASSIC,2001,HD,lai,evapotrans,0.0003812261615862047,11827
CLASSIC,2001,HD,precipitation,tran,0.008800118645103022,11827
CLASSIC,2001,HD,lai,tran,0.01060395903606731,11827
CLASSIC,2001,HD,precipitation,evspsblveg,0.0013752226919025003,11827
CLASSIC,2001,HD,lai,evspsblveg,0.0219841619890299,11827
CLASSIC,2001,HD,precipitation,evspsblsoi,0.019652737105678265,11827
CLASSIC,2001,HD,lai,evspsblsoi,0.0003917021712825251,11827
CLASSIC,2001,CW,precipitation,evapotrans,0.011201561222715919,22313
CLASSIC,2001,CW,lai,evapotrans,0.0005418268628259254,22313
CLASSIC,2001,CW,precipitation,tran,0.00465963290978761,22313
CLASSIC,2001,CW,lai,tran,0.0036575919517377407,22313
CLASSIC,2001,CW,precipitation,evspsblveg,0.004392442506280181,22313
CLASSIC,2001,CW,lai,evspsblveg,0.004023358475786088,22313
CLASSIC,2001,CW,precipitation,evspsblsoi,0.0003529975727339075,22313
CLASSIC,2001,CW,lai,evspsblsoi,0.0006891688727316753,22313
CLASSIC,2001,CD,precipitation,evapotrans,0.02299131664316477,13167
CLASSIC,2001,CD,lai,evapotrans,0.004590410470596774,13167
CLASSIC,2001,CD,precipitation,tran,0.0016142614157927332,13167
CLASSIC,2001,CD,lai,tran,0.014712834384727693,13167
CLASSIC,2001,CD,precipitation,evspsblveg,0.000683785358998961,13167
CLASSIC,2001,CD,lai,evspsblveg,0.01041235236076525,13167
CLASSIC,2001,CD,precipitation,evspsblsoi,0.016105505216165786,13167
CLASSIC,2001,CD,lai,evspsblsoi,0.004883096549265512,13167
CLASSIC,2002,HW,precipitation,evapotrans,0.0109813422172928,13266
CLASSIC,2002,HW,lai,evapotrans,0.0007330841337863247,13266
CLASSIC,2002,HW,precipitation,tran,0.0035068773917866667,13266
CLASSIC,2002,HW,lai,tran,0.0014515274148186692,13266
CLASSIC,2002,HW,precipitation,evspsblveg,0.007795018503110318,13266
CLASSIC,2002,HW,lai,evspsblveg,0.0022172348900989787,13266
CLASSIC,2002,HW,precipitation,evspsblsoi,0.0009597231333207052,13266
CLASSIC,2002,HW,lai,evspsblsoi,0.0022848712159155354,13266
CLASSIC,2002,HD,precipitation,evapotrans,0.05761394311788947,11825
