model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
LPJ-GUESS,1993,HW,lai,tran,0.41070714573638123,0.745565873012992,13276
LPJ-GUESS,1993,HW,precipitation,evspsblveg,0.36982045029630245,0.5945065286757153,13276
LPJ-GUESS,1993,HW,lai,evspsblveg,0.484691023099649,0.7366107243072925,13276
LPJ-GUESS,1993,HW,precipitation,evspsblsoi,0.15334945095453822,0.282390408273649,13276
LPJ-GUESS,1993,HW,lai,evspsblsoi,0.12109813160445337,0.21589869571688386,13276
LPJ-GUESS,1993,HD,precipitation,evapotrans,0.4709931702580227,0.6450359243436555,11874
LPJ-GUESS,1993,HD,lai,evapotrans,0.48876798067436245,0.8185208153626546,11874
LPJ-GUESS,1993,HD,precipitation,tran,0.4633196880188002,0.654386213102906,11874
LPJ-GUESS,1993,HD,lai,tran,0.5602870437260429,0.8650842261251559,11874
LPJ-GUESS,1993,HD,precipitation,evspsblveg,0.4452601372906835,0.6366260720732677,11874
LPJ-GUESS,1993,HD,lai,evspsblveg,0.5693852426042103,0.8229860504999464,11874
LPJ-GUESS,1993,HD,precipitation,evspsblsoi,0.24962016428907963,0.4021676253864227,11874
LPJ-GUESS,1993,HD,lai,evspsblsoi,0.21333811417186865,0.575692923848558,11874
LPJ-GUESS,1993,CW,precipitation,evapotrans,0.3241769685142412,0.5416481069042316,22450
LPJ-GUESS,1993,CW,lai,evapotrans,0.38547884187082404,0.8065033407572383,22450
LPJ-GUESS,1993,CW,precipitation,tran,0.30732963365497745,0.5043207126948775,22450
LPJ-GUESS,1993,CW,lai,tran,0.41701559020044543,0.8633853006681514,22450
LPJ-GUESS,1993,CW,precipitation,evspsblveg,0.2369850735559688,0.4845639364809898,22450
LPJ-GUESS,1993,CW,lai,evspsblveg,0.5193095768374165,0.8551893095768374,22450
LPJ-GUESS,1993,CW,precipitation,evspsblsoi,0.1474755670110342,0.4533184855233853,22450
LPJ-GUESS,1993,CW,lai,evspsblsoi,0.13734966592427617,0.39434298440979954,22450
LPJ-GUESS,1993,CD,precipitation,evapotrans,0.340849831416962,0.4610594795539034,10760
LPJ-GUESS,1993,CD,lai,evapotrans,0.5056691449814126,0.7355947955390335,10760
LPJ-GUESS,1993,CD,precipitation,tran,0.29456903259272066,0.4424721189591078,10760
LPJ-GUESS,1993,CD,lai,tran,0.5979553903345725,0.8768587360594795,10760
LPJ-GUESS,1993,CD,precipitation,evspsblveg,0.32625745655744787,0.44042750929368024,10760
LPJ-GUESS,1993,CD,lai,evspsblveg,0.6078066914498141,0.7577137546468401,10760
LPJ-GUESS,1993,CD,precipitation,evspsblsoi,0.10985130111524165,0.3176579925650557,10760
LPJ-GUESS,1993,CD,lai,evspsblsoi,0.18080855018587366,0.48215613382899625,10760
LPJ-GUESS,1994,HW,precipitation,evapotrans,0.34938809206980315,0.5376281096202458,13305
LPJ-GUESS,1994,HW,lai,evapotrans,0.43696739869743867,0.7176574224735452,13305
LPJ-GUESS,1994,HW,precipitation,tran,0.2484707796289029,0.4958755260333614,13305
LPJ-GUESS,1994,HW,lai,tran,0.4294916893741048,0.7375609119792783,13305
LPJ-GUESS,1994,HW,precipitation,evspsblveg,0.37837698497737443,0.6084760506760563,13305
LPJ-GUESS,1994,HW,lai,evspsblveg,0.49258403446166077,0.7574740011480068,13305
LPJ-GUESS,1994,HW,precipitation,evspsblsoi,0.1698564935085102,0.328006819148843,13305
LPJ-GUESS,1994,HW,lai,evspsblsoi,0.11033131355956874,0.22935966577361572,13305
LPJ-GUESS,1994,HD,precipitation,evapotrans,0.48045979423033314,0.6389593224848136,11875
LPJ-GUESS,1994,HD,lai,evapotrans,0.48655661881977674,0.7695289030657452,11875
LPJ-GUESS,1994,HD,precipitation,tran,0.45343770778687575,0.6116245908889872,11875
LPJ-GUESS,1994,HD,lai,tran,0.5685245791245792,0.8564256601098706,11875
LPJ-GUESS,1994,HD,precipitation,evspsblveg,0.46935971649549024,0.6616990023500199,11875
LPJ-GUESS,1994,HD,lai,evspsblveg,0.5546618465355307,0.8090236399078504,11875
LPJ-GUESS,1994,HD,precipitation,evspsblsoi,0.29196657266760884,0.45677700132684657,11875
LPJ-GUESS,1994,HD,lai,evspsblsoi,0.1996896060025311,0.49412978911926286,11875
LPJ-GUESS,1994,CW,precipitation,evapotrans,0.3004458314205021,0.5224028650994492,22368
LPJ-GUESS,1994,CW,lai,evapotrans,0.3652137041357377,0.7938620126267617,22368
LPJ-GUESS,1994,CW,precipitation,tran,0.2747021465305092,0.5330890911276919,22368
LPJ-GUESS,1994,CW,lai,tran,0.3924166464417205,0.8602036732019623,22368
LPJ-GUESS,1994,CW,precipitation,evspsblveg,0.2665062452795672,0.5191938936011148,22368
LPJ-GUESS,1994,CW,lai,evspsblveg,0.5608495884343366,0.8442438124455206,22368
LPJ-GUESS,1994,CW,precipitation,evspsblsoi,0.11498436483756408,0.3821024335166849,22368
LPJ-GUESS,1994,CW,lai,evspsblsoi,0.20937864528674016,0.35484378267567884,22368
LPJ-GUESS,1994,CD,precipitation,evapotrans,0.2608307421526316,0.46745620867649973,10748
LPJ-GUESS,1994,CD,lai,evapotrans,0.49020084690405596,0.7280517738292035,10748
LPJ-GUESS,1994,CD,precipitation,tran,0.23667993510276847,0.45065287498806733,10748
LPJ-GUESS,1994,CD,lai,tran,0.5915971319088211,0.8762567400316771,10748
LPJ-GUESS,1994,CD,precipitation,evspsblveg,0.26436778982985165,0.4700962779623217,10748
LPJ-GUESS,1994,CD,lai,evspsblveg,0.6044418431552436,0.7594045403796055,10748
LPJ-GUESS,1994,CD,precipitation,evspsblsoi,0.14617126135739206,0.34647457688200095,10748
LPJ-GUESS,1994,CD,lai,evspsblsoi,0.2021175600003462,0.4346305640422015,10748
LPJ-GUESS,1995,HW,precipitation,evapotrans,0.35836293989980617,0.6006149172570415,13296
LPJ-GUESS,1995,HW,lai,evapotrans,0.44592159392213776,0.7423434488748949,13296
LPJ-GUESS,1995,HW,precipitation,tran,0.2892489799524685,0.4835129339594474,13296
LPJ-GUESS,1995,HW,lai,tran,0.443561061460727,0.7667900572731468,13296
LPJ-GUESS,1995,HW,precipitation,evspsblveg,0.3887587086201213,0.6328551523212363,13296
LPJ-GUESS,1995,HW,lai,evspsblveg,0.48107728383818626,0.7508445074780814,13296
LPJ-GUESS,1995,HW,precipitation,evspsblsoi,0.14897605700644037,0.3916232367923419,13296
LPJ-GUESS,1995,HW,lai,evspsblsoi,0.13181894266351796,0.24066585688046832,13296
LPJ-GUESS,1995,HD,precipitation,evapotrans,0.4367607544121811,0.6150956118999463,11879
LPJ-GUESS,1995,HD,lai,evapotrans,0.5011820225432483,0.7834038110997451,11879
LPJ-GUESS,1995,HD,precipitation,tran,0.4371713417757407,0.6475057474332404,11879
LPJ-GUESS,1995,HD,lai,tran,0.5669693965215474,0.8464527844315705,11879
LPJ-GUESS,1995,HD,precipitation,evspsblveg,0.4216132302012111,0.6606666320867853,11879
LPJ-GUESS,1995,HD,lai,evspsblveg,0.5735781929064192,0.8148865964128191,11879
LPJ-GUESS,1995,HD,precipitation,evspsblsoi,0.24562560957669974,0.43305207418348257,11879
LPJ-GUESS,1995,HD,lai,evspsblsoi,0.24133387782474408,0.5338109750307747,11879
LPJ-GUESS,1995,CW,precipitation,evapotrans,0.23126061099578454,0.5083528964998262,22386
LPJ-GUESS,1995,CW,lai,evapotrans,0.35847928675775953,0.805197687238886,22386
LPJ-GUESS,1995,CW,precipitation,tran,0.20372296379196583,0.46254271642991157,22386
LPJ-GUESS,1995,CW,lai,tran,0.38744958209484637,0.8670620838400444,22386
LPJ-GUESS,1995,CW,precipitation,evspsblveg,0.20675128934217146,0.45808066425444477,22386
LPJ-GUESS,1995,CW,lai,evspsblveg,0.5132212101077185,0.8391457215790814,22386
LPJ-GUESS,1995,CW,precipitation,evspsblsoi,0.10449916065136089,0.40169209070286427,22386
LPJ-GUESS,1995,CW,lai,evspsblsoi,0.16409064773234017,0.3983895456896252,22386
LPJ-GUESS,1995,CD,precipitation,evapotrans,0.22866184065370668,0.42370871860209247,10734
LPJ-GUESS,1995,CD,lai,evapotrans,0.47890713699024595,0.7517432728249295,10734
LPJ-GUESS,1995,CD,precipitation,tran,0.19827004487573868,0.42162396384451056,10734
LPJ-GUESS,1995,CD,lai,tran,0.584998523447643,0.873117114416364,10734
LPJ-GUESS,1995,CD,precipitation,evspsblveg,0.23231463384556578,0.4158171599915071,10734
LPJ-GUESS,1995,CD,lai,evspsblveg,0.6016278416771854,0.7583598506494791,10734
LPJ-GUESS,1995,CD,precipitation,evspsblsoi,0.22616220143083088,0.4745017923240143,10734
LPJ-GUESS,1995,CD,lai,evspsblsoi,0.22431823686176822,0.4822342918852239,10734
LPJ-GUESS,1996,HW,precipitation,evapotrans,0.34319277169303153,0.572626941554714,13295
LPJ-GUESS,1996,HW,lai,evapotrans,0.43675317477597714,0.7502232452134473,13295
LPJ-GUESS,1996,HW,precipitation,tran,0.25980947047299763,0.44298099517315287,13295
LPJ-GUESS,1996,HW,lai,tran,0.41131537946030927,0.7105865453404101,13295
LPJ-GUESS,1996,HW,precipitation,evspsblveg,0.3789491908800251,0.6284775496469643,13295
LPJ-GUESS,1996,HW,lai,evspsblveg,0.4739999208250035,0.7559393971955085,13295
LPJ-GUESS,1996,HW,precipitation,evspsblsoi,0.16770038431086293,0.3391200830206392,13295
LPJ-GUESS,1996,HW,lai,evspsblsoi,0.1266625711499696,0.2246915709733152,13295
LPJ-GUESS,1996,HD,precipitation,evapotrans,0.47511021369576156,0.6400428447427368,11871
LPJ-GUESS,1996,HD,lai,evapotrans,0.5012994223141682,0.8065332373520395,11871
LPJ-GUESS,1996,HD,precipitation,tran,0.4801544644808126,0.6347592681936882,11871
LPJ-GUESS,1996,HD,lai,tran,0.5670919915062773,0.8615131604138428,11871
LPJ-GUESS,1996,HD,precipitation,evspsblveg,0.4644908197290845,0.6467803955708363,11871
LPJ-GUESS,1996,HD,lai,evspsblveg,0.5718532281560615,0.8290901177557736,11871
LPJ-GUESS,1996,HD,precipitation,evspsblsoi,0.25910164736429026,0.4530546812578655,11871
LPJ-GUESS,1996,HD,lai,evspsblsoi,0.2153863098797896,0.6011185905044889,11871
LPJ-GUESS,1996,CW,precipitation,evapotrans,0.2339114338893743,0.5256153276634683,22423
LPJ-GUESS,1996,CW,lai,evapotrans,0.37014943756575924,0.7676607013899591,22423
LPJ-GUESS,1996,CW,precipitation,tran,0.21312191550402232,0.4735401514459082,22423
LPJ-GUESS,1996,CW,lai,tran,0.3888586823226104,0.8571578260324344,22423
LPJ-GUESS,1996,CW,precipitation,evspsblveg,0.23093352358824,0.45927429976890843,22423
LPJ-GUESS,1996,CW,lai,evspsblveg,0.5253203917237552,0.8421800318120432,22423
LPJ-GUESS,1996,CW,precipitation,evspsblsoi,0.12649571734897064,0.3811567436936657,22423
LPJ-GUESS,1996,CW,lai,evspsblsoi,0.14125680895941922,0.4250762042167032,22423
LPJ-GUESS,1996,CD,precipitation,evapotrans,0.28672085987528434,0.44875171430535016,10685
LPJ-GUESS,1996,CD,lai,evapotrans,0.4737353160477851,0.7407803968827549,10685
LPJ-GUESS,1996,CD,precipitation,tran,0.25749940318848735,0.443471325520814,10685
LPJ-GUESS,1996,CD,lai,tran,0.5751859430609956,0.8613971046898317,10685
LPJ-GUESS,1996,CD,precipitation,evspsblveg,0.2740769181289645,0.4402197812780565,10685
LPJ-GUESS,1996,CD,lai,evspsblveg,0.6109586846391675,0.7855059394962383,10685
LPJ-GUESS,1996,CD,precipitation,evspsblsoi,0.14379521049459104,0.4044497782077503,10685
LPJ-GUESS,1996,CD,lai,evspsblsoi,0.1694358018495879,0.49780030493076466,10685
LPJ-GUESS,1997,HW,precipitation,evapotrans,0.3069033121176867,0.46463537900291585,13333
LPJ-GUESS,1997,HW,lai,evapotrans,0.4547167880247269,0.731513359048369,13333
LPJ-GUESS,1997,HW,precipitation,tran,0.26162828676868455,0.4461711430341981,13333
LPJ-GUESS,1997,HW,lai,tran,0.41927536372955465,0.7375873302379785,13333
LPJ-GUESS,1997,HW,precipitation,evspsblveg,0.3464628344890918,0.5507590088552813,13333
LPJ-GUESS,1997,HW,lai,evspsblveg,0.4904583886165046,0.7606180221971817,13333
LPJ-GUESS,1997,HW,precipitation,evspsblsoi,0.13955516573416796,0.28327533525669474,13333
LPJ-GUESS,1997,HW,lai,evspsblsoi,0.13261700838649343,0.25619690342333523,13333
LPJ-GUESS,1997,HD,precipitation,evapotrans,0.4969371144454193,0.655714816452897,11875
LPJ-GUESS,1997,HD,lai,evapotrans,0.513502215133794,0.8166025872762714,11875
LPJ-GUESS,1997,HD,precipitation,tran,0.46786089577845885,0.6594777532065458,11875
LPJ-GUESS,1997,HD,lai,tran,0.553267926609389,0.8581095162147794,11875
LPJ-GUESS,1997,HD,precipitation,evspsblveg,0.4768477621214286,0.6374729765590447,11875
LPJ-GUESS,1997,HD,lai,evspsblveg,0.582755626439837,0.8199710083289031,11875
LPJ-GUESS,1997,HD,precipitation,evspsblsoi,0.2755146168076067,0.47423900928792573,11875
LPJ-GUESS,1997,HD,lai,evspsblsoi,0.2135376435992673,0.541597235513025,11875
LPJ-GUESS,1997,CW,precipitation,evapotrans,0.24557640750670245,0.5357015192135836,22380
LPJ-GUESS,1997,CW,lai,evapotrans,0.3694146559428061,0.7809651474530831,22380
LPJ-GUESS,1997,CW,precipitation,tran,0.23029490616621984,0.4938337801608579,22380
LPJ-GUESS,1997,CW,lai,tran,0.394325290437891,0.8647006255585344,22380
LPJ-GUESS,1997,CW,precipitation,evspsblveg,0.2347184986595175,0.5037980339588919,22380
LPJ-GUESS,1997,CW,lai,evspsblveg,0.5341152815013405,0.8418230563002681,22380
LPJ-GUESS,1997,CW,precipitation,evspsblsoi,0.10770379882758302,0.38905272564789994,22380
LPJ-GUESS,1997,CW,lai,evspsblsoi,0.14166666666666664,0.4432082216264522,22380
LPJ-GUESS,1997,CD,precipitation,evapotrans,0.21316904885873264,0.4525879583560482,10708
