model,climate_zone,input_var,output_var,pawn_median_mean,pawn_median_std,pawn_median_min,pawn_median_max,pawn_max_mean,pawn_max_std,pawn_max_min,pawn_max_max,hsic_mean,hsic_std,hsic_min,hsic_max,n_samples_mean
CLASSIC,HW,precipitation,tran,0.2338,0.0237,0.1776,0.2707,0.4543,0.0327,0.372,0.5613,0.0036,0.0007,0.0021,0.005,13249.1
LPJ-GUESS,CD,lai,evapotrans,0.4895,0.0119,0.4634,0.511,0.7268,0.014,0.7046,0.7549,0.0011,0.0001,0.001,0.0012,10702.0
LPJ-GUESS,CD,lai,evspsblsoi,0.199,0.0255,0.1448,0.2441,0.4656,0.0282,0.3945,0.5148,0.0006,0.0001,0.0004,0.0008,10702.0
LPJ-GUESS,CD,lai,evspsblveg,0.6048,0.0067,0.5919,0.6154,0.7674,0.0118,0.7434,0.7885,0.0553,0.0017,0.0513,0.0585,10702.0
LPJ-GUESS,CD,lai,tran,0.5875,0.0123,0.5609,0.6099,0.8684,0.0055,0.8586,0.8773,0.0208,0.0014,0.0184,0.0244,10702.0
LPJ-GUESS,CD,precipitation,evapotrans,0.2482,0.0379,0.1764,0.3379,0.4748,0.0258,0.4294,0.5341,0.0153,0.0037,0.008,0.022,10702.0
LPJ-GUESS,CD,precipitation,evspsblsoi,0.1685,0.0302,0.1091,0.235,0.3925,0.038,0.3173,0.4824,0.0022,0.0005,0.0011,0.0033,10702.0
LPJ-GUESS,CD,precipitation,evspsblveg,0.2452,0.0358,0.1867,0.3243,0.4595,0.0234,0.413,0.5015,0.0001,0.0,0.0,0.0001,10702.0
LPJ-GUESS,CD,precipitation,tran,0.2224,0.0368,0.1418,0.2929,0.4478,0.023,0.4083,0.483,0.0103,0.0025,0.0051,0.0149,10702.0
LPJ-GUESS,CW,lai,evapotrans,0.3532,0.0082,0.336,0.3664,0.7857,0.011,0.7644,0.8051,0.0011,0.0001,0.001,0.0012,22374.9333
LPJ-GUESS,CW,lai,evspsblsoi,0.1555,0.0218,0.1031,0.2062,0.3487,0.0324,0.2969,0.4136,0.0004,0.0001,0.0002,0.0007,22374.9333
LPJ-GUESS,CW,lai,evspsblveg,0.5425,0.0082,0.5296,0.5608,0.8469,0.0048,0.8389,0.8598,0.0214,0.0011,0.0191,0.0237,22374.9333
LPJ-GUESS,CW,lai,tran,0.3738,0.0086,0.3591,0.3927,0.8614,0.0048,0.853,0.8705,0.0013,0.0001,0.0012,0.0016,22374.9333
LPJ-GUESS,CW,precipitation,evapotrans,0.2492,0.0366,0.1812,0.3282,0.5278,0.0269,0.469,0.5875,0.0181,0.0028,0.0133,0.0239,22374.9333
LPJ-GUESS,CW,precipitation,evspsblsoi,0.1263,0.0244,0.0859,0.186,0.4025,0.0319,0.3372,0.4541,0.0011,0.0003,0.0007,0.0017,22374.9333
LPJ-GUESS,CW,precipitation,evspsblveg,0.2278,0.0201,0.1821,0.2661,0.489,0.0335,0.4353,0.5525,0.0005,0.0001,0.0004,0.0007,22374.9333
LPJ-GUESS,CW,precipitation,tran,0.2202,0.0341,0.1552,0.2991,0.5001,0.029,0.4561,0.5519,0.0126,0.002,0.0076,0.0165,22374.9333
LPJ-GUESS,HD,lai,evapotrans,0.4994,0.0177,0.4616,0.5287,0.7962,0.0114,0.7685,0.8152,0.0007,0.0,0.0006,0.0008,11876.4
LPJ-GUESS,HD,lai,evspsblsoi,0.2144,0.0195,0.168,0.2482,0.5633,0.037,0.4867,0.6148,0.001,0.0001,0.0008,0.0013,11876.4
LPJ-GUESS,HD,lai,evspsblveg,0.5658,0.0122,0.5303,0.5834,0.8191,0.007,0.8023,0.8323,0.0492,0.0012,0.0475,0.0517,11876.4
LPJ-GUESS,HD,lai,tran,0.5886,0.0082,0.5758,0.6061,0.8639,0.0048,0.8538,0.8704,0.001,0.0001,0.0009,0.0011,11876.4
LPJ-GUESS,HD,precipitation,evapotrans,0.4834,0.0302,0.4141,0.5282,0.6498,0.0235,0.6094,0.6969,0.0496,0.0065,0.0373,0.0628,11876.4
LPJ-GUESS,HD,precipitation,evspsblsoi,0.2736,0.0242,0.2262,0.3207,0.4766,0.0403,0.3996,0.5638,0.0035,0.0013,0.0012,0.007,11876.4
LPJ-GUESS,HD,precipitation,evspsblveg,0.4652,0.0239,0.4137,0.501,0.6458,0.0221,0.5955,0.6878,0.0001,0.0,0.0001,0.0002,11876.4
LPJ-GUESS,HD,precipitation,tran,0.4461,0.0238,0.3708,0.4819,0.6415,0.021,0.6052,0.6828,0.0364,0.0054,0.027,0.0465,11876.4
LPJ-GUESS,HW,lai,evapotrans,0.4312,0.0119,0.3999,0.4561,0.7189,0.017,0.6842,0.7515,0.0008,0.0,0.0008,0.0009,13283.9333
LPJ-GUESS,HW,lai,evspsblsoi,0.1352,0.0171,0.0916,0.1636,0.2436,0.0278,0.1857,0.3205,0.0004,0.0,0.0003,0.0005,13283.9333
LPJ-GUESS,HW,lai,evspsblveg,0.4695,0.0092,0.4458,0.4833,0.7689,0.0176,0.7354,0.8065,0.0054,0.0002,0.005,0.006,13283.9333
LPJ-GUESS,HW,lai,tran,0.4705,0.0111,0.4431,0.4877,0.7693,0.0157,0.7266,0.793,0.0011,0.0,0.001,0.0011,13283.9333
LPJ-GUESS,HW,precipitation,evapotrans,0.3124,0.0263,0.2524,0.3486,0.5728,0.037,0.4676,0.6462,0.0199,0.0023,0.016,0.0247,13283.9333
LPJ-GUESS,HW,precipitation,evspsblsoi,0.1175,0.0253,0.0774,0.1743,0.2804,0.027,0.2369,0.3393,0.0005,0.0002,0.0002,0.0009,13283.9333
LPJ-GUESS,HW,precipitation,evspsblveg,0.3562,0.0296,0.2747,0.392,0.6229,0.0263,0.5539,0.6664,0.0018,0.0003,0.0013,0.0023,13283.9333
LPJ-GUESS,HW,precipitation,tran,0.2454,0.0312,0.1814,0.2955,0.4592,0.0366,0.387,0.5684,0.0097,0.0014,0.006,0.0126,13283.9333
