model,year,climate_zone,n_samples
LPJ-GUESS,2007,HD,11879
LPJ-GUESS,2007,HW,13288
LPJ-GUESS,2008,CD,10675
LPJ-GUESS,2008,CW,22390
LPJ-GUESS,2008,HD,11876
LPJ-GUESS,2008,HW,13278
LPJ-GUESS,2009,CD,10735
LPJ-GUESS,2009,CW,22339
LPJ-GUESS,2009,HD,11879
LPJ-GUESS,2009,HW,13284
LPJ-GUESS,2010,CD,10721
LPJ-GUESS,2010,CW,22416
LPJ-GUESS,2010,HD,11877
LPJ-GUESS,2010,HW,13283
LPJ-GUESS,2011,CD,10676
LPJ-GUESS,2011,CW,22363
LPJ-GUESS,2011,HD,11878
LPJ-GUESS,2011,HW,13278
LPJ-GUESS,2012,CD,10689
LPJ-GUESS,2012,CW,22412
LPJ-GUESS,2012,HD,11878
LPJ-GUESS,2012,HW,13274
LPJ-GUESS,2013,CD,10727
LPJ-GUESS,2013,CW,22416
LPJ-GUESS,2013,HD,11879
LPJ-GUESS,2013,HW,13285
LPJ-GUESS,2014,CD,10681
LPJ-GUESS,2014,CW,22352
LPJ-GUESS,2014,HD,11878
LPJ-GUESS,2014,HW,13268
LPJ-GUESS,2015,CD,10698
LPJ-GUESS,2015,CW,22341
LPJ-GUESS,2015,HD,11878
LPJ-GUESS,2015,HW,13287
LPJ-GUESS,2016,CD,10690
LPJ-GUESS,2016,CW,22380
LPJ-GUESS,2016,HD,11877
LPJ-GUESS,2016,HW,13265
LPJ-GUESS,2017,CD,10707
LPJ-GUESS,2017,CW,22323
LPJ-GUESS,2017,HD,11876
LPJ-GUESS,2017,HW,13259
LPJ-GUESS,2018,CD,10681
LPJ-GUESS,2018,CW,22383
LPJ-GUESS,2018,HD,11874
LPJ-GUESS,2018,HW,13251
LPJ-GUESS,2019,CD,10676
LPJ-GUESS,2019,CW,22343
LPJ-GUESS,2019,HD,11874
LPJ-GUESS,2019,HW,13275
LPJ-GUESS,2020,CD,10667
LPJ-GUESS,2020,CW,22309
LPJ-GUESS,2020,HD,11870
LPJ-GUESS,2020,HW,13258
