model,x,y,method,Pearson r,Pearson p,Spearman rho,Spearman p,Kendall tau,Kendall p,MIC,net_change_raw,shape_net_change,shape_positive_fraction,shape_negative_fraction,shape_flat_fraction,shape_early_slope,shape_middle_slope,shape_late_slope,shape_n_turning_points,shape_first_turning_x_norm,shape_first_turning_y_value,shape_first_turning_type,shape_first_turning_left_slope,shape_first_turning_right_slope,shape_main_turning_x_norm,shape_main_turning_y_value,shape_main_turning_type,shape_main_turning_left_slope,shape_main_turning_right_slope,strength_net_change_sd,strength_positive_fraction,strength_negative_fraction,strength_flat_fraction,strength_early_slope,strength_middle_slope,strength_late_slope,strength_n_turning_points,strength_first_turning_x_norm,strength_first_turning_y_value,strength_first_turning_type,strength_first_turning_left_slope,strength_first_turning_right_slope,strength_main_turning_x_norm,strength_main_turning_y_value,strength_main_turning_type,strength_main_turning_left_slope,strength_main_turning_right_slope,y_raw_sd,n_curve_points
LPJ-GUESS,P,T,Symbolic regression,0.6357,0.0,0.6715,0.0,0.4865,0.0,0.357,861.2075,1.0,1.0,0.0,0.0,1.278,0.9382,0.7856,0,,,,,,,,,,,4.2013,1.0,0.0,0.0,5.3694,3.9416,3.3005,0,,,,,,,,,,,204.9859,300
CLASSIC,LAI,T,Equal-width bins,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,314.1889,0.9956,0.9,0.1,0.0,1.5245,0.8859,0.5295,1,0.9286,1.0,peak,0.9059,-0.0618,0.9286,1.0,peak,0.9059,-0.0618,2.3954,0.9,0.1,0.0,3.668,2.1314,1.2739,1,0.9286,3.7299,peak,2.1796,-0.1488,0.9286,3.7299,peak,2.1796,-0.1488,131.1633,10
CLASSIC,LAI,T,Equal-count bins,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,280.1553,0.9304,0.9,0.1,0.0,1.5115,0.9257,0.3427,1,0.9155,1.0,peak,0.9605,-0.8243,0.9155,1.0,peak,0.9605,-0.8243,2.1359,0.9,0.1,0.0,3.4702,2.1251,0.7867,1,0.9155,3.8303,peak,2.205,-1.8925,0.9155,3.8303,peak,2.205,-1.8925,131.1633,10
CLASSIC,LAI,T,LOWESS,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,463.9449,1.0,0.9442,0.0515,0.0043,1.2056,0.8307,0.6587,86,0.8325,0.8267,peak,0.5205,0.3053,0.847,0.8296,valley,-0.5081,0.3659,3.5372,0.9453,0.0532,0.0016,4.2642,2.9382,2.33,96,0.8325,3.8443,peak,1.8409,1.0799,0.847,3.8545,valley,-1.7973,1.2943,131.1633,12040
CLASSIC,LAI,T,Polynomial degree 3,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,419.6097,1.0,1.0,0.0,0.0,1.3077,0.8547,0.8408,0,,,,,,,,,,,3.1991,1.0,0.0,0.0,4.1834,2.7344,2.69,0,,,,,,,,,,,131.1633,300
CLASSIC,LAI,T,GAM,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,497.1005,1.0,1.0,0.0,0.0,1.3199,0.7522,0.9429,0,,,,,,,,,,,3.7899,1.0,0.0,0.0,5.0023,2.851,3.5736,0,,,,,,,,,,,131.1633,300
CLASSIC,LAI,T,Piecewise linear,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,381.4545,1.0,1.0,0.0,0.0,1.1262,1.0285,0.8452,0,,,,,,,,,,,2.9082,1.0,0.0,0.0,3.2753,2.991,2.458,0,,,,,,,,,,,131.1633,300
CLASSIC,LAI,T,Symbolic regression,0.7767,0.0,0.7946,0.0,0.595,0.0,0.5427,786.2177,1.0,0.9967,0.0033,0.0,2.0346,0.456,0.6587,2,0.0535,0.4573,peak,1.847,3.0125,0.0535,0.4573,peak,1.847,3.0125,5.9942,0.9967,0.0033,0.0,12.1956,2.7332,3.9482,2,0.0535,1.2965,peak,11.0711,18.0577,0.0535,1.2965,peak,11.0711,18.0577,131.1633,300
LPJ-GUESS,LAI,T,Equal-width bins,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,724.8631,1.0,1.0,0.0,0.0,1.3253,0.6721,0.9139,0,,,,,,,,,,,3.5362,1.0,0.0,0.0,4.6866,2.3767,3.2318,0,,,,,,,,,,,204.9859,10
LPJ-GUESS,LAI,T,Equal-count bins,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,623.8072,1.0,1.0,0.0,0.0,1.3504,0.803,0.9579,0,,,,,,,,,,,3.0432,1.0,0.0,0.0,4.1096,2.4437,2.9151,0,,,,,,,,,,,204.9859,10
LPJ-GUESS,LAI,T,LOWESS,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,849.1271,1.0,1.0,0.0,0.0,1.2798,0.8414,0.9334,0,,,,,,,,,,,4.1424,1.0,0.0,0.0,5.3014,3.4854,3.8666,0,,,,,,,,,,,204.9859,12146
LPJ-GUESS,LAI,T,Polynomial degree 3,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,903.5221,1.0,1.0,0.0,0.0,1.2968,0.7556,0.953,0,,,,,,,,,,,4.4077,1.0,0.0,0.0,5.716,3.3306,4.2006,0,,,,,,,,,,,204.9859,300
LPJ-GUESS,LAI,T,GAM,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,805.5009,1.0,1.0,0.0,0.0,1.4247,0.8208,0.7536,0,,,,,,,,,,,3.9295,1.0,0.0,0.0,5.5983,3.2253,2.9612,0,,,,,,,,,,,204.9859,300
LPJ-GUESS,LAI,T,Piecewise linear,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,819.6613,1.0,1.0,0.0,0.0,1.3296,0.8357,0.8357,0,,,,,,,,,,,3.9986,1.0,0.0,0.0,5.3167,3.3418,3.3418,0,,,,,,,,,,,204.9859,300
LPJ-GUESS,LAI,T,Symbolic regression,0.8943,0.0,0.9026,0.0,0.7259,0.0,0.6435,809.2033,1.0,1.0,0.0,0.0,1.3039,0.9117,0.7882,0,,,,,,,,,,,3.9476,1.0,0.0,0.0,5.1473,3.5988,3.1115,0,,,,,,,,,,,204.9859,300
