relationship,model,x,y,n_methods,y_obs_sd,common_y_sd,amplitude_common_norm_median,amplitude_common_norm_iqr,amplitude_common_norm_mean,amplitude_common_norm_sd,amplitude_robust_common_norm_median,amplitude_robust_common_norm_iqr,amplitude_robust_common_norm_mean,amplitude_robust_common_norm_sd,amplitude_norm_median,amplitude_norm_iqr,amplitude_norm_mean,amplitude_norm_sd,amplitude_robust_norm_median,amplitude_robust_norm_iqr,amplitude_robust_norm_mean,amplitude_robust_norm_sd
CLASSIC | P→T,CLASSIC,P,T,7,131.1687,263.5772,1.0869,0.21189999999999976,1.0917285714285714,0.1943050498081621,0.8789,0.1271500000000001,0.8965571428571428,0.16116490371813647,2.1841,0.42574999999999985,2.1938142857142853,0.39040949624964916,1.7661,0.25550000000000006,1.8015571428571426,0.3238553527793072
LPJ-GUESS | P→T,LPJ-GUESS,P,T,7,204.9943,263.5772,1.9325,0.20509999999999984,2.078171428571429,0.5340245428638579,1.7084,0.08644999999999992,1.8387142857142857,0.4677854901147584,2.4848,0.26370000000000005,2.6720571428571427,0.6866185036276038,2.1966,0.11114999999999986,2.364185714285714,0.6014916054514572
CLASSIC | LAI→T,CLASSIC,LAI,T,7,131.1687,263.5772,1.592,0.50085,1.715442857142857,0.6220220329890328,1.3046,0.32410000000000005,1.2655571428571428,0.20521733891286137,3.199,1.0064000000000002,3.447057142857143,1.2499072990388032,2.6215,0.6512000000000002,2.543071428571428,0.4123600154973228
LPJ-GUESS | LAI→T,LPJ-GUESS,LAI,T,7,204.9943,263.5772,3.0701,0.2625999999999995,3.0003,0.3453946969289869,2.6808,0.3933000000000004,2.5540857142857147,0.3233495086773827,3.9474,0.33764999999999956,3.857714285714285,0.4441206458781645,3.4469,0.5056000000000003,3.283985714285714,0.41574451861919326
