target_output,model,x,y,relationship,descriptor_group,descriptor_metric,n_methods,mean,median,sd,iqr,local_range,global_range,robustness_score,score_type,decision
T,CLASSIC,P,T,CLASSIC | P→T,Dominant curvature,slope_trend,7,-2.944728571428571,-2.8519,1.3931273317184445,1.1624499999999998,4.4155,4.8495,0.4730919328984535,cv,method-sensitive
T,CLASSIC,P,T,CLASSIC | P→T,Dominant curvature,linear_deviation,7,1.6885714285714286,1.9306,0.6420640770574375,0.41915000000000013,1.8689,2.0456000000000003,0.38024099318122356,cv,method-sensitive
T,CLASSIC,P,T,CLASSIC | P→T,Dominant curvature,curvature_consistency,7,0.9895714285714285,1.0,0.023744803942877982,0.004650000000000043,0.06369999999999998,0.11539999999999995,0.023995037909650047,cv,keep
T,CLASSIC,P,T,CLASSIC | P→T,Marginal-response pattern,early_slope_norm,7,2.3847714285714288,2.5419,0.4973607902863732,0.40435,1.4955999999999998,1.7539999999999998,0.2085570064818798,cv,keep
T,CLASSIC,P,T,CLASSIC | P→T,Marginal-response pattern,middle_slope_norm,7,0.6912142857142857,0.5697,0.22567060382019502,0.4086000000000001,0.48879999999999996,0.8452,0.3264842878456888,cv,method-sensitive
T,CLASSIC,P,T,CLASSIC | P→T,Marginal-response pattern,late_slope_norm,7,0.3342714285714286,0.3129,0.38034069689462063,0.73895,0.7973,2.0547,1.137819940280501,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Marginal-response pattern,middle_to_early_ratio,7,0.31849999999999995,0.2241,0.1819075131305283,0.1922,0.49019999999999997,0.715,0.5711381887928676,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Marginal-response pattern,late_to_early_ratio,7,0.1683142857142857,0.1231,0.211659273586673,0.29635,0.5614,1.2614,1.257524117388144,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Marginal-response pattern,marginal_variation,7,1.1176012634673236,1.1828736027150155,0.388751569044428,0.22940912448798279,1.223121545483428,1.4374309936044996,0.3478446041107167,cv,method-sensitive
T,CLASSIC,P,T,CLASSIC | P→T,Terminal behavior,terminal_slope_norm,6,0.8449,0.51485,0.9432764133593081,1.36375,2.2684,3.8123000000000005,1.116435570315195,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Terminal behavior,terminal_to_early_ratio,6,0.3791333333333333,0.3204,0.39372324628686417,0.580675,0.9612999999999999,2.0132000000000003,1.0384822743631024,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Terminal behavior,terminal_to_mean_ratio,6,0.8432539123197648,0.51485,0.9389047350348335,1.3501560116465325,2.26297589558456,4.375649741214929,1.1134306302261159,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Terminal behavior,terminal_y_range_norm,7,0.047157142857142856,0.0064,0.08151050764866366,0.04935,0.2228,0.2228,1.7284869843703292,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Turning complexity,n_slope_sign_changes,7,3.142857142857143,2.0,5.30498417932204,1.5,15.0,140.0,1.6879495116024674,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Turning complexity,n_internal_extrema,7,0.42857142857142855,0.0,0.5345224838248487,1.0,1.0,1.0,1.247219128924647,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Turning complexity,turning_strength,7,0.0087,0.0,0.011210263154805958,0.01815,0.0246,0.2658,1.2885359948052826,cv,remove-or-redefine
T,CLASSIC,P,T,CLASSIC | P→T,Turning complexity,roughness_ratio,7,1.0642,1.0439,0.06800274504263287,0.08210000000000006,0.1802999999999999,0.724,0.06390034302070369,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Overall direction,net_change_norm,7,0.7147857142857142,0.7254999999999999,0.04655922495673039,0.04995000000000005,0.13129999999999986,0.4345,0.06513731881625118,cv,keep
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,Overall direction,mean_slope_norm,7,1.0157857142857143,1.0,0.02242011214448822,0.031099999999999905,0.04830000000000001,1.0663,0.022071694678492022,cv,keep
