target_output,model,x,y,relationship,method,x_mid,local_slope,dy,abs_dy,cumulative_signed_change,cumulative_absolute_change,cumulative_absolute_fraction,scale
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.04908312324268959,2.9053499060596737,0.2852072950045272,0.2852072950045272,0.2852072950045272,0.2852072950045272,0.24163918611571356,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.155051137727638,2.3491422551390393,0.26726140339235777,0.26726140339235777,0.552468698396885,0.552468698396885,0.4680738851119213,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.2648650654370093,1.2105117580527662,0.12814244197168645,0.12814244197168645,0.6806111403685714,0.6806111403685714,0.5766413584103405,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.37741741839259313,1.6937806075003974,0.20197763444606343,0.20197763444606343,0.8825887748146348,0.8825887748146348,0.7477650009537374,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.4923873846725977,-0.19092057148583164,-0.021133628016051342,0.021133628016051342,0.8614551467985835,0.9037224028306862,0.7656702676243877,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.6040937793630399,0.007119182870883698,0.0008024706609833787,0.0008024706609833787,0.8622576174595669,0.9045248734916695,0.7663501533103365,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.7162893841410988,-0.2235523291422633,-0.024964473051289904,0.024964473051289904,0.837293144408277,0.9294893465429594,0.787501067244097,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.8266371957263239,-0.40406795044041777,-0.04405306520076191,0.04405306520076191,0.793240079207515,0.9735424117437214,0.824824610531605,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.9405745737161997,1.739658709430653,0.20675992079248495,0.20675992079248495,1.0,1.1803023325362063,1.0,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.04049818459879602,2.9256380800058843,0.2369660620666909,0.2369660620666909,0.2369660620666909,0.2369660620666909,0.23345528557223055,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.11308376484102102,1.3540851076568183,0.08689812916851891,0.08689812916851891,0.3238641912352098,0.3238641912352098,0.3190659733804269,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.17630298865626307,1.9622792410720338,0.1221786803163406,0.1221786803163406,0.4460428715515504,0.4460428715515504,0.4394345124671003,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.24059440506617016,2.4818046042890147,0.16459123753125926,0.16459123753125926,0.6106341090828097,0.6106341090828097,0.6015872444888396,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.30680580602214214,1.521035943821949,0.10054599030472744,0.10054599030472744,0.7111800993875371,0.7111800993875371,0.7006435932124248,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.3766416882412609,0.20234878861215247,0.014886423807602633,0.014886423807602633,0.7260665231951398,0.7260665231951398,0.7153094668436245,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.47258399363486003,1.3735416501424014,0.16251260189420635,0.16251260189420635,0.8885791250893461,0.8885791250893461,0.8754143593054852,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.6279923430707831,0.5788090569899559,0.11142087491065389,0.11142087491065389,1.0,1.0,0.9851844755158555,normalized
T,CLASSIC,P,T,CLASSIC | P→T,Equal-count bins,0.862121228307174,-0.05453459214242781,-0.015038325158734378,0.015038325158734378,0.9849616748412656,1.0150383251587343,1.0,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,8.131887950636586e-05,3.7291354696874084,0.0006064982358448508,0.0006064982358448508,0.0006064982358448508,0.0006064982358448508,0.0005936827471846383,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.00043260033622540103,3.7266791252662137,0.002012127802203046,0.002012127802203046,0.002618626038047897,0.002618626038047897,0.0025632936886484095,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0008541702897850734,3.7237004921426737,0.0011290809238315904,0.0011290809238315904,0.0037477069618794875,0.0037477069618794875,0.0036685167957203686,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.00111600097904712,3.721828323496647,0.0008204644958336861,0.0008204644958336861,0.004568171457713174,0.004568171457713174,0.004471644631987656,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0012606439167037148,3.720786843070022,0.0002561361737635397,0.0002561361737635397,0.004824307631476714,0.004824307631476714,0.004722368571986386,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0013680492486457716,3.7200097447814695,0.0005430150840313001,0.0005430150840313001,0.005367322715508014,0.005367322715508014,0.005253909585294243,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.001513980406175733,3.718950230272812,0.0005425609986001627,0.0005425609986001627,0.0059098837141081766,0.0059098837141081766,0.00578500610813159,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0016677213966879972,3.7178294118729864,0.0006007680712796261,0.0006007680712796261,0.006510651785387803,0.006510651785387803,0.006373079770837749,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0017853519738749222,3.7169692807219623,0.0002738294019971107,0.0002738294019971107,0.006784481187384913,0.006784481187384913,0.006641123075879048,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.001970211525703227,3.715613247658448,0.0011000036965179419,0.0011000036965179419,0.007884484883902854,0.007884484883902854,0.007717883366125114,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0021450068597708505,3.714328199677557,0.00019887121768871752,0.00019887121768871752,0.008083356101591572,0.008083356101591572,0.007912552375654755,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.002365091173761567,3.7127042961765313,0.0014354316849142686,0.0014354316849142686,0.00951878778650584,0.00951878778650584,0.009317652960833997,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0025742256188286392,3.711157909235054,0.00011742808982180726,0.00011742808982180726,0.009636215876327648,0.009636215876327648,0.00943259976008551,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0027715648006801904,3.7096944144345603,0.0013467543392628283,0.0013467543392628283,0.010982970215590476,0.010982970215590476,0.010750896778382065,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0030355693609785492,3.7077334055362097,0.000611674633335911,0.000611674633335911,0.011594644848926387,0.011594644848926387,0.011349646544234501,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.003206218237328768,3.7064634152596807,0.0006535425144295684,0.0006535425144295684,0.012248187363355955,0.012248187363355955,0.011989379510362627,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.003296031316625145,3.705794441866434,1.2233062494504746e-05,1.2233062494504746e-05,0.01226042042585046,0.01226042042585046,0.01200135408459713,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0037066514012611906,3.7027261896894994,0.0030286045487893463,0.0030286045487893463,0.015289024974639806,0.015289024974639806,0.014965963315746003,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0041337365461537184,3.6995255097713775,0.0001340381892296072,0.0001340381892296072,0.015423063163869414,0.015423063163869414,0.015097169238049534,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.004162520208949279,3.699309156934712,7.892898418928804e-05,7.892898418928804e-05,0.015501992148058702,0.015501992148058702,0.015174430429255993,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.004333330112783666,3.698023585667355,0.0011844165510316532,0.0011844165510316532,0.016686408699090355,0.016686408699090355,0.01633381990521698,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.004499510476448143,3.6967713518089997,4.4646134275291155e-05,4.4646134275291155e-05,0.016731054833365646,0.016731054833365646,0.01637752265335574,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.004880904072707156,3.693887756601235,0.0027730389624153993,0.0027730389624153993,0.019504093795781045,0.019504093795781045,0.01909196647521371,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.005349896620355184,3.690331818343064,0.0006911067587635281,0.0006911067587635281,0.020195200554544573,0.020195200554544573,0.01976846994198647,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.00554019084977426,3.6888842891709013,0.0007131111136580368,0.0007131111136580368,0.02090831166820261,0.02090831166820261,0.020466512805070246,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0057192131553013715,3.6875204186956023,0.0006074493549763013,0.0006074493549763013,0.02151576102317891,0.02151576102317891,0.021061126573955338,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.005969892691284572,3.6856059863366477,0.0012406780085468354,0.0012406780085468354,0.022756439031725747,0.022756439031725747,0.022275588686049716,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.006217995787521038,3.68370629899265,0.0005878393561318737,0.0005878393561318737,0.02334427838785762,0.02334427838785762,0.022851006821216224,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.006314531764281553,3.6829657256781734,0.0001233562106595608,0.0001233562106595608,0.02346763459851718,0.02346763459851718,0.02297175647834365,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0065771273340934095,3.680947548089037,0.0018099124232848693,0.0018099124232848693,0.02527754702180205,0.02527754702180205,0.02474342491217276,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.006841937031812613,3.6789095259937237,0.0001395115059566257,0.0001395115059566257,0.025417058527758676,0.025417058527758676,0.024879988498388014,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.006891815295034565,3.678525085623227,0.00022745995775908315,0.00022745995775908315,0.02564451848551776,0.02564451848551776,0.025102642159381443,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.006946967208363138,3.6780997765188643,0.00017827482121648627,0.00017827482121648627,0.025822793306734246,0.025822793306734246,0.025277149980440842,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.0071594832305978216,3.6764582317106247,0.0013844173018967391,0.0013844173018967391,0.027207210608630985,0.027207210608630985,0.026632314131734853,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.007370912317314342,3.6748227063860552,0.00017012739336538796,0.00017012739336538796,0.027377338001996373,0.027377338001996373,0.02679884668252427,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.007434799971659178,3.6743277048588645,0.00029938387964451377,0.00029938387964451377,0.027676721881640887,0.027676721881640887,0.027091904491476606,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.007541198881825154,3.6735023733828314,0.00048239666632751005,0.00048239666632751005,0.028159118547968397,0.028159118547968397,0.027564107972331067,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.007942237831153024,3.6703812806679688,0.0024619448939186828,0.0024619448939186828,0.03062106344188708,0.03062106344188708,0.029974031236168448,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.008344967569064702,3.6672367683323484,0.0004939749242704808,0.0004939749242704808,0.03111503836615756,0.03111503836615756,0.0304575683229214,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.00849572955111981,3.6660562590923647,0.0006115879056152879,0.0006115879056152879,0.03172662627177285,0.03172662627177285,0.03105623319363582,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.008667505619859208,3.6647098892880585,0.0006476556175231893,0.0006476556175231893,0.03237428188929604,0.03237428188929604,0.03169020365474544,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.00881669758394363,3.6635387949775367,0.0004456924438828308,0.0004456924438828308,0.03281997433317887,0.03281997433317887,0.03212647848432546,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.008957314834495956,3.662433437918346,0.0005844446704696554,0.0005844446704696554,0.033404419003648524,0.033404419003648524,0.03269857366455053,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.009042256832396168,3.661765270363161,3.7737270343222995e-05,3.7737270343222995e-05,0.03344215627399175,0.03344215627399175,0.032735513535113225,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.00908887428906368,3.6613983934576373,0.00030363667250075943,0.00030363667250075943,0.033745792946492506,0.033745792946492506,0.03303273427414002,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.009163711812332144,3.6608092805213017,0.000244343981561701,0.000244343981561701,0.03399013692805421,0.03399013692805421,0.0332719151944761,normalized
