target_output,model,x,y,method,climate_zone,n_points,fit_rmse,fit_nrmse,fit_r2,spearman_rho,spearman_p,n_fit_points,amplitude_raw,amplitude_norm,net_change_raw,net_change_norm_by_sd,abs_net_change_norm_by_sd,monotonicity_strength,y_obs_sd,net_change_norm,abs_net_change_norm,mean_slope_norm,pos_fraction,neg_fraction,flat_fraction,direction_consistency,slope_trend,curvature_score,linear_deviation,curvature_consistency,early_slope_norm,middle_slope_norm,late_slope_norm,middle_to_early_ratio,late_to_early_ratio,marginal_variation,terminal_slope_norm,terminal_to_early_ratio,terminal_to_mean_ratio,terminal_y_range_norm,terminal_flat_fraction,n_slope_sign_changes,n_internal_extrema,turning_strength,valley_depth,peak_height,roughness_ratio
T,LPJ-GUESS,P,T,Symbolic regression,,12149,161.0593,0.1619,0.3827,0.6715,0.0,12149,861.2075,4.2011,861.2075,4.2011,4.2011,1.0,204.9943,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.7496,-0.7496,0.3208,1.0,1.3364,0.9458,0.7713,0.7077,0.5772,0.2894,0.7475,0.5593,0.7475,0.0724,,0,0,0.0,0.0,0.0,1.0
T,CLASSIC,LAI,T,Equal-width bins,,11438,82.2711,0.1347,0.5619,0.7739,0.0,11438,315.582,2.4059,314.1889,2.3953,2.3953,0.9956,131.1687,0.9956,0.9956,0.9818,0.8889,0.1111,0.0,0.7778,-1.6305,-1.6305,0.5835,0.985,1.8325,0.9646,0.1744,0.5264,0.0952,0.8294,-0.0618,-0.0337,-0.0629,0.0044,,1,1,0.0044,0.0,0.0044,1.0089
T,CLASSIC,LAI,T,Equal-count bins,,10843,82.2586,0.1347,0.5386,0.7602,0.0,10843,301.1254,2.2957,280.1553,2.1358,2.1358,0.9304,131.1687,0.9304,0.9304,0.8958,0.8889,0.1111,0.0,0.7778,-1.5287,-1.5287,0.3842,0.928,1.5702,0.9942,0.3151,0.6332,0.2007,0.6283,-0.8243,-0.525,-0.9202,0.0696,,1,1,0.0696,0.0,0.0696,1.1497
T,CLASSIC,LAI,T,LOWESS,,12047,81.6588,0.132,0.6124,0.7946,0.0,12047,463.9449,3.537,463.9449,3.537,3.537,1.0,131.1687,1.0,1.0,0.8846,0.9439,0.0517,0.0043,0.8922,-0.8146,-0.8146,0.505,1.0,1.3681,0.8202,0.6002,0.5995,0.4387,0.3954,1.5786,1.1538,1.7845,0.1719,,140,0,0.0,0.0,0.0,1.0269
T,CLASSIC,LAI,T,Polynomial degree 3,,12047,82.0422,0.1326,0.6088,0.7946,0.0,12047,419.6097,3.199,419.6097,3.199,3.199,1.0,131.1687,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.6979,-0.6979,0.3269,1.0,1.3836,0.877,0.8607,0.6339,0.6221,0.2973,0.9213,0.6659,0.9213,0.0895,,0,0,0.0,0.0,0.0,1.0
T,CLASSIC,LAI,T,GAM,,12047,81.6001,0.1319,0.613,0.7946,0.0,12047,497.1005,3.7898,497.1005,3.7898,3.7898,1.0,131.1687,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.4709,-0.4709,0.4288,1.0,1.4676,0.78,0.9694,0.5315,0.6605,0.3552,1.8543,1.2635,1.8543,0.1828,,0,0,0.0,0.0,0.0,1.0
T,CLASSIC,LAI,T,Piecewise linear,,12047,82.3357,0.1331,0.6059,0.7946,0.0,12047,381.4545,2.9081,381.4545,2.9081,2.9081,1.0,131.1687,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.4172,-0.4172,0.2811,1.0,1.1262,1.0144,0.8452,0.9007,0.7504,0.1415,0.8452,0.7504,0.8452,0.082,,0,0,0.0,0.0,0.0,1.0
T,CLASSIC,LAI,T,Symbolic regression,,12047,84.7997,0.1371,0.582,0.7946,0.0,12047,786.2177,5.9939,786.2177,5.9939,5.9939,1.0,131.1687,1.0,1.0,1.0,0.9933,0.0067,0.0,0.9866,-2.5015,-2.5015,0.2935,1.0,2.41,0.4518,0.6791,0.1875,0.2818,1.071,0.7146,0.2965,0.7146,0.0694,,2,0,0.0,0.0,0.0,1.0131
T,LPJ-GUESS,LAI,T,Equal-width bins,,11701,89.3742,0.0899,0.7902,0.8922,0.0,11701,724.8631,3.536,724.8631,3.536,3.536,1.0,204.9943,1.0,1.0,1.0154,1.0,0.0,0.0,1.0,-0.6398,-0.6398,0.3035,0.9176,1.3962,0.906,0.908,0.6489,0.6503,0.2824,0.8029,0.5751,0.7907,0.0,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,LAI,T,Equal-count bins,,10935,89.8733,0.0918,0.753,0.8737,0.0,10935,623.8072,3.043,623.8072,3.043,3.043,1.0,204.9943,1.0,1.0,1.0468,1.0,0.0,0.0,1.0,-0.6383,-0.6383,0.1834,0.8846,1.2942,0.8933,0.9829,0.6902,0.7595,0.2104,0.9942,0.7682,0.9498,0.0,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,LAI,T,LOWESS,,12149,88.395,0.0889,0.814,0.9026,0.0,12149,849.1271,4.1422,849.1271,4.1422,4.1422,1.0,204.9943,1.0,1.0,1.0483,1.0,0.0,0.0,1.0,-0.7791,-0.7791,0.3399,1.0,1.3584,0.9472,0.885,0.6973,0.6515,0.2572,0.7997,0.5887,0.7629,0.0794,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,LAI,T,Polynomial degree 3,,12149,89.0176,0.0895,0.8114,0.9026,0.0,12149,903.5221,4.4075,903.5221,4.4075,4.4075,1.0,204.9943,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.514,-0.514,0.4113,1.0,1.398,0.7932,1.0129,0.5674,0.7245,0.3061,1.1645,0.833,1.1645,0.1133,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,LAI,T,GAM,,12149,88.2463,0.0887,0.8147,0.9026,0.0,12149,805.5009,3.9294,805.5009,3.9294,3.9294,1.0,204.9943,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0421,-1.0421,0.5646,1.0,1.484,0.9284,0.6583,0.6256,0.4436,0.421,0.3487,0.235,0.3487,0.033,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,LAI,T,Piecewise linear,,12149,88.9529,0.0894,0.8117,0.9026,0.0,12149,819.6613,3.9985,819.6613,3.9985,3.9985,1.0,204.9943,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.6898,-0.6898,0.5473,1.0,1.383,0.8899,0.8357,0.6434,0.6043,0.3016,0.8357,0.6043,0.8357,0.0811,,0,0,0.0,0.0,0.0,1.0
T,LPJ-GUESS,LAI,T,Symbolic regression,,12149,89.6381,0.0901,0.8088,0.9026,0.0,12149,809.2033,3.9474,809.2033,3.9474,3.9474,1.0,204.9943,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.8025,-0.8025,0.285,1.0,1.3816,0.92,0.7773,0.6659,0.5626,0.3159,0.7593,0.5495,0.7593,0.0736,,0,0,0.0,0.0,0.0,1.0
