target_output,model,x,y,relationship,descriptor_metric,mean,median,sd,cv,iqr,n_methods
T,CLASSIC,P,T,CLASSIC | P→T,terminal_y_range_norm,0.047157142857142856,0.0064,0.08151050764866366,1.7284869843703292,0.04935,7
T,CLASSIC,P,T,CLASSIC | P→T,n_slope_sign_changes,3.142857142857143,2.0,5.30498417932204,1.6879495116024674,1.5,7
T,CLASSIC,P,T,CLASSIC | P→T,n_internal_extrema,0.42857142857142855,0.0,0.5345224838248487,1.247219128924647,1.0,7
T,CLASSIC,P,T,CLASSIC | P→T,turning_strength,0.0087,0.0,0.011210263154805958,1.2885359948052826,0.01815,7
T,CLASSIC,P,T,CLASSIC | P→T,roughness_ratio,1.0642,1.0439,0.06800274504263287,0.06390034302070369,0.08210000000000006,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,net_change_norm,0.7147857142857142,0.7254999999999999,0.04655922495673039,0.06513731881625118,0.04995000000000005,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,mean_slope_norm,1.0157857142857143,1.0,0.02242011214448822,0.022071694678492022,0.031099999999999905,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,pos_fraction,1.0,1.0,0.0,0.0,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,neg_fraction,0.0,0.0,0.0,,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,flat_fraction,0.0,0.0,0.0,,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,direction_consistency,1.0,1.0,0.0,0.0,0.0,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,slope_trend,-0.7293714285714287,-0.6898,0.16826946360214137,0.2307047644184796,0.15174999999999994,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,linear_deviation,0.37642857142857145,0.3399,0.14029354599417268,0.3726963271192443,0.18505,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,curvature_consistency,0.9717428571428571,1.0,0.04918952656622671,0.05061990032101187,0.041200000000000014,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,early_slope_norm,1.385057142857143,1.383,0.0563666230182028,0.04069624369571338,0.027099999999999902,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,middle_slope_norm,0.8968571428571429,0.906,0.04992393738287801,0.05566542874803218,0.03260000000000007,7
T,LPJ-GUESS,LAI,T,LPJ-GUESS | LAI→T,late_slope_norm,0.8657285714285715,0.885,0.12199369811983067,0.14091448768812637,0.13895000000000002,7
