model,x,y,method,fit_rmse,fit_nrmse,fit_r2,spearman_rho,spearman_p,n_fit_points,amplitude_raw,amplitude_norm,net_change_raw,net_change_norm_by_sd,abs_net_change_norm_by_sd,monotonicity_strength,y_obs_sd,n_curve_points,mean_slope,median_slope,min_slope,max_slope,mean_abs_slope,median_abs_slope,max_abs_slope,integrated_abs_slope,slope_std,slope_iqr,slope_skew,slope_cv,pos_fraction,neg_fraction,flat_fraction,mean_slope_sign,n_slope_sign_changes,slope_trend,slope_trend_p,early_slope,middle_slope,late_slope,terminal_slope,first_quartile_slope,last_quartile_slope,middle_to_early_ratio,late_to_early_ratio,terminal_to_early_ratio,last_to_first_quartile_ratio,early_y_value,middle_y_value,late_y_value,terminal_y_value,early_y_range,late_y_range,terminal_y_range,net_change,abs_net_change,total_variation,roughness_ratio,internal_min_idx,internal_max_idx,internal_min,internal_max,valley_depth_left,valley_depth_right,valley_depth_min,peak_height_left,peak_height_right,peak_height_min,slope_scale,x_curve,y_curve,x_curve_used,y_curve_used,slope_values,abs_slope_values,x_mid
CLASSIC,P,T,Equal-width bins,111.7464,0.1807,0.2402,0.512,0.0,11178,242.0275,1.8452,242.0275,1.8452,1.8452,1.0,131.1687,10,1.0097,1.2105,-0.4041,2.9053,1.1916,1.2105,2.9053,0.9264,1.1736,1.9306,0.1714,1.1623,0.5556,0.3333,0.1111,1,2,-2.5983,0.0637,2.6272,0.4994,0.6678,1.7397,2.6272,0.6678,0.1901,0.2542,0.6622,0.2542,0.2792,0.8217,0.8768,1.0,0.5525,0.2068,0.0,1.0,1.0,1.1803,1.1803,0,9,False,False,0.0,0.0,0.0,0.0,0.0,0.0,normalized,"[ 832.31901042 1110.99986979 1433.97708333 1734.49401042 2073.01927083
 2387.26276042 2707.25833333 3024.27942708 3333.78372396 3671.18541667]","[254.42366  323.45168  388.1363   419.1503   468.03445  462.91953
 463.11375  457.07166  446.409605 496.4512  ]","[0.         0.09816625 0.21193603 0.3177941  0.43704073 0.54773403
 0.66045352 0.77212524 0.88114915 1.        ]","[0.         0.2852073  0.5524687  0.68061114 0.88258877 0.86145515
 0.86225762 0.83729314 0.79324008 1.        ]","[ 2.90534991  2.34914226  1.21051176  1.69378061 -0.19092057  0.00711918
 -0.22355233 -0.40406795  1.73965871]","[2.90534991 2.34914226 1.21051176 1.69378061 0.19092057 0.00711918
 0.22355233 0.40406795 1.73965871]","[0.04908312 0.15505114 0.26486507 0.37741742 0.49238738 0.60409378
 0.71628938 0.8266372  0.94057457]"
CLASSIC,P,T,Equal-count bins,110.228,0.1782,0.2527,0.5304,0.0,10843,218.8262,1.6683,215.5354,1.6432,1.6432,0.985,131.1687,10,1.3717,1.3735,-0.0545,2.9256,1.3838,1.3735,2.9256,0.8971,0.9457,1.3835,0.0436,0.6894,0.8889,0.1111,0.0,1,1,-3.0669,0.0093,2.181,0.9189,-0.0545,,2.181,-0.0545,0.4213,-0.025,,-0.025,0.2517,0.7873,0.985,0.985,0.446,0.0,0.0,0.985,0.985,1.015,1.0305,0,8,False,True,0.0,0.0,0.0,1.0,0.015,0.015,normalized,"[ 797.87265625  964.71588542 1096.90859375 1225.16458333 1361.77447917
 1497.94036458 1649.48229167 1893.20065104 2289.72903646 2857.75794271]","[246.33296 298.18735 317.20294 343.93884 379.95572 401.95782 405.21536
 440.77738 465.15919 461.86841]","[0.         0.08099637 0.14517116 0.20743482 0.27375399 0.33985762
 0.41342576 0.53174223 0.72424246 1.        ]","[0.         0.23696606 0.32386419 0.44604287 0.61063411 0.7111801
 0.72606652 0.88857913 1.         0.98496167]","[ 2.92563808  1.35408511  1.96227924  2.4818046   1.52103594  0.20234879
  1.37354165  0.57880906 -0.05453459]","[2.92563808 1.35408511 1.96227924 2.4818046  1.52103594 0.20234879
 1.37354165 0.57880906 0.05453459]","[0.04049818 0.11308376 0.17630299 0.24059441 0.30680581 0.37664169
 0.47258399 0.62799234 0.86212123]"
CLASSIC,P,T,LOWESS,108.6724,0.1757,0.3135,0.5715,0.0,12047,274.5227,2.0929,268.6667,2.0483,2.0483,0.9787,131.1687,12035,1.8005,2.1924,-0.1699,3.7291,1.817,2.1924,3.7291,1.0217,1.1767,2.0428,-0.3774,0.6535,0.8437,0.0855,0.0708,1,15,-5.2667,0.0,2.7205,0.9326,-0.0152,-0.0122,2.7205,-0.0152,0.3428,-0.0056,-0.0045,-0.0056,0.4314,0.8908,0.9804,0.9791,0.7115,0.0032,0.0011,0.9787,0.9787,1.0216,1.0439,0,10297,False,True,0.0,0.0,0.0,1.0,0.0213,0.0213,normalized,"[ 624.7921875   625.31822917  627.06458333 ... 3852.95598958 3854.190625
 3859.2296875 ]","[199.51983751 199.68633503 200.23870973 ... 468.18311543 468.18374333
 468.18648872]","[0.00000000e+00 1.62637759e-04 7.02562913e-04 ... 9.98060343e-01
 9.98442059e-01 1.00000000e+00]","[0.00000000e+00 6.06498236e-04 2.61862604e-03 ... 9.78656062e-01
 9.78658349e-01 9.78668350e-01]",[3.72913547 3.72667913 3.72370049 ... 0.00560063 0.00599199 0.00641912],[3.72913547 3.72667913 3.72370049 ... 0.00560063 0.00599199 0.00641912],"[8.13188795e-05 4.32600336e-04 8.54170290e-04 ... 9.97361726e-01
 9.98251201e-01 9.99221030e-01]"
